1.119066847, Sport: ,Basketball, Time: ,Thu Jun 11 10:00:00 CEST 2015, Time: ,Thu Jun 11 10:00:00 CEST 2015, Event: ,Philippines v Malaysia, Favorite: ,Philippines, 4096285   size:5.0,Price: ,1.03,Malaysia, 4189915   size:2.46,Price: ,3.25,okokokok
1.119128420, Sport: ,Tennis, Time: ,Thu Jun 11 14:30:00 CEST 2015, Time: ,Thu Jun 11 14:30:00 CEST 2015, Event: ,Garcia-Perez v Buzarnescu, Favorite: ,Mihaela Buzarnescu, 5776800   size:8.29,Price: ,1.54,Georgina Garcia-Perez, 9544593   size:3.51,Price: ,2.52,x
1.119129793, Sport: ,Tennis, Time: ,Thu Jun 11 12:00:00 CEST 2015, Time: ,Thu Jun 11 12:00:00 CEST 2015, Event: ,Diatchenko v T Moore, Favorite: ,Vitalia Diatchenko, 3674500   size:5.02,Price: ,1.76,Tara Moore, 4822914   size:4.99,Price: ,2.06,ok
1.119116707, Sport: ,Tennis, Time: ,Thu Jun 11 13:00:00 CEST 2015, Time: ,Thu Jun 11 13:00:00 CEST 2015, Event: ,Jovanovski v Wickmayer, Favorite: ,Yanina Wickmayer, 2386943   size:751.3,Price: ,1.7,Bojana Jovanovski, 4148045   size:85.21,Price: ,2.38,ok
1.119129792, Sport: ,Tennis, Time: ,Thu Jun 11 14:30:00 CEST 2015, Time: ,Thu Jun 11 14:30:00 CEST 2015, Event: ,Kontaveit v Webley-Smith, Favorite: ,Anett Kontaveit, 5300737   size:34.96,Price: ,1.18,Emily Webley-Smith, 8595920   size:16.92,Price: ,4.6,ok
1.119129791, Sport: ,Tennis, Time: ,Thu Jun 11 13:30:00 CEST 2015, Time: ,Thu Jun 11 13:30:00 CEST 2015, Event: ,Cetkovska v Broady, Favorite: ,Petra Cetkovska, 2415583   size:19.31,Price: ,1.59,Naomi Broady, 3960538   size:3.81,Price: ,2.32,x
1.119117496, Sport: ,Tennis, Time: ,Thu Jun 11 12:00:00 CEST 2015, Time: ,Thu Jun 11 12:00:00 CEST 2015, Event: ,Hewitt/Reid v Karlovic/Kubot, Favorite: ,Karlovic/Kubot, 9566090   size:4.94,Price: ,1.62,Hewitt/Reid, 9378430   size:3.6,Price: ,2.22,xx
1.118847426, Sport: ,Basketball, Time: ,Thu Jun 11 16:30:00 CEST 2015, Time: ,Thu Jun 11 16:30:00 CEST 2015, Event: ,Latvia (W) v Serbia (W), Favorite: ,Serbia (W), 6427235   size:2.55,Price: ,1.15,Latvia (W), 6427224   size:52.42,Price: ,6.2,okok
1.119129549, Sport: ,Tennis, Time: ,Thu Jun 11 13:00:00 CEST 2015, Time: ,Thu Jun 11 13:00:00 CEST 2015, Event: ,Brown/Haider-Maurer v Matkowski/Zimonjic, Favorite: ,Matkowski/Zimonjic, 9312205   size:5.75,Price: ,1.31,Brown/Haider-Maurer, 9518044   size:5.75,Price: ,2.98,okok
1.119121062, Sport: ,Tennis, Time: ,Thu Jun 11 19:00:00 CEST 2015, Time: ,Thu Jun 11 19:00:00 CEST 2015, Event: ,Vickery v Diyas, Favorite: ,Zarina Diyas, 4045175   size:433.45,Price: ,1.33,Sachia Vickery, 6596286   size:53.0,Price: ,3.75,xx
