1.120141099, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Gloucester v Telford, Favorite: ,Gloucester, 2662209   size:13.21,Price: ,2.22,The Draw, 58805   size:3.23,Price: ,3.55,ok
1.120141773, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Kvik Halden v Raufoss, Favorite: ,Kvik Halden, 398320   size:4.45,Price: ,2.2,Raufoss, 152564   size:2.42,Price: ,2.58,The Draw, 58805   size:2.03,Price: ,3.95,x
1.120237666, Sport: ,Soccer, Time: ,Sat Aug 29 17:30:00 CEST 2015, Time: ,Sat Aug 29 17:30:00 CEST 2015, Event: ,Arka Gdynia v MKS Kluczbork, Favorite: ,Arka Gdynia, 1209553   size:35.0,Price: ,1.59,The Draw, 58805   size:10.73,Price: ,4.0,MKS Kluczbork, 4135270   size:5.72,Price: ,7.4,x
1.120142071, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Kongsvinger v Elverum, Favorite: ,Kongsvinger, 774892   size:2.73,Price: ,1.5,The Draw, 58805   size:2.5,Price: ,4.4,Elverum, 782117   size:36.27,Price: ,4.5,ok
1.120239727, Sport: ,Soccer, Time: ,Sat Aug 29 19:00:00 CEST 2015, Time: ,Sat Aug 29 19:00:00 CEST 2015, Event: ,Spartak Myjava v Zlate Moravce, Favorite: ,Spartak Myjava, 4247363   size:6.18,Price: ,1.51,The Draw, 58805   size:11.52,Price: ,4.3,Zlate Moravce, 2397382   size:11.12,Price: ,7.6,x
1.120284579, Sport: ,Soccer, Time: ,Sat Aug 29 20:00:00 CEST 2015, Time: ,Sat Aug 29 20:00:00 CEST 2015, Event: ,Sao Bernardo FC U20 v CA Sorocaba U20, Favorite: ,CA Sorocaba U20, 9509677   size:137.55,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,x
1.120153402, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bristol City v Burnley, Favorite: ,Bristol City, 69745   size:19.62,Price: ,2.74,Burnley, 56299   size:980.28,Price: ,3.05,The Draw, 58805   size:645.06,Price: ,3.25,x
1.120285542, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Rachad Bernoussi v Stade Marocain, Favorite: ,Rachad Bernoussi, 7753751   size:13.0,Price: ,2.24,The Draw, 58805   size:15.25,Price: ,2.44,Stade Marocain, 10205034   size:13.0,Price: ,2.56,x
1.120286874, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Moreirense FC U19 v Porto U19, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,x
1.120295330, Sport: ,Soccer, Time: ,Sat Aug 29 19:00:00 CEST 2015, Time: ,Sat Aug 29 19:00:00 CEST 2015, Event: ,CF Gava v Cerdanyola del Valles, Favorite: ,The Draw, 58805   size:2.39,Price: ,1.07,x
1.120287040, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Benfica U19 v SG Sacavenense U19, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,x
