1.121187943, Sport: ,Tennis, Time: ,Sun Oct 11 19:00:00 CEST 2015, Time: ,Sun Oct 11 19:00:00 CEST 2015, Event: ,Monzon v O Gutierrez, Favorite: ,Oscar Jose Gutierrez, 8443401   size:2.73,Price: ,1.09,Ignacio Monzon, 9635380   size:2.69,Price: ,9.0
1.120889783, Sport: ,American Football, Time: ,Sun Oct 11 19:00:00 CEST 2015, Time: ,Sun Oct 11 19:00:00 CEST 2015, Event: ,Chicago @ Kansas City, Favorite: ,Kansas City Chiefs, 50214   size:526.0,Price: ,1.24,Chicago Bears, 50194   size:221.83,Price: ,4.9
1.120889820, Sport: ,American Football, Time: ,Sun Oct 11 19:00:00 CEST 2015, Time: ,Sun Oct 11 19:00:00 CEST 2015, Event: ,Washington @ Atlanta, Favorite: ,Atlanta Falcons, 50199   size:511.81,Price: ,1.36,Washington Redskins, 50187   size:12.7,Price: ,3.7
1.121102589, Sport: ,Soccer, Time: ,Sun Oct 11 20:00:00 CEST 2015, Time: ,Sun Oct 11 20:00:00 CEST 2015, Event: ,Estudiantes de San Luis v Atl Tucuman, Favorite: ,Atl Tucuman, 5181445   size:2.77,Price: ,2.22,Estudiantes de San Luis, 9229724   size:11.61,Price: ,3.9,The Draw, 58805   size:2.64,Price: ,3.15
1.121187931, Sport: ,Tennis, Time: ,Sun Oct 11 20:45:00 CEST 2015, Time: ,Sun Oct 11 20:45:00 CEST 2015, Event: ,Moncada v Kestelboim, Favorite: ,Mariano Kestelboim, 9630793   size:174.33,Price: ,1.01,Juan Cruz Moncada, 9630489   size:2.69,Price: ,26.0
1.121187928, Sport: ,Tennis, Time: ,Sun Oct 11 20:45:00 CEST 2015, Time: ,Sun Oct 11 20:45:00 CEST 2015, Event: ,De Loore v Cerutti, Favorite: ,Joris De Loore, 8622401   size:795.54,Price: ,1.06,Pablo Cerutti, 10279338   size:4.69,Price: ,9.0
1.121102663, Sport: ,Soccer, Time: ,Sun Oct 11 21:00:00 CEST 2015, Time: ,Sun Oct 11 21:00:00 CEST 2015, Event: ,Juventud Unida G v Guarani AF, Favorite: ,Juventud Unida G, 9229737   size:5.13,Price: ,2.38,Guarani AF, 8742758   size:13.2,Price: ,3.55,The Draw, 58805   size:7.06,Price: ,2.96
1.121102501, Sport: ,Soccer, Time: ,Sun Oct 11 22:00:00 CEST 2015, Time: ,Sun Oct 11 22:00:00 CEST 2015, Event: ,Gimnasia Jujuy v Guillermo Brown, Favorite: ,Gimnasia Jujuy, 1213580   size:2.64,Price: ,2.24,Guillermo Brown, 5789841   size:3.29,Price: ,3.9,The Draw, 58805   size:2.55,Price: ,3.05
1.121102737, Sport: ,Soccer, Time: ,Sun Oct 11 23:00:00 CEST 2015, Time: ,Sun Oct 11 23:00:00 CEST 2015, Event: ,Sportivo Belgrano v Villa Dalmine, Favorite: ,Sportivo Belgrano, 5971675   size:8.35,Price: ,2.68,Villa Dalmine, 5971695   size:3.1,Price: ,3.1,The Draw, 58805   size:5.23,Price: ,2.94
1.121102427, Sport: ,Soccer, Time: ,Sun Oct 11 23:15:00 CEST 2015, Time: ,Sun Oct 11 23:15:00 CEST 2015, Event: ,Douglas Haig v Instituto, Favorite: ,Douglas Haig, 6570644   size:12.96,Price: ,2.36,Instituto, 897267   size:26.23,Price: ,3.6,The Draw, 58805   size:3.4,Price: ,2.94
1.121102353, Sport: ,Soccer, Time: ,Sun Oct 11 23:30:00 CEST 2015, Time: ,Sun Oct 11 23:30:00 CEST 2015, Event: ,Patronato v Chacarita, Favorite: ,Patronato, 5178628   size:15.94,Price: ,1.58,Chacarita, 192084   size:2.0,Price: ,7.2,The Draw, 58805   size:4.19,Price: ,3.75
1.121039189, Sport: ,Soccer, Time: ,Sun Oct 11 07:00:00 CEST 2015, Time: ,Sun Oct 11 07:00:00 CEST 2015, Event: ,Kashima v Kobe, Favorite: ,Kashima, 441079   size:17.96,Price: ,1.74,Kobe, 441082   size:5.43,Price: ,5.2,The Draw, 58805   size:10.52,Price: ,4.2
1.120682647, Sport: ,Cricket, Time: ,Sun Oct 11 09:30:00 CEST 2015, Time: ,Sun Oct 11 09:30:00 CEST 2015, Event: ,Zimbabwe v Ireland (2nd ODI), Favorite: ,Zimbabwe, 1006   size:147.91,Price: ,1.68,Ireland, 152530   size:82.22,Price: ,2.42
1.121041757, Sport: ,Soccer, Time: ,Sun Oct 11 10:15:00 CEST 2015, Time: ,Sun Oct 11 10:15:00 CEST 2015, Event: ,Vysehrad v Usti nad Labem, Favorite: ,Usti Nad Labem, 3358865   size:157.03,Price: ,1.8,Vysehrad, 7589995   size:33.35,Price: ,4.4,The Draw, 58805   size:2.56,Price: ,4.0
1.121103949, Sport: ,Soccer, Time: ,Sun Oct 11 11:30:00 CEST 2015, Time: ,Sun Oct 11 11:30:00 CEST 2015, Event: ,Sevilla B v Villanovense, Favorite: ,Sevilla B, 6603999   size:2.65,Price: ,1.88,Villanovense, 2250365   size:5.2,Price: ,5.1,The Draw, 58805   size:6.87,Price: ,3.3
1.121085450, Sport: ,Soccer, Time: ,Sun Oct 11 12:00:00 CEST 2015, Time: ,Sun Oct 11 12:00:00 CEST 2015, Event: ,Yenisey Krasnoyarsk v Torpedo Armavir, Favorite: ,Yenisey Krasnoyarsk, 5441577   size:5.0,Price: ,1.87,Torpedo Armavir, 4820027   size:14.16,Price: ,5.3,The Draw, 58805   size:2.28,Price: ,3.4
1.121038176, Sport: ,Soccer, Time: ,Sun Oct 11 12:30:00 CEST 2015, Time: ,Sun Oct 11 12:30:00 CEST 2015, Event: ,Cagliari v Cesena, Favorite: ,Cagliari, 60297   size:4.04,Price: ,1.91,Cesena, 501219   size:86.83,Price: ,5.1,The Draw, 58805   size:83.3,Price: ,3.45
1.121103941, Sport: ,Soccer, Time: ,Sun Oct 11 12:30:00 CEST 2015, Time: ,Sun Oct 11 12:30:00 CEST 2015, Event: ,Real Jaen v Recreativo Huelva, Favorite: ,Real Jaen, 3303613   size:2.94,Price: ,2.1,Recreativo Huelva, 7449173   size:25.31,Price: ,4.2,The Draw, 58805   size:7.06,Price: ,3.15
1.121085524, Sport: ,Soccer, Time: ,Sun Oct 11 13:00:00 CEST 2015, Time: ,Sun Oct 11 13:00:00 CEST 2015, Event: ,Kamaz v Baikal Irkutsk, Favorite: ,Kamaz, 2460921   size:4.49,Price: ,2.48,Baikal Irkutsk, 9836178   size:6.46,Price: ,3.25,The Draw, 58805   size:7.68,Price: ,3.2
1.121039193, Sport: ,Soccer, Time: ,Sun Oct 11 14:00:00 CEST 2015, Time: ,Sun Oct 11 14:00:00 CEST 2015, Event: ,Harstad v Ullern, Favorite: ,Harstad, 780732   size:3.55,Price: ,1.75,Ullern, 7207469   size:2.55,Price: ,3.65,The Draw, 58805   size:4.43,Price: ,4.3
1.121041642, Sport: ,Soccer, Time: ,Sun Oct 11 14:00:00 CEST 2015, Time: ,Sun Oct 11 14:00:00 CEST 2015, Event: ,Ischia Isolaverde v Melfi, Favorite: ,Ischia Isolaverde, 8203820   size:2.55,Price: ,2.46,Melfi, 2012799   size:4.47,Price: ,3.2,The Draw, 58805   size:2.55,Price: ,3.1
1.121085376, Sport: ,Soccer, Time: ,Sun Oct 11 14:00:00 CEST 2015, Time: ,Sun Oct 11 14:00:00 CEST 2015, Event: ,Tyumen v Volgar Astrakhan, Favorite: ,Tyumen, 6681501   size:32.69,Price: ,2.56,Volgar Astrakhan, 8666644   size:14.97,Price: ,3.1,The Draw, 58805   size:2.0,Price: ,3.25
1.121085598, Sport: ,Soccer, Time: ,Sun Oct 11 14:00:00 CEST 2015, Time: ,Sun Oct 11 14:00:00 CEST 2015, Event: ,Sokol v Tomsk, Favorite: ,Tomsk, 1090112   size:5.61,Price: ,2.24,Sokol, 4817761   size:5.0,Price: ,3.55,The Draw, 58805   size:8.36,Price: ,3.4
1.121038761, Sport: ,Soccer, Time: ,Sun Oct 11 14:30:00 CEST 2015, Time: ,Sun Oct 11 14:30:00 CEST 2015, Event: ,Netherlands U21 v Slovakia U21, Favorite: ,Netherlands U21, 948842   size:491.93,Price: ,1.6,Slovakia U21, 210052   size:106.0,Price: ,6.2,The Draw, 58805   size:143.48,Price: ,4.3
1.121114951, Sport: ,Ice Hockey, Time: ,Sun Oct 11 14:30:00 CEST 2015, Time: ,Sun Oct 11 14:30:00 CEST 2015, Event: ,Orli Znojmo v Vienna Capitals, Favorite: ,Orli Znojmo, 5797611   size:5.0,Price: ,1.94,Vienna Capitals, 563229   size:9.55,Price: ,3.3,Tie, 60104   size:110.05,Price: ,4.1
1.121134221, Sport: ,Basketball, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Bayern Munchen v Bonn, Favorite: ,Bayern Munchen, 5859175   size:2.55,Price: ,1.14,Bonn, 2293349   size:10.52,Price: ,7.4
1.121084931, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Volga Nyzhnyi Novgorod v Tosno, Favorite: ,Volga Nyzhnyi Novgorod, 3244509   size:28.31,Price: ,2.18,Tosno, 7870887   size:44.89,Price: ,3.95,The Draw, 58805   size:4.69,Price: ,3.2
1.121041640, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Foggia v Lecce, Favorite: ,Foggia, 522053   size:5.39,Price: ,2.4,Lecce, 508827   size:2.61,Price: ,3.35,The Draw, 58805   size:2.61,Price: ,3.25
1.121038592, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Luneburg v Wolfsburg II, Favorite: ,Wolfsburg II, 5340377   size:116.26,Price: ,1.54,Luneburg, 8710317   size:63.12,Price: ,6.2,The Draw, 58805   size:31.09,Price: ,4.5
1.121038657, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Oldenburg v Cloppenburg, Favorite: ,Oldenburg, 5699221   size:9.35,Price: ,1.42,Cloppenburg, 10003037   size:2.69,Price: ,8.4,The Draw, 58805   size:2.68,Price: ,5.2
