1.119842379, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Dijon v Creteil, Favorite: ,Dijon, 305995   size:7.44,Price: ,1.79,The Draw, 58805   size:130.61,Price: ,3.75,Creteil, 269793   size:33.51,Price: ,5.5,x
1.119868207, Sport: ,Soccer, Time: ,Wed Aug 12 02:30:00 CEST 2015, Time: ,Wed Aug 12 02:30:00 CEST 2015, Event: ,Boa v Macae, Favorite: ,Boa, 5900070   size:67.82,Price: ,2.08,The Draw, 58805   size:269.82,Price: ,3.45,Macae, 2763328   size:74.32,Price: ,3.95,ok
1.119841048, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Luton v Bristol City, Favorite: ,Bristol City, 69745   size:26.79,Price: ,2.32,Luton, 223467   size:13.39,Price: ,3.45,The Draw, 58805   size:159.11,Price: ,3.5,x
1.119845406, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Charlton v Dag and Red, Favorite: ,Charlton, 48349   size:2.82,Price: ,1.58,The Draw, 58805   size:28.2,Price: ,4.5,Dag and Red, 66244   size:71.7,Price: ,6.6,ok
1.119956622, Sport: ,Soccer, Time: ,Tue Aug 11 19:00:00 CEST 2015, Time: ,Tue Aug 11 19:00:00 CEST 2015, Event: ,UCAM Murcia v Hercules, Favorite: ,UCAM Murcia, 5778410   size:5.35,Price: ,2.46,Hercules, 248015   size:13.81,Price: ,3.15,The Draw, 58805   size:122.17,Price: ,3.25,x
1.119840754, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Carlisle v Chesterfield, Favorite: ,Chesterfield, 219596   size:169.83,Price: ,1.98,The Draw, 58805   size:94.43,Price: ,3.7,Carlisle, 18561   size:132.37,Price: ,4.2,x
1.119940043, Sport: ,Tennis, Time: ,Wed Aug 12 01:00:00 CEST 2015, Time: ,Wed Aug 12 01:00:00 CEST 2015, Event: ,Bouchard v Bencic, Favorite: ,Belinda Bencic, 6390244   size:526.41,Price: ,1.48,Eugenie Bouchard, 5704759   size:159.06,Price: ,2.9,ok
1.119941011, Sport: ,Tennis, Time: ,Tue Aug 11 19:04:00 CEST 2015, Time: ,Tue Aug 11 19:04:00 CEST 2015, Event: ,Zemlja v Arnaboldi, Favorite: ,Grega Zemlja, 3509269   size:8.4,Price: ,1.56,Andrea Arnaboldi, 7593283   size:64.25,Price: ,2.56,ok
1.119842929, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Yeovil v QPR, Favorite: ,QPR, 62684   size:18.76,Price: ,1.94,The Draw, 58805   size:6.68,Price: ,3.75,Yeovil, 132555   size:59.62,Price: ,4.5,ok
1.119839806, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Dundee Utd v Dundee, Favorite: ,Dundee Utd, 48818   size:446.88,Price: ,2.36,The Draw, 58805   size:816.69,Price: ,3.4,Dundee, 13133   size:184.52,Price: ,3.45,x
1.119940047, Sport: ,Tennis, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Errani v K Mladenovic, Favorite: ,Kristina Mladenovic, 3622052   size:38.25,Price: ,1.9,Sara Errani, 2309567   size:105.95,Price: ,1.94,x
1.119945179, Sport: ,Tennis, Time: ,Tue Aug 11 23:45:00 CEST 2015, Time: ,Tue Aug 11 23:45:00 CEST 2015, Event: ,Hewitt/Kyrgios v Monfils/Tsonga, Favorite: ,Hewitt/Kyrgios, 9048330   size:5.88,Price: ,1.67,Monfils/Tsonga, 9348376   size:73.55,Price: ,2.14,x
1.119843051, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Orleans v Tours, Favorite: ,Orleans, 2225922   size:9.08,Price: ,2.38,The Draw, 58805   size:133.85,Price: ,3.3,Tours, 1543737   size:7.24,Price: ,3.5,x
1.119898923, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Le Havre v CA Bastia, Favorite: ,Le Havre, 70446   size:362.61,Price: ,1.57,The Draw, 58805   size:2.82,Price: ,4.2,CA Bastia, 6601801   size:49.77,Price: ,7.6,x
1.119842089, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Cardiff v AFC Wimbledon, Favorite: ,Cardiff, 79343   size:191.02,Price: ,1.48,The Draw, 58805   size:44.42,Price: ,4.8,AFC Wimbledon, 2662218   size:173.06,Price: ,8.2,ok
1.119957660, Sport: ,Tennis, Time: ,Wed Aug 12 01:30:00 CEST 2015, Time: ,Wed Aug 12 01:30:00 CEST 2015, Event: ,Falconi v H Watson, Favorite: ,Heather Watson, 4174997   size:206.2,Price: ,1.64,Irina Falconi, 4946384   size:43.22,Price: ,2.52,ok
1.119956692, Sport: ,Soccer, Time: ,Tue Aug 11 19:00:00 CEST 2015, Time: ,Tue Aug 11 19:00:00 CEST 2015, Event: ,UD Logrones v Huesca, Favorite: ,Huesca, 2250353   size:6.34,Price: ,2.54,UD Logrones, 4136687   size:6.83,Price: ,2.86,The Draw, 58805   size:8.23,Price: ,3.3,x
1.119842761, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Wigan v Bury, Favorite: ,Wigan, 69746   size:5.79,Price: ,2.14,The Draw, 58805   size:66.28,Price: ,3.5,Bury, 223503   size:4.62,Price: ,3.95,x
1.119842883, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Paris FC v Metz, Favorite: ,Paris FC, 5168454   size:153.36,Price: ,2.5,The Draw, 58805   size:13.63,Price: ,3.25,Metz, 44795   size:2.42,Price: ,3.35,x
1.119843219, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Laval v Nimes, Favorite: ,Laval, 77585   size:7.24,Price: ,2.1,The Draw, 58805   size:15.82,Price: ,3.35,Nimes, 77586   size:85.64,Price: ,4.2,ok
1.119953863, Sport: ,Soccer, Time: ,Tue Aug 11 21:00:00 CEST 2015, Time: ,Tue Aug 11 21:00:00 CEST 2015, Event: ,Cruzeiro U20 v Vitoria U20, Favorite: ,Vitoria U20, 5181430   size:140.88,Price: ,1.06,The Draw, 58805   size:3.24,Price: ,1.27,x
1.119954707, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,ZNK Osijek (W) v FC Noroc Nimoreni (w), Favorite: ,ZNK Osijek (W), 6571232   size:46.53,Price: ,1.02,The Draw, 58805   size:2.82,Price: ,27.0,FC Noroc Nimoreni (w), 6571039   size:15.82,Price: ,80.0,ok
1.119622861, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Barcelona v Sevilla, Favorite: ,Barcelona, 55270   size:28929.16,Price: ,1.35,The Draw, 58805   size:3162.41,Price: ,5.9,Sevilla, 44508   size:2138.13,Price: ,10.5,x
1.119838783, Sport: ,Baseball, Time: ,Wed Aug 12 02:10:00 CEST 2015, Time: ,Wed Aug 12 02:10:00 CEST 2015, Event: ,LAA @ CWS, Favorite: ,LA Angels (H Santiago), 8432634   size:5.0,Price: ,1.85,Chi White Sox (C Rodon), 10143947   size:490.87,Price: ,2.1,x
1.119863285, Sport: ,Soccer, Time: ,Wed Aug 12 01:30:00 CEST 2015, Time: ,Wed Aug 12 01:30:00 CEST 2015, Event: ,All Boys v Union Mar del Plata, Favorite: ,All Boys, 4724521   size:2.3,Price: ,2.18,The Draw, 58805   size:17.04,Price: ,3.1,Union Mar del Plata, 9229723   size:5.0,Price: ,4.2,x
1.119941366, Sport: ,Soccer, Time: ,Wed Aug 12 02:30:00 CEST 2015, Time: ,Wed Aug 12 02:30:00 CEST 2015, Event: ,San Martin de San Juan v Lanus, Favorite: ,Lanus, 194513   size:33.51,Price: ,2.66,San Martin de San Juan, 5637011   size:36.09,Price: ,3.05,The Draw, 58805   size:2.61,Price: ,3.2,x
1.119838703, Sport: ,Baseball, Time: ,Wed Aug 12 01:07:00 CEST 2015, Time: ,Wed Aug 12 01:07:00 CEST 2015, Event: ,OAK @ TOR, Favorite: ,Toronto (D Hutchison), 6325405   size:100.76,Price: ,1.54,Oakland (K Graveman), 9385645   size:61.81,Price: ,2.8,ok
1.119866162, Sport: ,Soccer, Time: ,Wed Aug 12 02:15:00 CEST 2015, Time: ,Wed Aug 12 02:15:00 CEST 2015, Event: ,Oriente Petrolero v Nacional (Uru), Favorite: ,Nacional (Uru), 504780   size:36.64,Price: ,2.56,The Draw, 58805   size:24.11,Price: ,3.15,Oriente Petrolero, 330231   size:21.0,Price: ,3.2,ok
1.119956762, Sport: ,Soccer, Time: ,Tue Aug 11 19:00:00 CEST 2015, Time: ,Tue Aug 11 19:00:00 CEST 2015, Event: ,Pena Sport FC v CD Ebro, Favorite: ,Pena Sport FC, 9310977   size:8.42,Price: ,2.26,CD Ebro, 8041211   size:5.93,Price: ,2.86,The Draw, 58805   size:2.83,Price: ,3.35,x
1.119845102, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Southend v Brighton, Favorite: ,Brighton, 18567   size:52.33,Price: ,2.22,The Draw, 58805   size:59.21,Price: ,3.45,Southend, 69719   size:139.35,Price: ,3.55,ok
1.119842593, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Bristol Rovers v Birmingham, Favorite: ,Birmingham, 48759   size:18.98,Price: ,2.36,Bristol Rovers, 69821   size:279.65,Price: ,3.35,The Draw, 58805   size:271.35,Price: ,3.5,ok
1.119841146, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Plymouth v Gillingham, Favorite: ,Plymouth, 148733   size:21.15,Price: ,2.66,Gillingham, 56298   size:5.0,Price: ,2.94,The Draw, 58805   size:374.84,Price: ,3.45,x
1.119843601, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,MK Dons v Leyton Orient, Favorite: ,MK Dons, 893582   size:47.94,Price: ,1.75,The Draw, 58805   size:108.71,Price: ,4.0,Leyton Orient, 69717   size:149.64,Price: ,5.4,ok
1.119957613, Sport: ,Tennis, Time: ,Tue Aug 11 19:30:00 CEST 2015, Time: ,Tue Aug 11 19:30:00 CEST 2015, Event: ,Govortsova v Begu, Favorite: ,Irina-Camelia Begu, 7642289   size:162.47,Price: ,1.79,Olga Govortsova, 2415575   size:2.67,Price: ,2.24,x
1.119971885, Sport: ,Basketball, Time: ,Tue Aug 11 21:00:00 CEST 2015, Time: ,Tue Aug 11 21:00:00 CEST 2015, Event: ,Spain v Belgium, Favorite: ,Spain, 208006   size:111.0,Price: ,1.04,Belgium, 1228980   size:71.11,Price: ,8.0,ok
1.119845504, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,St Johnstone v Ross Co, Favorite: ,St Johnstone, 57425   size:251.2,Price: ,2.46,The Draw, 58805   size:724.76,Price: ,3.3,Ross Co, 674742   size:33.04,Price: ,3.35,x
1.119941034, Sport: ,Tennis, Time: ,Tue Aug 11 20:30:00 CEST 2015, Time: ,Tue Aug 11 20:30:00 CEST 2015, Event: ,Kravchuk v Gombos, Favorite: ,Konstantin Kravchuk, 5011822   size:9.06,Price: ,1.62,Norbert Gombos, 8173023   size:2.7,Price: ,2.34,x
1.119838775, Sport: ,Baseball, Time: ,Wed Aug 12 02:10:00 CEST 2015, Time: ,Wed Aug 12 02:10:00 CEST 2015, Event: ,DET @ KC, Favorite: ,Kansas City (Y Ventura), 7663454   size:246.8,Price: ,1.71,Detroit (A Sanchez), 6546455   size:319.01,Price: ,2.3,ok
1.119863215, Sport: ,Soccer, Time: ,Wed Aug 12 01:30:00 CEST 2015, Time: ,Wed Aug 12 01:30:00 CEST 2015, Event: ,Santamarina v Villa Dalmine, Favorite: ,Santamarina, 5985057   size:2.55,Price: ,2.24,The Draw, 58805   size:2.55,Price: ,3.1,Villa Dalmine, 5971695   size:8.27,Price: ,3.95,ok
1.119844808, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Peterborough v Crawley Town, Favorite: ,Peterborough, 18563   size:50.76,Price: ,1.69,The Draw, 58805   size:8.81,Price: ,4.2,Crawley Town, 266068   size:66.22,Price: ,5.7,ok
1.119955383, Sport: ,Soccer, Time: ,Tue Aug 11 19:00:00 CEST 2015, Time: ,Tue Aug 11 19:00:00 CEST 2015, Event: ,Queretaro U20 v Club Santos Laguna U20, Favorite: ,Queretaro U20, 5253684   size:8.31,Price: ,1.93,The Draw, 58805   size:7.66,Price: ,3.65,Club Santos Laguna U20, 6144871   size:2.82,Price: ,4.1,x
1.119843555, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Brest v Bourg-Peronnas, Favorite: ,Brest, 669348   size:3.6,Price: ,1.97,The Draw, 58805   size:36.63,Price: ,3.45,Bourg-Peronnas, 676431   size:212.11,Price: ,4.6,x
