1.120990790, Sport: ,Soccer, Time: ,Thu Oct 08 16:55:00 CEST 2015, Time: ,Thu Oct 08 16:55:00 CEST 2015, Event: ,Kuwait v South Korea, Favorite: ,South Korea, 47965   size:57.65,Price: ,1.79,Kuwait, 146063   size:53.38,Price: ,5.7,The Draw, 58805   size:336.28,Price: ,3.6,ok
1.121107204, Sport: ,Tennis, Time: ,Thu Oct 08 17:00:00 CEST 2015, Time: ,Thu Oct 08 17:00:00 CEST 2015, Event: ,R Olivo v Hernandez-Fernandez, Favorite: ,Renzo Olivo, 4822931   size:77.91,Price: ,1.68,Jose Hernandez-Fernande, 9420497   size:35.33,Price: ,2.36,ok
1.120996005, Sport: ,Ice Hockey, Time: ,Thu Oct 08 17:30:00 CEST 2015, Time: ,Thu Oct 08 17:30:00 CEST 2015, Event: ,HIFK v JYP, Favorite: ,HIFK, 66428   size:2.8,Price: ,1.78,JYP, 66423   size:61.21,Price: ,4.1,Tie, 60104   size:54.04,Price: ,4.7,x
1.121120511, Sport: ,Tennis, Time: ,Thu Oct 08 17:30:00 CEST 2015, Time: ,Thu Oct 08 17:30:00 CEST 2015, Event: ,P Lorenzi v Clezar, Favorite: ,Paolo Lorenzi, 2345099   size:115.12,Price: ,1.36,Guilherme Clezar, 5304142   size:13.1,Price: ,3.7,ok
1.120995921, Sport: ,Ice Hockey, Time: ,Thu Oct 08 17:30:00 CEST 2015, Time: ,Thu Oct 08 17:30:00 CEST 2015, Event: ,Tappara v Karpat, Favorite: ,Tappara, 66427   size:54.01,Price: ,2.46,Karpat, 66430   size:64.0,Price: ,2.72,Tie, 60104   size:105.0,Price: ,3.85,ok
1.121105207, Sport: ,Soccer, Time: ,Thu Oct 08 15:00:00 CEST 2015, Time: ,Thu Oct 08 15:00:00 CEST 2015, Event: ,Spartak Subotica (W) v Wolfsburg (W), Favorite: ,Wolfsburg (W), 6293348   size:53.03,Price: ,1.02,Spartak Subotica (W), 7555491   size:4.02,Price: ,140.0,The Draw, 58805   size:2.6,Price: ,36.0,x
1.121105647, Sport: ,Soccer, Time: ,Thu Oct 08 17:00:00 CEST 2015, Time: ,Thu Oct 08 17:00:00 CEST 2015, Event: ,Syzran 2003 v Zenit Izhevsk, Favorite: ,Zenit Izhevsk, 9251587   size:4.32,Price: ,2.54,Syzran 2003, 8860961   size:4.37,Price: ,2.72,The Draw, 58805   size:4.04,Price: ,3.3,ok
1.120987718, Sport: ,Ice Hockey, Time: ,Thu Oct 08 16:00:00 CEST 2015, Time: ,Thu Oct 08 16:00:00 CEST 2015, Event: ,Yugra v Amur, Favorite: ,Yugra, 4913649   size:103.65,Price: ,1.88,Amur, 2240061   size:60.56,Price: ,3.95,Tie, 60104   size:20.14,Price: ,4.2,x
1.121105592, Sport: ,Soccer, Time: ,Thu Oct 08 17:00:00 CEST 2015, Time: ,Thu Oct 08 17:00:00 CEST 2015, Event: ,Neftekhimik v Dinamo Kirov, Favorite: ,Neftekhimik, 6488310   size:91.65,Price: ,1.18,Dinamo Kirov, 10038233   size:5.64,Price: ,9.2,The Draw, 58805   size:7.21,Price: ,5.6,ok
1.121106980, Sport: ,Tennis, Time: ,Thu Oct 08 17:00:00 CEST 2015, Time: ,Thu Oct 08 17:00:00 CEST 2015, Event: ,Dutra Silva v De Loore, Favorite: ,Rogerio Dutra Silva, 2301068   size:453.22,Price: ,1.09,Joris De Loore, 8622401   size:2.0,Price: ,8.6,ok
1.121113838, Sport: ,Tennis, Time: ,Thu Oct 08 12:40:00 CEST 2015, Time: ,Thu Oct 08 12:40:00 CEST 2015, Event: ,Millman v Isner, Favorite: ,John Millman, 4415206   size:2777.0,Price: ,1.4,John Isner, 2474763   size:2.62,Price: ,3.15,x
1.121119987, Sport: ,Tennis, Time: ,Thu Oct 08 13:44:00 CEST 2015, Time: ,Thu Oct 08 13:44:00 CEST 2015, Event: ,Carballes Baena v Ramirez Hidalgo, Favorite: ,Roberto Carballes Baena, 7185192   size:190.01,Price: ,1.3,Ruben Ramirez Hidalgo, 2257299   size:55.93,Price: ,3.95,ok
1.120988337, Sport: ,Soccer, Time: ,Thu Oct 08 14:30:00 CEST 2015, Time: ,Thu Oct 08 14:30:00 CEST 2015, Event: ,FC Minsk (W) v Fortuna Hjorring (W), Favorite: ,Fortuna Hjorring (W), 5862298   size:2.79,Price: ,1.8,FC Minsk (W), 10365404   size:3.12,Price: ,4.0,The Draw, 58805   size:2.55,Price: ,4.6,ok
1.120993382, Sport: ,Soccer, Time: ,Thu Oct 08 17:00:00 CEST 2015, Time: ,Thu Oct 08 17:00:00 CEST 2015, Event: ,Bahrain v Uzbekistan, Favorite: ,Uzbekistan, 51090   size:439.72,Price: ,2.32,Bahrain, 51307   size:53.32,Price: ,3.5,The Draw, 58805   size:229.28,Price: ,3.4,ok
1.121019696, Sport: ,Soccer, Time: ,Thu Oct 08 17:00:00 CEST 2015, Time: ,Thu Oct 08 17:00:00 CEST 2015, Event: ,Poland U21 v Israel U21, Favorite: ,Poland U21, 210090   size:103.65,Price: ,2.04,Israel U21, 209704   size:10.17,Price: ,3.85,The Draw, 58805   size:85.75,Price: ,3.7,ok
1.121119969, Sport: ,Tennis, Time: ,Thu Oct 08 17:15:00 CEST 2015, Time: ,Thu Oct 08 17:15:00 CEST 2015, Event: ,Carballes B/Carreno Bus v Gaio/Giannessi, Favorite: ,Carballes B/Carreno Bus, 10384044   size:7.19,Price: ,1.04,Gaio/Giannessi, 9704782   size:7.19,Price: ,1.04,ok
1.121120278, Sport: ,Tennis, Time: ,Thu Oct 08 17:30:00 CEST 2015, Time: ,Thu Oct 08 17:30:00 CEST 2015, Event: ,Struvay v Lapentti, Favorite: ,Giovanni Lapentti, 1565   size:500.45,Price: ,1.36,Eduardo Struvay, 7431682   size:4.07,Price: ,3.3,ok
