1.122381043, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Billericay Town v Leiston, Favorite: ,Billericay Town, 1034114   size:2.55,Price: ,2.14,Leiston, 3396719   size:3.44,Price: ,3.1,The Draw, 58805   size:2.55,Price: ,3.55,x
1.122381041, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Staines Town v VCD Athletic, Favorite: ,Staines Town, 2608906   size:2.55,Price: ,2.48,VCD Athletic, 10525359   size:2.55,Price: ,2.48,The Draw, 58805   size:2.55,Price: ,3.5,x
1.122439231, Sport: ,Soccer, Time: ,Sat Jan 02 15:45:00 CET 2016, Time: ,Sat Jan 02 15:45:00 CET 2016, Event: ,CD River Ega v CA Osasuna II, Favorite: ,CD River Ega, 10238409   size:9.19,Price: ,1.06,CA Osasuna II, 9310975   size:9.19,Price: ,1.06,The Draw, 58805   size:2.71,Price: ,1.25,x
1.122383865, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Morton v St Mirren, Favorite: ,Morton, 46283   size:8.0,Price: ,2.2,St Mirren, 674748   size:2.55,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.6,x
1.122421826, Sport: ,Basketball, Time: ,Sat Jan 02 18:00:00 CET 2016, Time: ,Sat Jan 02 18:00:00 CET 2016, Event: ,Prievidza v Karlovka Bratislava, Favorite: ,Prievidza, 6719644   size:0.0,Price: ,0.0,Karlovka Bratislava, 8865002   size:3.28,Price: ,1.03,ok
1.122429546, Sport: ,Soccer, Time: ,Sat Jan 02 17:00:00 CET 2016, Time: ,Sat Jan 02 17:00:00 CET 2016, Event: ,Zalla UC v CD Vitoria, Favorite: ,Zalla UC, 6058005   size:9.99,Price: ,1.15,CD Vitoria, 6044983   size:9.99,Price: ,1.15,The Draw, 58805   size:2.71,Price: ,1.25,x
1.122382379, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Charlton v Nottm Forest, Favorite: ,Nottm Forest, 69718   size:107.99,Price: ,2.26,Charlton, 48349   size:72.45,Price: ,3.55,The Draw, 58805   size:1276.8,Price: ,3.5,x
1.122421825, Sport: ,Basketball, Time: ,Sat Jan 02 18:00:00 CET 2016, Time: ,Sat Jan 02 18:00:00 CET 2016, Event: ,Nitra v Komarno, Favorite: ,Nitra, 5942834   size:3.28,Price: ,1.03,Komarno, 6719595   size:3.28,Price: ,1.03,x
1.122381047, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Enfield Town v Brentwood Town, Favorite: ,Enfield Town, 7133935   size:2.55,Price: ,1.6,Brentwood Town, 10296970   size:2.69,Price: ,4.9,The Draw, 58805   size:3.39,Price: ,3.95,ok
1.122382894, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Leeds v MK Dons, Favorite: ,Leeds, 48317   size:561.81,Price: ,2.0,MK Dons, 893582   size:55.46,Price: ,4.4,The Draw, 58805   size:597.62,Price: ,3.5,x
1.122407634, Sport: ,Soccer, Time: ,Sat Jan 02 18:00:00 CET 2016, Time: ,Sat Jan 02 18:00:00 CET 2016, Event: ,Compostela v Arandina CF, Favorite: ,Compostela, 309090   size:2.55,Price: ,2.24,Arandina CF, 9320411   size:2.55,Price: ,2.84,The Draw, 58805   size:12.9,Price: ,3.1,x
1.122381045, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Burgess Hill Town v Bognor Regis, Favorite: ,Burgess Hill Town, 3396718   size:3.93,Price: ,2.34,Bognor Regis, 1230960   size:3.76,Price: ,2.56,The Draw, 58805   size:36.23,Price: ,3.35,x
1.122400160, Sport: ,Rugby Union, Time: ,Sat Jan 02 14:30:00 CET 2016, Time: ,Sat Jan 02 14:30:00 CET 2016, Event: ,Agen v Clermont, Favorite: ,Clermont, 1275770   size:16.04,Price: ,1.41,Agen, 690999   size:5.67,Price: ,3.25,Draw, 246289   size:2.59,Price: ,21.0,ok
