1.121695280, Sport: ,Basketball, Time: ,Tue Nov 10 01:05:00 CET 2015, Time: ,Tue Nov 10 01:05:00 CET 2015, Event: ,Chicago @ Philadelphia, Favorite: ,Chicago, 13117   size:261.25,Price: ,1.25,Philadelphia, 13103   size:52.67,Price: ,4.8,ok
1.121716616, Sport: ,Tennis, Time: ,Tue Nov 10 08:00:00 CET 2015, Time: ,Tue Nov 10 08:00:00 CET 2015, Event: ,Tig v L Zhu, Favorite: ,Patricia Maria Tig, 8679189   size:156.73,Price: ,1.49,Lin Zhu, 8714569   size:24.73,Price: ,2.76,ok
1.121679723, Sport: ,Volleyball, Time: ,Tue Nov 10 09:00:00 CET 2015, Time: ,Tue Nov 10 09:00:00 CET 2015, Event: ,GS Caltex Kixx v IBK Altos, Favorite: ,GS Caltex Kixx, 10391693   size:1705.1,Price: ,1.01,IBK Altos, 10391692   size:1705.1,Price: ,1.01,x
1.121720438, Sport: ,Darts, Time: ,Mon Nov 09 21:00:00 CET 2015, Time: ,Mon Nov 09 21:00:00 CET 2015, Event: ,Mark Webster v Michel van der Horst, Favorite: ,Mark Webster, 2409763   size:1215.99,Price: ,1.26,Michel van der Horst, 9006590   size:11.06,Price: ,4.8,ok
1.121741039, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Pous Tio v Sanchez Quintanar, Favorite: ,Laura Pous Tio, 2264536   size:2.55,Price: ,1.34,Cristina Sanchez Quintanar, 9028617   size:2.55,Price: ,3.25,ok
1.121729323, Sport: ,Soccer, Time: ,Tue Nov 10 01:45:00 CET 2015, Time: ,Tue Nov 10 01:45:00 CET 2015, Event: ,Bucaramanga v Real Cartagena, Favorite: ,Bucaramanga, 7032786   size:30.28,Price: ,1.48,Real Cartagena, 5284704   size:4.77,Price: ,7.6,The Draw, 58805   size:7.95,Price: ,4.6,ok
1.121723831, Sport: ,Basketball, Time: ,Mon Nov 09 20:35:00 CET 2015, Time: ,Mon Nov 09 20:35:00 CET 2015, Event: ,Anwil v Asseco Gdynia, Favorite: ,Anwil, 1312084   size:45.0,Price: ,1.55,Asseco Gdynia, 7817588   size:20.0,Price: ,2.22,ok
1.121722026, Sport: ,Soccer, Time: ,Mon Nov 09 20:45:00 CET 2015, Time: ,Mon Nov 09 20:45:00 CET 2015, Event: ,Barkingside FC v Chelmsford, Favorite: ,Chelmsford, 2145810   size:10.32,Price: ,1.61,Barkingside FC, 8205298   size:6.32,Price: ,3.2,The Draw, 58805   size:3.65,Price: ,3.4,x
1.121724964, Sport: ,Tennis, Time: ,Tue Nov 10 08:00:00 CET 2015, Time: ,Tue Nov 10 08:00:00 CET 2015, Event: ,Buayam/Luangnam v Jang/Lu, Favorite: ,Jang/Lu, 10507074   size:2.55,Price: ,1.41,Buayam/Luangnam, 10507073   size:2.64,Price: ,2.72,x
1.121743241, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Fournerie v Gohlke, Favorite: ,Theo Fournerie, 9028580   size:3.71,Price: ,1.09,Delf Gohlke, 9630275   size:6.03,Price: ,3.05,ok
