1.121369728, Sport: ,Soccer, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,Leioa v SD Gernika Club, Favorite: ,Leioa, 8792389   size:12.95,Price: ,2.5,SD Gernika Club, 7654057   size:2.55,Price: ,3.05,The Draw, 58805   size:2.55,Price: ,3.25
1.121267678, Sport: ,Soccer, Time: ,Sat Oct 24 19:00:00 CEST 2015, Time: ,Sat Oct 24 19:00:00 CEST 2015, Event: ,Neuchatel Xamax v Schaffhausen, Favorite: ,Neuchatel Xamax, 65779   size:5.0,Price: ,2.38,Schaffhausen, 328835   size:27.43,Price: ,3.05,The Draw, 58805   size:6.3,Price: ,3.55
1.121369734, Sport: ,Soccer, Time: ,Sat Oct 24 19:00:00 CEST 2015, Time: ,Sat Oct 24 19:00:00 CEST 2015, Event: ,Real Madrid B v Socuellamos, Favorite: ,Real Madrid B, 6539994   size:16.81,Price: ,1.63,Socuellamos, 8792387   size:5.0,Price: ,6.2,The Draw, 58805   size:4.17,Price: ,3.9
1.121267982, Sport: ,Soccer, Time: ,Sat Oct 24 20:15:00 CEST 2015, Time: ,Sat Oct 24 20:15:00 CEST 2015, Event: ,FK Jablonec v Dukla Prague, Favorite: ,FK Jablonec, 367578   size:24.59,Price: ,1.61,Dukla Prague, 4142634   size:8.81,Price: ,6.0,The Draw, 58805   size:10.56,Price: ,4.2
1.121307741, Sport: ,Soccer, Time: ,Sun Oct 25 02:00:00 CET 2015, Time: ,Sun Oct 25 02:00:00 CET 2015, Event: ,Minnesota Utd v Atlanta Silverbacks, Favorite: ,Minnesota Utd, 7533070   size:2.65,Price: ,1.62,Atlanta Silverbacks, 5744831   size:4.07,Price: ,5.3,The Draw, 58805   size:2.55,Price: ,3.75
1.121307356, Sport: ,Soccer, Time: ,Sun Oct 25 02:00:00 CET 2015, Time: ,Sun Oct 25 02:00:00 CET 2015, Event: ,CD Plaza Amador v Chorrillo, Favorite: ,CD Plaza Amador, 7899390   size:3.62,Price: ,1.07,Chorrillo, 6536554   size:3.62,Price: ,1.07,The Draw, 58805   size:2.77,Price: ,1.25
1.121307631, Sport: ,Soccer, Time: ,Sun Oct 25 02:30:00 CET 2015, Time: ,Sun Oct 25 02:30:00 CET 2015, Event: ,Indy Eleven v Fort Lauderdale, Favorite: ,Fort Lauderdale, 5673440   size:19.77,Price: ,1.82,Indy Eleven, 8441182   size:4.38,Price: ,2.64,The Draw, 58805   size:2.13,Price: ,3.3
1.121307686, Sport: ,Soccer, Time: ,Sun Oct 25 02:30:00 CET 2015, Time: ,Sun Oct 25 02:30:00 CET 2015, Event: ,Tampa Bay Rowdies v Carolina Railhawks, Favorite: ,Tampa Bay Rowdies, 6295051   size:2.33,Price: ,1.96,Carolina Railhawks, 3155351   size:4.04,Price: ,3.5,The Draw, 58805   size:2.04,Price: ,2.62
1.121307026, Sport: ,Soccer, Time: ,Sun Oct 25 05:00:00 CET 2015, Time: ,Sun Oct 25 05:00:00 CET 2015, Event: ,Sagamihara v Yokohama SCC, Favorite: ,Sagamihara, 9339232   size:18.0,Price: ,1.1,Yokohama SCC, 7391084   size:18.0,Price: ,1.37,The Draw, 58805   size:18.0,Price: ,1.39
1.121307081, Sport: ,Soccer, Time: ,Sun Oct 25 07:00:00 CET 2015, Time: ,Sun Oct 25 07:00:00 CET 2015, Event: ,FC Ryukyu v FC Machida, Favorite: ,FC Ryukyu, 7379405   size:3.62,Price: ,1.07,FC Machida, 6207339   size:3.62,Price: ,1.07,The Draw, 58805   size:2.77,Price: ,1.25
