1.121397214, Sport: ,Soccer, Time: ,Fri Oct 30 19:00:00 CET 2015, Time: ,Fri Oct 30 19:00:00 CET 2015, Event: ,Luckenwalde v Budissa Bautzen, Favorite: ,Budissa Bautzen, 8740121   size:12.83,Price: ,2.1,Luckenwalde, 9988837   size:39.21,Price: ,3.75,The Draw, 58805   size:2.77,Price: ,3.75,ok
1.121396766, Sport: ,Soccer, Time: ,Fri Oct 30 19:00:00 CET 2015, Time: ,Fri Oct 30 19:00:00 CET 2015, Event: ,SPG Pasching-LASK Jnrs v SC Kalsdorf, Favorite: ,SPG Pasching-LASK Jnrs, 10258933   size:9.03,Price: ,1.82,SC Kalsdorf, 6491574   size:8.56,Price: ,2.66,The Draw, 58805   size:13.37,Price: ,3.2,ok
1.121526306, Sport: ,Soccer, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,Zenit St Petersburg (Y) v Mordovya Saransk (Y), Favorite: ,Zenit St Petersburg (Y), 6289889   size:2.08,Price: ,1.31,Mordovya Saransk (Y), 9048089   size:3.03,Price: ,7.0,The Draw, 58805   size:44.66,Price: ,3.85,x
1.121525976, Sport: ,Soccer, Time: ,Fri Oct 30 17:45:00 CET 2015, Time: ,Fri Oct 30 17:45:00 CET 2015, Event: ,Al Mesaimeer v Qatar SC, Favorite: ,Qatar SC, 5170882   size:2.08,Price: ,2.4,AL Mesaimeer, 9100532   size:4.44,Price: ,2.62,The Draw, 58805   size:2.81,Price: ,3.6,ok
1.121524927, Sport: ,Soccer, Time: ,Fri Oct 30 18:30:00 CET 2015, Time: ,Fri Oct 30 18:30:00 CET 2015, Event: ,Al Wehdat v Al Faisaly (JOR), Favorite: ,Al Wehdat, 5553914   size:5.0,Price: ,1.68,Al Faisaly (JOR), 5551580   size:9.87,Price: ,4.2,The Draw, 58805   size:13.91,Price: ,3.25,x
1.121522506, Sport: ,Ice Hockey, Time: ,Fri Oct 30 17:00:00 CET 2015, Time: ,Fri Oct 30 17:00:00 CET 2015, Event: ,Torpedo v Metallurg Mg, Favorite: ,Torpedo, 2484355   size:21.0,Price: ,2.38,Metallurg Mg, 3343614   size:59.0,Price: ,2.72,Tie, 60104   size:57.18,Price: ,4.1,x
1.121526251, Sport: ,Soccer, Time: ,Fri Oct 30 14:00:00 CET 2015, Time: ,Fri Oct 30 14:00:00 CET 2015, Event: ,CS Uni Craiova II v Minerul Motru, Favorite: ,CS Uni Craiova II, 10140647   size:4.16,Price: ,1.07,Minerul Motru, 7671470   size:4.16,Price: ,1.07,The Draw, 58805   size:5.57,Price: ,2.88,x
1.121510982, Sport: ,Ice Hockey, Time: ,Fri Oct 30 19:30:00 CET 2015, Time: ,Fri Oct 30 19:30:00 CET 2015, Event: ,Kolner Haie v Nurnberg, Favorite: ,Kolner Haie, 233911   size:142.41,Price: ,2.16,Nurnberg, 1032175   size:20.0,Price: ,2.88,Tie, 60104   size:68.38,Price: ,4.5,ok
1.121524872, Sport: ,Soccer, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,Kfarsoum v Al Ahli (JOR), Favorite: ,Kfarsoum, 5647844   size:7.55,Price: ,1.83,Al Ahli (Jor), 10284500   size:2.55,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,2.96,x
1.121557917, Sport: ,Snooker, Time: ,Fri Oct 30 07:00:00 CET 2015, Time: ,Fri Oct 30 07:00:00 CET 2015, Event: ,Selby v Higgins, Favorite: ,John Higgins, 2278785   size:7.21,Price: ,1.01,Mark Selby, 2280127   size:6.97,Price: ,1.57,ok
1.121523541, Sport: ,Soccer, Time: ,Fri Oct 30 11:00:00 CET 2015, Time: ,Fri Oct 30 11:00:00 CET 2015, Event: ,USM El Harrach U21 v MC Oran U21, Favorite: ,USM El Harrach U21, 7746150   size:4.16,Price: ,1.07,MC Oran U21, 8316599   size:26.93,Price: ,1.07,The Draw, 58805   size:5.93,Price: ,2.9,x
1.121523265, Sport: ,Soccer, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,NA Hussein Dey v Kabylie, Favorite: ,NA Hussein Dey, 7650243   size:2.23,Price: ,2.24,Kabylie, 9529062   size:4.16,Price: ,3.05,The Draw, 58805   size:3.27,Price: ,2.92,ok
1.121555858, Sport: ,Tennis, Time: ,Fri Oct 30 09:30:00 CET 2015, Time: ,Fri Oct 30 09:30:00 CET 2015, Event: ,Granollers/Menendez-Mac v Neuchrist/Sharan, Favorite: ,Neuchrist/Sharan, 10433983   size:5.31,Price: ,1.66,Granollers/Menendez-Mac, 10407908   size:3.0,Price: ,2.1,x
1.121399064, Sport: ,Soccer, Time: ,Fri Oct 30 20:30:00 CET 2015, Time: ,Fri Oct 30 20:30:00 CET 2015, Event: ,Gornik Leczna v Cracovia Krakow, Favorite: ,Cracovia Krakow, 880537   size:75.59,Price: ,2.6,Gornik Leczna, 502299   size:16.17,Price: ,2.88,The Draw, 58805   size:170.55,Price: ,3.4,x
1.121402517, Sport: ,Soccer, Time: ,Fri Oct 30 20:30:00 CET 2015, Time: ,Fri Oct 30 20:30:00 CET 2015, Event: ,Deportivo v Atletico Madrid, Favorite: ,Atletico Madrid, 41433   size:750.67,Price: ,1.75,Deportivo, 51266   size:324.65,Price: ,6.0,The Draw, 58805   size:1939.79,Price: ,3.7,x
1.121477830, Sport: ,Rugby Union, Time: ,Fri Oct 30 19:00:00 CET 2015, Time: ,Fri Oct 30 19:00:00 CET 2015, Event: ,Scarlets v Dragons, Favorite: ,Scarlets, 1339514   size:64.44,Price: ,1.25,Dragons, 789918   size:112.2,Price: ,4.5,Draw, 246289   size:2.78,Price: ,26.0,ok
1.121398099, Sport: ,Soccer, Time: ,Fri Oct 30 20:30:00 CET 2015, Time: ,Fri Oct 30 20:30:00 CET 2015, Event: ,Lierse v Antwerp, Favorite: ,Antwerp, 3247346   size:2.55,Price: ,2.3,Lierse, 65800   size:122.92,Price: ,3.2,The Draw, 58805   size:5.0,Price: ,3.55,x
1.121555290, Sport: ,Handball, Time: ,Fri Oct 30 18:00:00 CET 2015, Time: ,Fri Oct 30 18:00:00 CET 2015, Event: ,Krim Mercator v Larvik, Favorite: ,Krim Mercator, 4278038   size:5.21,Price: ,1.01,Larvik, 528704   size:5.21,Price: ,1.01,Draw, 330157   size:5.21,Price: ,1.01,x
1.121397046, Sport: ,Soccer, Time: ,Fri Oct 30 10:30:00 CET 2015, Time: ,Fri Oct 30 10:30:00 CET 2015, Event: ,RCF v Central Bank of India, Favorite: ,RCF, 8496715   size:5.0,Price: ,1.33,Central Bank of India, 8940768   size:5.0,Price: ,1.37,The Draw, 58805   size:5.0,Price: ,3.35,x
1.121573047, Sport: ,Tennis, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,N Gibbs v J Boserup, Favorite: ,Nicole Gibbs, 4946628   size:2.55,Price: ,1.35,Julia Boserup, 3738415   size:110.07,Price: ,3.2,x
1.121557075, Sport: ,Tennis, Time: ,Fri Oct 30 14:45:00 CET 2015, Time: ,Fri Oct 30 14:45:00 CET 2015, Event: ,P Cuevas v J Sousa, Favorite: ,Joao Sousa, 7053035   size:8.28,Price: ,1.83,Pablo Cuevas, 2424953   size:55.99,Price: ,2.18,ok
1.121573046, Sport: ,Tennis, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,A Tatishvili v J Glushko, Favorite: ,Anna Tatishvili, 2311979   size:5.9,Price: ,1.49,Julia Glushko, 5321877   size:5.92,Price: ,2.66,ok
1.121396876, Sport: ,Soccer, Time: ,Fri Oct 30 13:30:00 CET 2015, Time: ,Fri Oct 30 13:30:00 CET 2015, Event: ,Lokomotiv Plovdiv U19 v Cherno More U19, Favorite: ,Lokomotiv Plovdiv U19, 10428698   size:4.16,Price: ,1.07,Cherno More U19, 10247331   size:4.16,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121573048, Sport: ,Tennis, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,C Buyukakcay v L Kerkhove, Favorite: ,Cagla Buyukakcay, 3051579   size:2.55,Price: ,1.54,Lesley Kerkhove, 7283298   size:20.97,Price: ,2.46,x
1.121572872, Sport: ,Tennis, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Federer v Goffin, Favorite: ,Roger Federer, 2251402   size:89098.45,Price: ,1.12,David Goffin, 5224084   size:274.67,Price: ,7.8,ok
1.121555298, Sport: ,Handball, Time: ,Fri Oct 30 17:00:00 CET 2015, Time: ,Fri Oct 30 17:00:00 CET 2015, Event: ,Baia Mare v Rostov Don, Favorite: ,Baia Mare, 7739142   size:2.78,Price: ,1.01,Rostov Don, 5814974   size:2.78,Price: ,1.01,Draw, 330157   size:2.78,Price: ,1.01,x
1.121526086, Sport: ,Soccer, Time: ,Fri Oct 30 14:00:00 CET 2015, Time: ,Fri Oct 30 14:00:00 CET 2015, Event: ,CNS Cetate Deva v CS Becicherecu Mic, Favorite: ,CNS Cetate Deva, 10201563   size:4.16,Price: ,1.07,CS Becicherecu Mic, 7650210   size:4.16,Price: ,1.07,The Draw, 58805   size:5.57,Price: ,2.88,x
1.121526361, Sport: ,Soccer, Time: ,Fri Oct 30 18:15:00 CET 2015, Time: ,Fri Oct 30 18:15:00 CET 2015, Event: ,Najran (KSA) v Al Ahli, Favorite: ,Al Ahli, 1252792   size:2.55,Price: ,1.46,Najran (KSA), 7857483   size:10.55,Price: ,5.5,The Draw, 58805   size:2.55,Price: ,3.85,ok
1.121401831, Sport: ,Soccer, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Heracles v Willem II, Favorite: ,Heracles, 419132   size:123.3,Price: ,1.96,Willem II, 48455   size:143.08,Price: ,4.0,The Draw, 58805   size:279.25,Price: ,3.9,ok
1.121510995, Sport: ,Ice Hockey, Time: ,Fri Oct 30 19:30:00 CET 2015, Time: ,Fri Oct 30 19:30:00 CET 2015, Event: ,Straubing v Eisbaren Berlin, Favorite: ,Eisbaren Berlin, 233923   size:2.12,Price: ,2.36,Straubing, 2056823   size:95.95,Price: ,2.54,Tie, 60104   size:94.93,Price: ,4.5,ok
1.121525037, Sport: ,Soccer, Time: ,Fri Oct 30 17:00:00 CET 2015, Time: ,Fri Oct 30 17:00:00 CET 2015, Event: ,FK Atlantas v Zalgiris, Favorite: ,Zalgiris, 5549837   size:3.37,Price: ,1.53,FK Atlantas, 48467   size:2.55,Price: ,4.8,The Draw, 58805   size:16.44,Price: ,3.5,ok
1.121523375, Sport: ,Soccer, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,ASM Oran v CS Constantine, Favorite: ,ASM Oran, 8954905   size:4.98,Price: ,2.1,CS Constantine, 7598561   size:3.27,Price: ,3.2,The Draw, 58805   size:3.55,Price: ,2.94,ok
1.121514958, Sport: ,Basketball, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Lyon v Dijon, Favorite: ,Lyon, 1297016   size:5.92,Price: ,1.33,Dijon, 1292705   size:7.72,Price: ,3.7,ok
1.121397158, Sport: ,Soccer, Time: ,Fri Oct 30 19:00:00 CET 2015, Time: ,Fri Oct 30 19:00:00 CET 2015, Event: ,Wacker Nordhausen v Meuselwitz, Favorite: ,Wacker Nordhausen, 7535729   size:16.35,Price: ,1.45,Meuselwitz, 4901941   size:5.88,Price: ,8.0,The Draw, 58805   size:18.68,Price: ,5.0,x
1.121398247, Sport: ,Soccer, Time: ,Fri Oct 30 13:30:00 CET 2015, Time: ,Fri Oct 30 13:30:00 CET 2015, Event: ,Slavia Sofia v Botev Plovdiv, Favorite: ,Slavia Sofia, 1255221   size:77.62,Price: ,1.67,Botev Plovdiv, 1255220   size:70.42,Price: ,6.6,The Draw, 58805   size:87.2,Price: ,3.95,ok
1.121526526, Sport: ,Soccer, Time: ,Fri Oct 30 14:00:00 CET 2015, Time: ,Fri Oct 30 14:00:00 CET 2015, Event: ,Partizan Bardejov U19 v ZP Sport Podbrezova U19, Favorite: ,ZP Sport Podbrezova U19, 7177229   size:4.16,Price: ,1.07,Partizan Bardejov U19, 7306769   size:4.6,Price: ,2.12,The Draw, 58805   size:6.51,Price: ,2.88,x
1.121396989, Sport: ,Soccer, Time: ,Fri Oct 30 18:00:00 CET 2015, Time: ,Fri Oct 30 18:00:00 CET 2015, Event: ,Trans Narva v FC Infonet, Favorite: ,FC Infonet, 7077882   size:2.55,Price: ,1.95,Trans Narva, 46983   size:2.55,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,3.6,ok
1.121401601, Sport: ,Soccer, Time: ,Fri Oct 30 17:00:00 CET 2015, Time: ,Fri Oct 30 17:00:00 CET 2015, Event: ,Akhisar Belediye v Antalyaspor, Favorite: ,Akhisar Belediye, 4917452   size:6.01,Price: ,2.4,Antalyaspor, 113188   size:74.36,Price: ,3.25,The Draw, 58805   size:222.08,Price: ,3.45,ok
1.121526471, Sport: ,Soccer, Time: ,Fri Oct 30 18:30:00 CET 2015, Time: ,Fri Oct 30 18:30:00 CET 2015, Event: ,Al-Ittihad v Al-Hilal, Favorite: ,Al-Hilal, 3725113   size:8.0,Price: ,1.7,Al-Ittihad, 3727829   size:9.9,Price: ,3.3,The Draw, 58805   size:18.12,Price: ,3.0,x
1.121555357, Sport: ,Handball, Time: ,Fri Oct 30 18:00:00 CET 2015, Time: ,Fri Oct 30 18:00:00 CET 2015, Event: ,Selgros Lublin v Savehof, Favorite: ,Selgros Lublin, 8884756   size:5.21,Price: ,1.01,Savehof, 374429   size:5.21,Price: ,1.01,Draw, 330157   size:5.21,Price: ,1.01,x
1.121523088, Sport: ,Soccer, Time: ,Fri Oct 30 17:00:00 CET 2015, Time: ,Fri Oct 30 17:00:00 CET 2015, Event: ,Al Ain v Al Jazira (UAE), Favorite: ,Al Ain, 1252830   size:41.0,Price: ,1.74,Al Jazira (UAE), 9300989   size:2.18,Price: ,3.55,The Draw, 58805   size:2.14,Price: ,3.6,ok
1.121398470, Sport: ,Soccer, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Almere City v Achilles 29, Favorite: ,Almere City, 4835124   size:10.36,Price: ,1.72,Achilles 29, 4189472   size:208.81,Price: ,5.0,The Draw, 58805   size:127.96,Price: ,4.3,ok
1.121491317, Sport: ,Soccer, Time: ,Fri Oct 30 19:30:00 CET 2015, Time: ,Fri Oct 30 19:30:00 CET 2015, Event: ,Chaves v Porto B, Favorite: ,Chaves, 311029   size:184.59,Price: ,2.16,Porto B, 6563315   size:3.1,Price: ,3.8,The Draw, 58805   size:205.22,Price: ,3.35,x
1.121511098, Sport: ,Basketball, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Zielona Gora v Lokomotiv Kuban, Favorite: ,Lokomotiv Kuban, 5508059   size:2.55,Price: ,1.4,Zielona Gora, 6703617   size:36.65,Price: ,3.0,ok
1.121397269, Sport: ,Soccer, Time: ,Fri Oct 30 19:00:00 CET 2015, Time: ,Fri Oct 30 19:00:00 CET 2015, Event: ,Elversberg v SV Saar, Favorite: ,Elversberg, 500893   size:3.07,Price: ,1.12,SV Saar, 10079938   size:8.0,Price: ,27.0,The Draw, 58805   size:21.85,Price: ,7.6,ok
1.121572778, Sport: ,Basketball, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Saint-Chamond v Nantes, Favorite: ,Saint-Chamond, 10441721   size:2.59,Price: ,1.93,Nantes, 6719007   size:2.59,Price: ,1.93,x
1.121572777, Sport: ,Basketball, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Roanne v Hyeres Toulon, Favorite: ,Roanne, 1293961   size:299.9,Price: ,1.26,Hyeres Toulon, 1293965   size:2.55,Price: ,1.26,x
1.121525148, Sport: ,Soccer, Time: ,Fri Oct 30 18:00:00 CET 2015, Time: ,Fri Oct 30 18:00:00 CET 2015, Event: ,Mqabba v Fgura United FC, Favorite: ,Mqabba, 7177094   size:4.16,Price: ,1.07,Fgura United FC, 10087760   size:4.16,Price: ,1.07,The Draw, 58805   size:5.57,Price: ,2.88,x
