1.121746752, Sport: ,Basketball, Time: ,Tue Nov 17 03:30:00 CET 2015, Time: ,Tue Nov 17 03:30:00 CET 2015, Event: ,San Diego State @ Utah, Favorite: ,Utah, 13119   size:2.55,Price: ,1.44,San Diego State, 711057   size:5.62,Price: ,3.0,ok
1.121836518, Sport: ,Basketball, Time: ,Tue Nov 17 02:05:00 CET 2015, Time: ,Tue Nov 17 02:05:00 CET 2015, Event: ,Oklahoma City @ Memphis, Favorite: ,Memphis, 119812   size:101.0,Price: ,1.71,Oklahoma City, 3363394   size:99.9,Price: ,2.34,ok
1.121849198, Sport: ,Tennis, Time: ,Tue Nov 17 03:00:00 CET 2015, Time: ,Tue Nov 17 03:00:00 CET 2015, Event: ,Y Xu v Han, Favorite: ,Yi-Fan Xu, 2550525   size:58.11,Price: ,1.36,Na Lae Han, 8842691   size:28.07,Price: ,3.05,x
1.121828977, Sport: ,Ice Hockey, Time: ,Tue Nov 17 01:35:00 CET 2015, Time: ,Tue Nov 17 01:35:00 CET 2015, Event: ,Tampa Bay @ Florida, Favorite: ,Tampa Bay, 2109715   size:427.92,Price: ,2.52,Florida, 2112317   size:115.44,Price: ,2.64,Tie, 60104   size:479.29,Price: ,3.85,x
1.121856606, Sport: ,Tennis, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Miyamura v Jeong Jang, Favorite: ,Su Jeong Jang, 7659425   size:91.37,Price: ,1.26,Miki Miyamura, 7445677   size:11.53,Price: ,3.85,ok
1.121848381, Sport: ,Tennis, Time: ,Tue Nov 17 02:30:00 CET 2015, Time: ,Tue Nov 17 02:30:00 CET 2015, Event: ,Hach Verdug/Reyes-Varel v Milton/Smith, Favorite: ,Hach Verdug/Reyes-Varel, 10510902   size:8.42,Price: ,1.04,Milton/Smith, 10531475   size:8.42,Price: ,1.04,x
1.121746759, Sport: ,Basketball, Time: ,Tue Nov 17 05:30:00 CET 2015, Time: ,Tue Nov 17 05:30:00 CET 2015, Event: ,Baylor @ Oregon, Favorite: ,Baylor, 705559   size:21.84,Price: ,1.71,Oregon, 332209   size:12.71,Price: ,2.22,x
1.121834295, Sport: ,Tennis, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Du Lee v Uchiyama, Favorite: ,Yasutaka Uchiyama, 5858048   size:80.26,Price: ,1.44,Duckhee Lee, 8505197   size:2.55,Price: ,2.82,x
1.121836552, Sport: ,Basketball, Time: ,Tue Nov 17 01:00:00 CET 2015, Time: ,Tue Nov 17 01:00:00 CET 2015, Event: ,Lanus v Quilmes, Favorite: ,Lanus, 6719117   size:2.55,Price: ,1.45,Quilmes, 7753472   size:13.0,Price: ,2.98,x
1.121746755, Sport: ,Basketball, Time: ,Tue Nov 17 04:00:00 CET 2015, Time: ,Tue Nov 17 04:00:00 CET 2015, Event: ,UCSB @ Cal, Favorite: ,Cal, 10510957   size:2.55,Price: ,1.09,UCSB, 766401   size:100.13,Price: ,7.0,ok
