1.121141303, Sport: ,Soccer, Time: ,Sat Oct 17 14:00:00 CEST 2015, Time: ,Sat Oct 17 14:00:00 CEST 2015, Event: ,Homburg v Bahlinger, Favorite: ,Homburg, 2049065   size:2.55,Price: ,1.53,Bahlinger, 247829   size:15.03,Price: ,6.4,The Draw, 58805   size:5.25,Price: ,4.6,ok
1.121271125, Sport: ,Basketball, Time: ,Sat Oct 17 21:30:00 CEST 2015, Time: ,Sat Oct 17 21:30:00 CEST 2015, Event: ,Leicester v Manchester, Favorite: ,Leicester, 2938536   size:32.54,Price: ,1.01,Manchester, 6719049   size:32.54,Price: ,1.01,ok
1.121314019, Sport: ,Tennis, Time: ,Sat Oct 17 13:30:00 CEST 2015, Time: ,Sat Oct 17 13:30:00 CEST 2015, Event: ,Pospelova v Koukalova, Favorite: ,Klara Koukalova, 8445700   size:40.81,Price: ,1.05,Aleksandra Pospelova, 8907180   size:6.18,Price: ,12.0,ok
1.121163530, Sport: ,Soccer, Time: ,Sat Oct 17 13:00:00 CEST 2015, Time: ,Sat Oct 17 13:00:00 CEST 2015, Event: ,Tulevik Viljandi v Levadia Tallinn, Favorite: ,Levadia Tallinn, 206564   size:18.51,Price: ,1.14,Tulevik Viljandi, 6242675   size:34.27,Price: ,14.0,The Draw, 58805   size:31.24,Price: ,5.8,ok
1.121240025, Sport: ,Basketball, Time: ,Sat Oct 17 16:00:00 CEST 2015, Time: ,Sat Oct 17 16:00:00 CEST 2015, Event: ,Salon Vilpas v Kataja, Favorite: ,Kataja, 1364981   size:72.57,Price: ,1.52,Salon Vilpas, 7749341   size:21.94,Price: ,2.64,ok
1.121075830, Sport: ,Soccer, Time: ,Sat Oct 17 16:00:00 CEST 2015, Time: ,Sat Oct 17 16:00:00 CEST 2015, Event: ,Southampton v Leicester, Favorite: ,Southampton, 58943   size:839.07,Price: ,1.79,Leicester, 48461   size:1051.03,Price: ,5.1,The Draw, 58805   size:1931.03,Price: ,4.0,x
1.121314016, Sport: ,Tennis, Time: ,Sat Oct 17 15:00:00 CEST 2015, Time: ,Sat Oct 17 15:00:00 CEST 2015, Event: ,Blinkova v Pervushina, Favorite: ,Anna Blinkova, 9635244   size:2.86,Price: ,1.53,Olesya Pervushina, 9633649   size:32.52,Price: ,2.4,ok
1.121076246, Sport: ,Soccer, Time: ,Sat Oct 17 13:45:00 CEST 2015, Time: ,Sat Oct 17 13:45:00 CEST 2015, Event: ,Tottenham v Liverpool, Favorite: ,Tottenham, 48224   size:3999.86,Price: ,2.52,Liverpool, 56323   size:9339.22,Price: ,3.0,The Draw, 58805   size:32868.51,Price: ,3.6,x
1.121283474, Sport: ,Soccer, Time: ,Sat Oct 17 15:05:00 CEST 2015, Time: ,Sat Oct 17 15:05:00 CEST 2015, Event: ,Al Ain v Dibba Al Fujairah, Favorite: ,Al Ain, 1252830   size:3.93,Price: ,1.32,Dibba Al Fujairah, 6685874   size:4.56,Price: ,6.6,The Draw, 58805   size:12.5,Price: ,3.95,ok
1.121291518, Sport: ,Soccer, Time: ,Sat Oct 17 13:00:00 CEST 2015, Time: ,Sat Oct 17 13:00:00 CEST 2015, Event: ,Arema Cronus v Mitra Kukar, Favorite: ,Arema Cronus, 8567505   size:3.52,Price: ,1.07,Mitra Kukar, 7611483   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,1.25,ok
1.121139217, Sport: ,Soccer, Time: ,Sat Oct 17 15:00:00 CEST 2015, Time: ,Sat Oct 17 15:00:00 CEST 2015, Event: ,Bursaspor v Antalyaspor, Favorite: ,Bursaspor, 113183   size:13.6,Price: ,1.8,Antalyaspor, 113188   size:3.14,Price: ,5.1,The Draw, 58805   size:97.98,Price: ,3.95,x
1.121141536, Sport: ,Soccer, Time: ,Sat Oct 17 14:00:00 CEST 2015, Time: ,Sat Oct 17 14:00:00 CEST 2015, Event: ,Hessen Kassel v FC Astoria Walldorf, Favorite: ,Hessen Kassel, 2135390   size:5.03,Price: ,2.26,FC Astoria Walldorf, 8690092   size:28.6,Price: ,3.3,The Draw, 58805   size:20.31,Price: ,3.55,x
1.121239395, Sport: ,Soccer, Time: ,Sat Oct 17 16:00:00 CEST 2015, Time: ,Sat Oct 17 16:00:00 CEST 2015, Event: ,Trofense v Santa Clara, Favorite: ,Santa Clara, 48793   size:15.63,Price: ,2.2,Trofense, 1287674   size:10.95,Price: ,2.88,The Draw, 58805   size:12.36,Price: ,3.2,x
1.121060459, Sport: ,Cricket, Time: ,Sun Oct 18 03:30:00 CEST 2015, Time: ,Sun Oct 18 03:30:00 CEST 2015, Event: ,Papua New Guinea U19 v Uganda U19, Favorite: ,Papua New Guinea U19, 8221871   size:15.99,Price: ,1.04,Uganda U19, 10380954   size:15.99,Price: ,1.04,x
1.121138929, Sport: ,Soccer, Time: ,Sat Oct 17 15:00:00 CEST 2015, Time: ,Sat Oct 17 15:00:00 CEST 2015, Event: ,Ternana v Bari, Favorite: ,Bari, 676466   size:40.42,Price: ,2.66,Ternana, 60308   size:78.32,Price: ,3.15,The Draw, 58805   size:142.6,Price: ,3.1,x
1.121239392, Sport: ,Basketball, Time: ,Sat Oct 17 16:00:00 CEST 2015, Time: ,Sat Oct 17 16:00:00 CEST 2015, Event: ,Hoersholm v Bakken, Favorite: ,Bakken, 7224123   size:32.54,Price: ,1.01,Hoersholm, 6719077   size:43.48,Price: ,1.71,ok
1.121276382, Sport: ,Soccer, Time: ,Sat Oct 17 14:30:00 CEST 2015, Time: ,Sat Oct 17 14:30:00 CEST 2015, Event: ,FC Minsk v Torpedo BelAZ, Favorite: ,FC Minsk, 5494964   size:13.74,Price: ,1.72,Torpedo BelAZ, 5606609   size:2.68,Price: ,4.0,The Draw, 58805   size:21.21,Price: ,3.15,x
1.121278852, Sport: ,Soccer, Time: ,Sat Oct 17 15:00:00 CEST 2015, Time: ,Sat Oct 17 15:00:00 CEST 2015, Event: ,NK Zadar U19 v Hrvatski Dragov. U19, Favorite: ,NK Zadar U19, 7236651   size:3.52,Price: ,1.07,Hrvatski Dragov. U19, 7304552   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,1.25,x
1.121285028, Sport: ,Soccer, Time: ,Sat Oct 17 12:00:00 CEST 2015, Time: ,Sat Oct 17 12:00:00 CEST 2015, Event: ,MKS Korona Kielce U19 v GKS Belchatow U19, Favorite: ,MKS Korona Kielce U19, 7202812   size:3.52,Price: ,1.07,GKS Belchatow U19, 7583332   size:3.52,Price: ,1.07,The Draw, 58805   size:3.11,Price: ,1.25,x
