1.122186739, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Spennymoor Town v Ossett Town FC, Favorite: ,Spennymoor Town, 7536171   size:5.99,Price: ,1.33,Ossett Town FC, 7885844   size:30.42,Price: ,5.5,The Draw, 58805   size:39.64,Price: ,4.2,x
1.122180641, Sport: ,Handball, Time: ,Tue Dec 08 18:30:00 CET 2015, Time: ,Tue Dec 08 18:30:00 CET 2015, Event: ,Poland v China, Favorite: ,Poland, 624114   size:2.77,Price: ,1.03,China, 620391   size:18.0,Price: ,1.04,Draw, 330157   size:18.0,Price: ,1.04,ok
1.122183599, Sport: ,Basketball, Time: ,Wed Dec 09 01:00:00 CET 2015, Time: ,Wed Dec 09 01:00:00 CET 2015, Event: ,Wright State @ Xavier, Favorite: ,Wright State, 705249   size:2.77,Price: ,1.03,Xavier, 351829   size:2.77,Price: ,1.03,x
1.122094564, Sport: ,Soccer, Time: ,Tue Dec 08 15:00:00 CET 2015, Time: ,Tue Dec 08 15:00:00 CET 2015, Event: ,Perugia v Novara, Favorite: ,Perugia, 215828   size:3.69,Price: ,2.46,Novara, 522045   size:61.5,Price: ,3.65,The Draw, 58805   size:915.15,Price: ,3.05,x
1.122183993, Sport: ,Tennis, Time: ,Tue Dec 08 09:30:00 CET 2015, Time: ,Tue Dec 08 09:30:00 CET 2015, Event: ,Margarita Lazareva v Ines Murta, Favorite: ,Margarita Lazareva, 7168429   size:136.26,Price: ,1.47,Ines Murta, 8490637   size:24.22,Price: ,3.0,x
1.122095655, Sport: ,Soccer, Time: ,Tue Dec 08 14:00:00 CET 2015, Time: ,Tue Dec 08 14:00:00 CET 2015, Event: ,Sevilla U19 v Juventus U19, Favorite: ,Sevilla U19, 10261979   size:8.55,Price: ,1.86,Juventus U19, 2502329   size:3.33,Price: ,3.55,The Draw, 58805   size:3.92,Price: ,3.6,ok
1.122183595, Sport: ,Basketball, Time: ,Wed Dec 09 01:00:00 CET 2015, Time: ,Wed Dec 09 01:00:00 CET 2015, Event: ,Colgate @ Syracuse, Favorite: ,Syracuse, 332213   size:2.77,Price: ,1.03,Colgate, 713730   size:5.99,Price: ,3.05,ok
1.122185012, Sport: ,Soccer, Time: ,Tue Dec 08 13:00:00 CET 2015, Time: ,Tue Dec 08 13:00:00 CET 2015, Event: ,CD Tenerife II v V de Santa Brigida, Favorite: ,CD Tenerife II, 9320413   size:87.59,Price: ,1.9,V de Santa Brigida, 2522836   size:55.32,Price: ,3.0,The Draw, 58805   size:124.84,Price: ,3.4,x
1.122097270, Sport: ,Ice Hockey, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Sonderjyske v Herning, Favorite: ,Tie, 60104   size:5.99,Price: ,1.19,SonderjyskE, 2719119   size:11.72,Price: ,1.9,Herning, 70631   size:5.99,Price: ,1.24,x
1.122184680, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Berwick U20 v Stenhousemuir U20, Favorite: ,Berwick U20, 9131077   size:5.99,Price: ,1.46,Stenhousemuir U20, 9001453   size:47.94,Price: ,3.45,The Draw, 58805   size:33.19,Price: ,5.0,x
1.122095490, Sport: ,Soccer, Time: ,Tue Dec 08 16:00:00 CET 2015, Time: ,Tue Dec 08 16:00:00 CET 2015, Event: ,Paris St-G U19 v Shakhtar U19, Favorite: ,Paris St-G U19, 6569319   size:2.66,Price: ,1.23,Shakhtar U19, 7653217   size:5.59,Price: ,7.4,The Draw, 58805   size:2.72,Price: ,5.2,ok
1.122097274, Sport: ,Ice Hockey, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Herlev v Aalborg, Favorite: ,Herlev, 227439   size:3.07,Price: ,2.1,Aalborg, 70634   size:85.63,Price: ,2.62,Tie, 60104   size:34.24,Price: ,5.2,ok
1.122098640, Sport: ,Soccer, Time: ,Tue Dec 08 16:00:00 CET 2015, Time: ,Tue Dec 08 16:00:00 CET 2015, Event: ,La Baneza FC v CD Burgos, Favorite: ,La Baneza FC, 8077014   size:2.55,Price: ,1.13,CD Burgos, 8997862   size:2.55,Price: ,2.16,The Draw, 58805   size:12.48,Price: ,3.15,ok
1.122194638, Sport: ,Soccer, Time: ,Tue Dec 08 16:30:00 CET 2015, Time: ,Tue Dec 08 16:30:00 CET 2015, Event: ,Arcos CF v UD Rotena, Favorite: ,Arcos CF, 6540001   size:92.2,Price: ,1.23,UD Rotena, 6502553   size:20.28,Price: ,8.2,The Draw, 58805   size:35.95,Price: ,4.6,ok
1.122098088, Sport: ,Soccer, Time: ,Tue Dec 08 13:00:00 CET 2015, Time: ,Tue Dec 08 13:00:00 CET 2015, Event: ,UD Telde v CD Santa Ursula, Favorite: ,UD Telde, 7544056   size:2.55,Price: ,1.57,CD Santa Ursula, 8822719   size:3.53,Price: ,5.0,The Draw, 58805   size:2.55,Price: ,3.65,x
1.121988048, Sport: ,Ice Hockey, Time: ,Tue Dec 08 16:30:00 CET 2015, Time: ,Tue Dec 08 16:30:00 CET 2015, Event: ,Karpat v Blues, Favorite: ,Karpat, 66430   size:4.49,Price: ,1.36,Blues, 66804   size:73.09,Price: ,5.8,Tie, 60104   size:53.0,Price: ,5.7,ok
1.122124921, Sport: ,Ice Hockey, Time: ,Wed Dec 09 01:35:00 CET 2015, Time: ,Wed Dec 09 01:35:00 CET 2015, Event: ,Detroit @ Washington, Favorite: ,Washington, 2109756   size:2.06,Price: ,1.97,Detroit, 975676   size:2.08,Price: ,3.1,Tie, 60104   size:4.58,Price: ,4.0,x
