1.122328589, Sport: ,Soccer, Time: ,Sun Dec 20 15:45:00 CET 2015, Time: ,Sun Dec 20 15:45:00 CET 2015, Event: ,CD Anguiano v SD Oyonesa, Favorite: ,CD Anguiano, 8585889   size:3.68,Price: ,1.13,SD Oyonesa, 8439465   size:3.68,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122316376, Sport: ,Basketball, Time: ,Sun Dec 20 12:30:00 CET 2015, Time: ,Sun Dec 20 12:30:00 CET 2015, Event: ,Ourense v Palencia, Favorite: ,Palencia, 4661101   size:2.55,Price: ,1.39,Ourense, 4661102   size:63.45,Price: ,3.25,ok
1.122303906, Sport: ,Ice Hockey, Time: ,Mon Dec 21 01:05:00 CET 2015, Time: ,Mon Dec 21 01:05:00 CET 2015, Event: ,San Jose @ Chicago, Favorite: ,San Jose, 2110001   size:5.98,Price: ,1.31,Chicago, 2109831   size:2.28,Price: ,1.87,Tie, 60104   size:9.37,Price: ,3.8,x
1.122328629, Sport: ,Soccer, Time: ,Sun Dec 20 16:30:00 CET 2015, Time: ,Sun Dec 20 16:30:00 CET 2015, Event: ,CDFC La Calzada v CD Villegas, Favorite: ,CDFC La Calzada, 7239220   size:9.2,Price: ,1.06,CD Villegas, 8889596   size:9.2,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,3.15,x
1.122316370, Sport: ,Basketball, Time: ,Sun Dec 20 12:00:00 CET 2015, Time: ,Sun Dec 20 12:00:00 CET 2015, Event: ,Leyma Coruna v Navarra, Favorite: ,Leyma Coruna, 6719107   size:4.13,Price: ,1.44,Navarra, 5021017   size:34.26,Price: ,3.0,ok
1.122253401, Sport: ,Soccer, Time: ,Sun Dec 20 14:00:00 CET 2015, Time: ,Sun Dec 20 14:00:00 CET 2015, Event: ,Akragas v Melfi, Favorite: ,Akragas, 8750960   size:16.44,Price: ,2.14,Melfi, 2012799   size:6.57,Price: ,4.0,The Draw, 58805   size:2.55,Price: ,3.2,x
1.122345908, Sport: ,Basketball, Time: ,Sun Dec 20 19:00:00 CET 2015, Time: ,Sun Dec 20 19:00:00 CET 2015, Event: ,Huesca v Prat Joventut, Favorite: ,Huesca, 5021019   size:6.09,Price: ,1.17,Prat Joventut, 8832823   size:13.18,Price: ,6.2,ok
1.122284828, Sport: ,Volleyball, Time: ,Sun Dec 20 18:00:00 CET 2015, Time: ,Sun Dec 20 18:00:00 CET 2015, Event: ,Calzedonia Verona v Sir Safety Perugia, Favorite: ,Calzedonia Verona, 9132051   size:82.22,Price: ,1.86,Sir Safety Perugia, 7833200   size:5.98,Price: ,1.98,ok
1.122284829, Sport: ,Volleyball, Time: ,Sun Dec 20 18:00:00 CET 2015, Time: ,Sun Dec 20 18:00:00 CET 2015, Event: ,Cucine Lube Civitanova v CMC Ravenna, Favorite: ,Cucine Lube Civitanova, 10463803   size:3.77,Price: ,1.04,CMC Ravenna, 7833304   size:2.89,Price: ,7.2,ok
1.122253403, Sport: ,Soccer, Time: ,Sun Dec 20 14:00:00 CET 2015, Time: ,Sun Dec 20 14:00:00 CET 2015, Event: ,Catanzaro v Ischia Isolaverde, Favorite: ,Catanzaro, 522058   size:9.81,Price: ,2.06,Ischia Isolaverde, 8203820   size:94.47,Price: ,4.1,The Draw, 58805   size:7.97,Price: ,3.3,ok
1.122253405, Sport: ,Soccer, Time: ,Sun Dec 20 17:30:00 CET 2015, Time: ,Sun Dec 20 17:30:00 CET 2015, Event: ,Cosenza v Fidelis Andria, Favorite: ,Cosenza, 60302   size:7.91,Price: ,2.22,Fidelis Andria, 928539   size:2.55,Price: ,3.85,The Draw, 58805   size:108.7,Price: ,3.05,ok
1.122253009, Sport: ,Soccer, Time: ,Sun Dec 20 15:00:00 CET 2015, Time: ,Sun Dec 20 15:00:00 CET 2015, Event: ,White Star Bruxelles v Lommel Utd, Favorite: ,White Star Bruxelles, 7408886   size:2.74,Price: ,2.5,Lommel Utd, 5741869   size:9.55,Price: ,3.15,The Draw, 58805   size:7.53,Price: ,3.35,ok
1.122253407, Sport: ,Soccer, Time: ,Sun Dec 20 17:30:00 CET 2015, Time: ,Sun Dec 20 17:30:00 CET 2015, Event: ,Cremonese v Cittadella, Favorite: ,Cremonese, 924267   size:2.55,Price: ,2.7,Cittadella, 60295   size:8.49,Price: ,3.1,The Draw, 58805   size:7.75,Price: ,3.05,x
1.122342873, Sport: ,Soccer, Time: ,Sun Dec 20 21:00:00 CET 2015, Time: ,Sun Dec 20 21:00:00 CET 2015, Event: ,Boys Town FC v UWI FC, Favorite: ,Boys Town FC, 7688376   size:2.55,Price: ,2.0,UWI FC, 8115116   size:31.62,Price: ,3.25,The Draw, 58805   size:5.36,Price: ,3.05,ok
1.122328575, Sport: ,Soccer, Time: ,Sun Dec 20 15:30:00 CET 2015, Time: ,Sun Dec 20 15:30:00 CET 2015, Event: ,Selaya FC v SD Atletico Albericia, Favorite: ,Selaya FC, 8975238   size:3.68,Price: ,1.13,SD Atletico Albericia, 8941335   size:3.68,Price: ,1.13,The Draw, 58805   size:16.44,Price: ,2.88,x
1.122342597, Sport: ,Soccer, Time: ,Mon Dec 21 00:00:00 CET 2015, Time: ,Mon Dec 21 00:00:00 CET 2015, Event: ,Jennings Grenades FC v Empire FC, Favorite: ,Jennings Grenades FC, 8100432   size:65.87,Price: ,2.04,Empire FC, 10454839   size:39.37,Price: ,2.74,The Draw, 58805   size:29.14,Price: ,3.35,x
1.122328573, Sport: ,Soccer, Time: ,Sun Dec 20 15:30:00 CET 2015, Time: ,Sun Dec 20 15:30:00 CET 2015, Event: ,CD Cayon v SD Gama, Favorite: ,CD Cayon, 7331872   size:2.55,Price: ,1.36,SD Gama, 8191281   size:2.0,Price: ,11.0,The Draw, 58805   size:43.94,Price: ,4.3,x
1.122252277, Sport: ,Soccer, Time: ,Sun Dec 20 19:30:00 CET 2015, Time: ,Sun Dec 20 19:30:00 CET 2015, Event: ,CFR Cluj v Dinamo Bucharest, Favorite: ,CFR Cluj, 1193695   size:187.55,Price: ,2.48,Dinamo Bucharest, 46937   size:14.87,Price: ,3.3,The Draw, 58805   size:537.0,Price: ,3.15,x
1.122328617, Sport: ,Soccer, Time: ,Sun Dec 20 16:30:00 CET 2015, Time: ,Sun Dec 20 16:30:00 CET 2015, Event: ,CDA Navalcarnero v RSD Alcala, Favorite: ,CDA Navalcarnero, 9376533   size:203.57,Price: ,1.52,RSD Alcala, 4943233   size:33.98,Price: ,5.5,The Draw, 58805   size:63.98,Price: ,3.45,x
1.122339060, Sport: ,Soccer, Time: ,Sun Dec 20 14:00:00 CET 2015, Time: ,Sun Dec 20 14:00:00 CET 2015, Event: ,Al Jazeera (JOR) v That Ras, Favorite: ,Al Jazeera (Jor), 9262035   size:2.55,Price: ,1.89,That Ras, 5649897   size:28.5,Price: ,3.55,The Draw, 58805   size:42.19,Price: ,3.05,ok
1.122328579, Sport: ,Soccer, Time: ,Sun Dec 20 15:30:00 CET 2015, Time: ,Sun Dec 20 15:30:00 CET 2015, Event: ,CD Belchite 97 v SD Ejea, Favorite: ,CD Belchite 97, 10398417   size:3.68,Price: ,1.13,SD Ejea, 6412881   size:3.68,Price: ,1.13,The Draw, 58805   size:5.0,Price: ,3.15,x
1.122328611, Sport: ,Soccer, Time: ,Sun Dec 20 16:30:00 CET 2015, Time: ,Sun Dec 20 16:30:00 CET 2015, Event: ,CD San Fernando v Futbol Alcobendas Sport, Favorite: ,CD San Fernando, 9320398   size:2.45,Price: ,2.42,Futbol Alcobendas Sport, 9433225   size:2.3,Price: ,2.58,The Draw, 58805   size:6.02,Price: ,3.05,x
