1.121747165, Sport: ,Tennis, Time: ,Wed Nov 11 18:30:00 CET 2015, Time: ,Wed Nov 11 18:30:00 CET 2015, Event: ,Kovinic v Kozlova, Favorite: ,Danka Kovinic, 7414059   size:98.08,Price: ,1.62,Kateryna Kozlova, 7051154   size:93.35,Price: ,2.52,x
1.121679672, Sport: ,Volleyball, Time: ,Wed Nov 11 19:00:00 CET 2015, Time: ,Wed Nov 11 19:00:00 CET 2015, Event: ,Allianz Mtv Stuttgart v Dinamo Kazan, Favorite: ,Dinamo Kazan, 5990300   size:36.01,Price: ,1.01,Allianz MTV Stuttgart, 9183765   size:6.04,Price: ,1.68,ok
1.121748295, Sport: ,Tennis, Time: ,Wed Nov 11 11:10:00 CET 2015, Time: ,Wed Nov 11 11:10:00 CET 2015, Event: ,Hibino v Kulichkova, Favorite: ,Nao Hibino, 7683152   size:328.26,Price: ,1.81,Elizaveta Kulichkova, 7795296   size:4.99,Price: ,2.12,ok
1.121734208, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Neptunas v AEK Athens, Favorite: ,Neptunas, 5261523   size:5.1,Price: ,1.67,AEK Athens, 266282   size:23.79,Price: ,2.3,x
1.121716987, Sport: ,Tennis, Time: ,Wed Nov 11 17:45:00 CET 2015, Time: ,Wed Nov 11 17:45:00 CET 2015, Event: ,Youzhny v Blasko, Favorite: ,Mikhail Youzhny, 2263536   size:434.8,Price: ,1.06,Martin Blasko, 8960896   size:9.72,Price: ,15.5,ok
1.121733831, Sport: ,Basketball, Time: ,Wed Nov 11 17:00:00 CET 2015, Time: ,Wed Nov 11 17:00:00 CET 2015, Event: ,Tsmoki Minsk v Kataja, Favorite: ,Tsmoki Minsk, 6815371   size:2.55,Price: ,1.25,Kataja, 1364981   size:12.08,Price: ,4.5,x
1.121755343, Sport: ,Tennis, Time: ,Wed Nov 11 17:45:00 CET 2015, Time: ,Wed Nov 11 17:45:00 CET 2015, Event: ,R Olivo v Edmund, Favorite: ,Kyle Edmund, 5626817   size:8.59,Price: ,1.67,Renzo Olivo, 4822931   size:2.55,Price: ,2.24,ok
1.121679678, Sport: ,Volleyball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Fenerbahce Grundig v Telekom Baku, Favorite: ,Fenerbahce Universal Is, 10381421   size:100.0,Price: ,1.01,Rabita Baku, 5121198   size:6.04,Price: ,1.68,ok
1.121651029, Sport: ,Soccer, Time: ,Wed Nov 11 11:00:00 CET 2015, Time: ,Wed Nov 11 11:00:00 CET 2015, Event: ,Tokushima v Hiroshima, Favorite: ,Hiroshima, 744103   size:77.78,Price: ,1.7,Tokushima, 5026012   size:27.58,Price: ,5.7,The Draw, 58805   size:8.96,Price: ,4.1,ok
1.121679717, Sport: ,Volleyball, Time: ,Wed Nov 11 11:00:00 CET 2015, Time: ,Wed Nov 11 11:00:00 CET 2015, Event: ,Suwon Kepco v Deajeon Bluefangs, Favorite: ,Suwon Kepco, 10389011   size:1712.61,Price: ,1.01,Deajeon Bluefangs, 10389009   size:1712.61,Price: ,1.01,x
