1.121627589, Sport: ,Soccer, Time: ,Mon Nov 09 00:00:00 CET 2015, Time: ,Mon Nov 09 00:00:00 CET 2015, Event: ,Uniautonoma v La Equidad, Favorite: ,La Equidad, 4082025   size:136.81,Price: ,2.38,Uniautonoma, 8220175   size:16.82,Price: ,3.55,The Draw, 58805   size:2.0,Price: ,3.25,x
1.121572556, Sport: ,Basketball, Time: ,Sun Nov 08 21:30:00 CET 2015, Time: ,Sun Nov 08 21:30:00 CET 2015, Event: ,Indiana @ Cleveland, Favorite: ,Cleveland, 13112   size:3780.57,Price: ,1.27,Indiana, 13116   size:520.54,Price: ,4.5,ok
1.121729695, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Waterhouse FC v Humble Lions, Favorite: ,Humble Lions, 7666195   size:19.47,Price: ,1.03,Waterhouse FC, 7735650   size:44.86,Price: ,5.0,The Draw, 58805   size:19.47,Price: ,1.03,x
1.121601032, Sport: ,Ice Hockey, Time: ,Mon Nov 09 02:05:00 CET 2015, Time: ,Mon Nov 09 02:05:00 CET 2015, Event: ,Edmonton @ Chicago, Favorite: ,Chicago, 2109831   size:321.13,Price: ,1.91,Edmonton, 2109967   size:121.26,Price: ,3.7,Tie, 60104   size:106.88,Price: ,4.5,ok
1.121628551, Sport: ,Soccer, Time: ,Mon Nov 09 00:00:00 CET 2015, Time: ,Mon Nov 09 00:00:00 CET 2015, Event: ,Puebla v Tijuana, Favorite: ,Puebla, 328956   size:22.43,Price: ,1.99,Tijuana, 5687741   size:121.15,Price: ,4.0,The Draw, 58805   size:18.32,Price: ,3.85,ok
1.121628992, Sport: ,Soccer, Time: ,Mon Nov 09 02:00:00 CET 2015, Time: ,Mon Nov 09 02:00:00 CET 2015, Event: ,Boyaca Chico v Jaguares de Cordoba, Favorite: ,Boyaca Chico, 3636902   size:53.27,Price: ,1.72,Jaguares de Cordoba, 7055314   size:32.34,Price: ,6.2,The Draw, 58805   size:51.92,Price: ,3.7,ok
1.121724680, Sport: ,Tennis, Time: ,Sun Nov 08 21:15:00 CET 2015, Time: ,Sun Nov 08 21:15:00 CET 2015, Event: ,Margaroli v Smethurst, Favorite: ,Daniel Smethurst, 7364223   size:6.04,Price: ,1.31,Luca Margaroli, 8596708   size:15.82,Price: ,3.8,ok
1.121705289, Sport: ,Soccer, Time: ,Sun Nov 08 22:00:00 CET 2015, Time: ,Sun Nov 08 22:00:00 CET 2015, Event: ,FAS v CD Pasaquina, Favorite: ,Fas, 4867481   size:10.15,Price: ,2.2,CD Pasaquina, 8761177   size:3.04,Price: ,3.3,The Draw, 58805   size:2.39,Price: ,3.1,ok
1.121643989, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Ottawa Fury v Minnesota Utd, Favorite: ,Ottawa Fury, 8441973   size:17.07,Price: ,2.08,Minnesota Utd, 7533070   size:10.32,Price: ,3.6,The Draw, 58805   size:5.04,Price: ,3.4,x
1.121642379, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Atletico Parana v Central Cordoba, Favorite: ,Atletico Parana, 5985269   size:21.16,Price: ,2.08,Central Cordoba, 5628510   size:2.78,Price: ,4.4,The Draw, 58805   size:4.37,Price: ,3.2,x
