1.121362491, Sport: ,Baseball, Time: ,Wed Oct 21 22:07:00 CEST 2015, Time: ,Wed Oct 21 22:07:00 CEST 2015, Event: ,KC @ TOR, Favorite: ,Toronto (M Estrada), 9458890   size:5.0,Price: ,1.66,Kansas City (E Volquez), 9385643   size:5.28,Price: ,2.32,ok
1.121351487, Sport: ,Basketball, Time: ,Wed Oct 21 15:30:00 CEST 2015, Time: ,Wed Oct 21 15:30:00 CEST 2015, Event: ,Beovuk 72 v Jagodina, Favorite: ,Beovuk 72, 10370887   size:8.21,Price: ,1.03,Jagodina, 8834845   size:8.21,Price: ,1.03,ok
1.121350794, Sport: ,Tennis, Time: ,Wed Oct 21 18:00:00 CEST 2015, Time: ,Wed Oct 21 18:00:00 CEST 2015, Event: ,O Rogowska v M Sanchez, Favorite: ,Maria Sanchez, 5374654   size:6.5,Price: ,1.56,Olivia Rogowska, 3610739   size:5.03,Price: ,2.48,ok
1.121351484, Sport: ,Basketball, Time: ,Wed Oct 21 19:00:00 CEST 2015, Time: ,Wed Oct 21 19:00:00 CEST 2015, Event: ,Asseco Gdynia v Rosa Radom, Favorite: ,Rosa Radom, 6703618   size:7.04,Price: ,1.37,Asseco Gdynia, 7817588   size:2.06,Price: ,2.98,ok
1.121237483, Sport: ,Ice Hockey, Time: ,Wed Oct 21 19:30:00 CEST 2015, Time: ,Wed Oct 21 19:30:00 CEST 2015, Event: ,Medvescak Zagreb v Avangard, Favorite: ,Avangard, 2558172   size:2.65,Price: ,2.32,Medvescak Zagreb, 4182882   size:2.23,Price: ,2.76,Tie, 60104   size:7.36,Price: ,3.7,ok
1.121362529, Sport: ,Tennis, Time: ,Wed Oct 21 11:45:00 CEST 2015, Time: ,Wed Oct 21 11:45:00 CEST 2015, Event: ,K Mladenovic v M Gasparyan, Favorite: ,Kristina Mladenovic, 3622052   size:52.56,Price: ,1.79,Margarita Gasparyan, 6750186   size:8.12,Price: ,2.12,x
1.121351488, Sport: ,Basketball, Time: ,Wed Oct 21 18:00:00 CEST 2015, Time: ,Wed Oct 21 18:00:00 CEST 2015, Event: ,Napredak Rubin v FMP Beograd, Favorite: ,Napredak Rubin, 7735779   size:8.21,Price: ,1.03,FMP Beograd, 10370970   size:8.21,Price: ,1.03,x
1.121331630, Sport: ,Tennis, Time: ,Wed Oct 21 14:30:00 CEST 2015, Time: ,Wed Oct 21 14:30:00 CEST 2015, Event: ,P Mathieu v Fognini, Favorite: ,Fabio Fognini, 2319544   size:14.39,Price: ,1.52,Paul-Henri Mathieu, 8259186   size:26.49,Price: ,2.6,ok
1.121351489, Sport: ,Basketball, Time: ,Wed Oct 21 17:00:00 CEST 2015, Time: ,Wed Oct 21 17:00:00 CEST 2015, Event: ,Smederevo v Borac, Favorite: ,Smederevo, 7735927   size:8.21,Price: ,1.03,Borac, 8400163   size:8.21,Price: ,1.03,ok
1.121362120, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Maria v Barthel, Favorite: ,Mona Barthel, 5056975   size:48.89,Price: ,1.24,Tatjana Maria, 7299657   size:41.92,Price: ,4.4,ok
1.121359474, Sport: ,Soccer, Time: ,Wed Oct 21 19:45:00 CEST 2015, Time: ,Wed Oct 21 19:45:00 CEST 2015, Event: ,Zamalek v Wadi Degla, Favorite: ,Zamalek, 5174134   size:3.68,Price: ,1.54,Wadi degla, 5259318   size:4.04,Price: ,6.2,The Draw, 58805   size:4.18,Price: ,3.95,ok
1.121362889, Sport: ,Tennis, Time: ,Wed Oct 21 13:30:00 CEST 2015, Time: ,Wed Oct 21 13:30:00 CEST 2015, Event: ,P Cuevas v R Haase, Favorite: ,Pablo Cuevas, 2424953   size:53.46,Price: ,1.76,Robin Haase, 2309796   size:4.34,Price: ,2.26,x
1.121369270, Sport: ,Soccer, Time: ,Wed Oct 21 18:00:00 CEST 2015, Time: ,Wed Oct 21 18:00:00 CEST 2015, Event: ,Rudar v NK Maribor, Favorite: ,NK Maribor, 44625   size:4.0,Price: ,1.54,Rudar, 2143882   size:4.31,Price: ,4.6,The Draw, 58805   size:17.81,Price: ,3.35,x
1.121328247, Sport: ,Basketball, Time: ,Wed Oct 21 20:00:00 CEST 2015, Time: ,Wed Oct 21 20:00:00 CEST 2015, Event: ,Hapoel M Jerusalem v Neptunas, Favorite: ,Hapoel M Jerusalem, 7758971   size:2.55,Price: ,1.22,Neptunas, 5261523   size:10.44,Price: ,2.3,ok
1.121328243, Sport: ,Basketball, Time: ,Wed Oct 21 17:30:00 CEST 2015, Time: ,Wed Oct 21 17:30:00 CEST 2015, Event: ,Galatasaray v AEK Athens, Favorite: ,Galatasaray, 631281   size:2.55,Price: ,1.3,AEK Athens, 266282   size:2.55,Price: ,3.7,ok
1.121002421, Sport: ,Soccer, Time: ,Wed Oct 21 20:45:00 CEST 2015, Time: ,Wed Oct 21 20:45:00 CEST 2015, Event: ,Wolfsburg v PSV, Favorite: ,Wolfsburg, 44521   size:764.48,Price: ,1.67,PSV, 48451   size:40.57,Price: ,5.9,The Draw, 58805   size:268.94,Price: ,4.3,ok
1.121353935, Sport: ,Soccer, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Mika v FC Shirak, Favorite: ,FC Shirak, 866231   size:2.55,Price: ,2.16,Mika, 4843272   size:3.07,Price: ,2.84,The Draw, 58805   size:2.17,Price: ,3.6,x
1.121002946, Sport: ,Soccer, Time: ,Wed Oct 21 20:45:00 CEST 2015, Time: ,Wed Oct 21 20:45:00 CEST 2015, Event: ,Man City v Sevilla, Favorite: ,Man City, 47999   size:795.46,Price: ,1.68,Sevilla, 44508   size:188.48,Price: ,5.8,The Draw, 58805   size:201.66,Price: ,4.3,ok
1.121362793, Sport: ,Tennis, Time: ,Wed Oct 21 20:30:00 CEST 2015, Time: ,Wed Oct 21 20:30:00 CEST 2015, Event: ,Dodig v Przysiezny, Favorite: ,Ivan Dodig, 2835266   size:4.27,Price: ,1.44,Michal Przysiezny, 2475803   size:2.36,Price: ,2.6,ok
1.121362155, Sport: ,Tennis, Time: ,Wed Oct 21 21:45:00 CEST 2015, Time: ,Wed Oct 21 21:45:00 CEST 2015, Event: ,D Evans v D Novikov, Favorite: ,Daniel Evans, 3103121   size:2.89,Price: ,1.73,Dennis Novikov, 6217982   size:2.31,Price: ,2.16,x
1.121362151, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Foretz v Honcova, Favorite: ,Stephanie Foretz, 9152710   size:7.11,Price: ,1.34,Michaela Honcova, 7049176   size:8.24,Price: ,3.5,ok
1.121362150, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Ramialison v Schnyder, Favorite: ,Patty Schnyder, 4843506   size:5.72,Price: ,1.41,Irina Ramialison, 7289605   size:7.33,Price: ,3.4,x
1.121233384, Sport: ,Soccer, Time: ,Wed Oct 21 20:00:00 CEST 2015, Time: ,Wed Oct 21 20:00:00 CEST 2015, Event: ,Middlesbrough U19 v Reims U19, Favorite: ,Middlesbrough U19, 10317843   size:2.72,Price: ,2.26,Reims U19, 10317842   size:9.72,Price: ,2.36,The Draw, 58805   size:17.52,Price: ,3.45,ok
1.121362152, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Eraydin v Georges, Favorite: ,Myrtille Georges, 7283251   size:304.81,Price: ,1.23,Basak Eraydin, 4874442   size:5.01,Price: ,4.5,x
1.121233827, Sport: ,Soccer, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,AC Sparta Praha U19 v FC Zbrojovka Brno U19, Favorite: ,AC Sparta Praha U19, 6533101   size:5.0,Price: ,1.35,FC Zbrojovka Brno U19, 6573638   size:3.46,Price: ,5.8,The Draw, 58805   size:3.72,Price: ,4.4,ok
1.121376282, Sport: ,Tennis, Time: ,Wed Oct 21 17:30:00 CEST 2015, Time: ,Wed Oct 21 17:30:00 CEST 2015, Event: ,Scholl v Min, Favorite: ,Grace Min, 6280340   size:2.55,Price: ,1.23,Chiara Scholl, 7049665   size:7.53,Price: ,3.35,ok
