1.121766642, Sport: ,Basketball, Time: ,Sat Nov 14 06:00:00 CET 2015, Time: ,Sat Nov 14 06:00:00 CET 2015, Event: ,Jeonju KCC Egis v Incheon Elephants, Favorite: ,Jeonju KCC Egis, 8148243   size:4.97,Price: ,1.31,Incheon Elephants, 8248315   size:20.92,Price: ,3.65,ok
1.121766769, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Glasgow v Leicester, Favorite: ,Glasgow, 6719052   size:73.78,Price: ,1.58,Leicester, 2938536   size:49.18,Price: ,1.87,x
1.121766802, Sport: ,Basketball, Time: ,Sat Nov 14 01:00:00 CET 2015, Time: ,Sat Nov 14 01:00:00 CET 2015, Event: ,Ferro Carril Oeste v San Lorenzo de Almagro, Favorite: ,San Lorenzo de Almagro, 10309838   size:5.0,Price: ,1.39,Ferro Carril Oeste, 10312212   size:12.0,Price: ,3.15,ok
1.121766803, Sport: ,Basketball, Time: ,Fri Nov 13 21:00:00 CET 2015, Time: ,Fri Nov 13 21:00:00 CET 2015, Event: ,Tajfun v Metalac, Favorite: ,Tajfun, 8193254   size:2.83,Price: ,1.03,Metalac, 7735981   size:2.83,Price: ,1.03,ok
1.121766525, Sport: ,Basketball, Time: ,Sat Nov 14 04:05:00 CET 2015, Time: ,Sat Nov 14 04:05:00 CET 2015, Event: ,Brooklyn @ Sacramento, Favorite: ,Sacramento, 13127   size:5.0,Price: ,1.36,Brooklyn, 6758557   size:4.46,Price: ,3.7,ok
1.121819211, Sport: ,Tennis, Time: ,Sat Nov 14 03:45:00 CET 2015, Time: ,Sat Nov 14 03:45:00 CET 2015, Event: ,Moritani v R Ghedin, Favorite: ,Riccardo Ghedin, 3506053   size:8.38,Price: ,1.04,Soichiro Moritani, 8349391   size:6.05,Price: ,1.53,ok
1.121746678, Sport: ,Basketball, Time: ,Sat Nov 14 01:00:00 CET 2015, Time: ,Sat Nov 14 01:00:00 CET 2015, Event: ,Northern Michigan @ Michigan, Favorite: ,Northern Michigan, 4308524   size:8.38,Price: ,1.04,Michigan, 697627   size:8.38,Price: ,1.04,x
1.121766801, Sport: ,Basketball, Time: ,Sat Nov 14 01:30:00 CET 2015, Time: ,Sat Nov 14 01:30:00 CET 2015, Event: ,Atenas v San Martin, Favorite: ,San Martin, 8861781   size:46.07,Price: ,1.6,Atenas, 6719082   size:18.0,Price: ,2.4,ok
1.121819178, Sport: ,Tennis, Time: ,Sat Nov 14 03:45:00 CET 2015, Time: ,Sat Nov 14 03:45:00 CET 2015, Event: ,R Nakamura v Kibi, Favorite: ,Yuya Kibi, 8815719   size:6.05,Price: ,1.13,Ren Nakamura, 9258729   size:29.95,Price: ,2.52,ok
1.121725228, Sport: ,Rugby Union, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Edinburgh v Grenoble, Favorite: ,Edinburgh, 8873   size:36.2,Price: ,1.01,Grenoble, 233950   size:2.83,Price: ,2.0,Draw, 246289   size:3.22,Price: ,14.5,ok
1.121746543, Sport: ,Basketball, Time: ,Sat Nov 14 03:30:00 CET 2015, Time: ,Sat Nov 14 03:30:00 CET 2015, Event: ,Pacific @ Arizona, Favorite: ,Arizona, 29835   size:1418.4,Price: ,1.03,Pacific, 756685   size:14.92,Price: ,3.85,ok
1.121769367, Sport: ,Soccer, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Gent (W) v KSK Heist (W), Favorite: ,KSK Heist (W), 10238295   size:47.55,Price: ,2.72,Gent (W), 10397983   size:3.98,Price: ,2.78,The Draw, 58805   size:6.71,Price: ,3.25,ok
1.121766772, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Newcastle v Sheffield, Favorite: ,Newcastle, 6719050   size:39.79,Price: ,1.01,Sheffield, 2938535   size:14.26,Price: ,4.0,ok
1.121766773, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Worcester v Cheshire, Favorite: ,Cheshire, 6719053   size:2.83,Price: ,1.03,Worcester, 2939195   size:14.26,Price: ,4.0,ok
1.121819172, Sport: ,Tennis, Time: ,Sat Nov 14 05:30:00 CET 2015, Time: ,Sat Nov 14 05:30:00 CET 2015, Event: ,Tom Inoue v Han, Favorite: ,Sung Min Han, 9635431   size:6.05,Price: ,1.28,Tomofumi Inoue, 10524372   size:6.05,Price: ,1.67,ok
1.121766771, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,London v Manchester, Favorite: ,London, 6719045   size:2.83,Price: ,1.03,Manchester, 6719049   size:14.26,Price: ,4.0,ok
1.121666962, Sport: ,Soccer, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Czech Republic v Serbia, Favorite: ,Czech Republic, 29581   size:162.54,Price: ,1.53,Serbia, 412319   size:15.92,Price: ,10.0,The Draw, 58805   size:100.18,Price: ,4.0,ok
1.121810916, Sport: ,Tennis, Time: ,Sat Nov 14 01:15:00 CET 2015, Time: ,Sat Nov 14 01:15:00 CET 2015, Event: ,Tiafoe v Sandgren, Favorite: ,Frances Tiafoe, 9399490   size:5.0,Price: ,1.73,Tennys Sandgren, 6604266   size:4.14,Price: ,2.26,ok
1.121821593, Sport: ,Tennis, Time: ,Fri Nov 13 22:00:00 CET 2015, Time: ,Fri Nov 13 22:00:00 CET 2015, Event: ,Berlocq v Andreozzi, Favorite: ,Carlos Berlocq, 2283676   size:56.81,Price: ,1.61,Guido Andreozzi, 6603914   size:221.96,Price: ,2.44,ok
1.121743319, Sport: ,American Football, Time: ,Sat Nov 14 03:00:00 CET 2015, Time: ,Sat Nov 14 03:00:00 CET 2015, Event: ,USC @ Colorado, Favorite: ,USC, 484731   size:25.51,Price: ,1.14,Colorado, 998003   size:4.7,Price: ,7.8,ok
1.121677048, Sport: ,Soccer, Time: ,Sat Nov 14 06:00:00 CET 2015, Time: ,Sat Nov 14 06:00:00 CET 2015, Event: ,Tokushima v Kumamoto, Favorite: ,Tokushima, 5026012   size:33.04,Price: ,2.6,Kumamoto, 5021204   size:59.61,Price: ,3.15,The Draw, 58805   size:13.63,Price: ,3.15,ok
1.121677566, Sport: ,Soccer, Time: ,Sat Nov 14 05:00:00 CET 2015, Time: ,Sat Nov 14 05:00:00 CET 2015, Event: ,Tochigi SC v Kyoto, Favorite: ,Kyoto, 441085   size:51.54,Price: ,2.56,Tochigi SC, 5945153   size:10.82,Price: ,3.05,The Draw, 58805   size:118.36,Price: ,3.25,ok
1.121766931, Sport: ,Basketball, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Panathinaikos v Zalgiris, Favorite: ,Panathinaikos, 266270   size:914.42,Price: ,1.09,Zalgiris, 1305967   size:9.97,Price: ,1.25,ok
1.121766535, Sport: ,Basketball, Time: ,Sat Nov 14 02:05:00 CET 2015, Time: ,Sat Nov 14 02:05:00 CET 2015, Event: ,Charlotte @ Chicago, Favorite: ,Chicago, 13117   size:928.6,Price: ,1.39,Charlotte, 13110   size:33.59,Price: ,3.5,ok
1.121669553, Sport: ,Soccer, Time: ,Sat Nov 14 03:00:00 CET 2015, Time: ,Sat Nov 14 03:00:00 CET 2015, Event: ,Jamaica v Panama, Favorite: ,Jamaica, 54786   size:15.73,Price: ,2.36,Panama, 520320   size:13.97,Price: ,3.8,The Draw, 58805   size:80.82,Price: ,3.15,x
1.121798100, Sport: ,Soccer, Time: ,Sat Nov 14 01:45:00 CET 2015, Time: ,Sat Nov 14 01:45:00 CET 2015, Event: ,Deportivo Pereira v Leones FC, Favorite: ,Deportivo Pereira, 5284708   size:11.38,Price: ,1.5,Leones FC, 9948447   size:8.51,Price: ,8.2,The Draw, 58805   size:28.75,Price: ,4.3,ok
1.121766659, Sport: ,Basketball, Time: ,Sat Nov 14 06:00:00 CET 2015, Time: ,Sat Nov 14 06:00:00 CET 2015, Event: ,Kyoto v Osaka, Favorite: ,Kyoto, 6718536   size:250.3,Price: ,1.17,Osaka, 6737020   size:20.75,Price: ,3.05,ok
1.121766779, Sport: ,Basketball, Time: ,Fri Nov 13 23:00:00 CET 2015, Time: ,Fri Nov 13 23:00:00 CET 2015, Event: ,Flamengo v Rio Claro, Favorite: ,Flamengo, 6775296   size:2.83,Price: ,1.03,Rio Claro, 8948847   size:3.07,Price: ,4.3,ok
1.121669926, Sport: ,Soccer, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Bangor City v Airbus UK, Favorite: ,Airbus UK, 3667303   size:14.71,Price: ,1.84,Bangor City, 198751   size:4.1,Price: ,3.5,The Draw, 58805   size:11.07,Price: ,3.2,x
1.121742451, Sport: ,Soccer, Time: ,Sat Nov 14 05:00:00 CET 2015, Time: ,Sat Nov 14 05:00:00 CET 2015, Event: ,Cimarrones de Sonora v San Luis, Favorite: ,San Luis, 328915   size:3.7,Price: ,2.38,Cimarrones de Sonora, 9988723   size:3.63,Price: ,2.56,The Draw, 58805   size:2.76,Price: ,3.45,ok
1.121669924, Sport: ,Soccer, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,The New Saints v Rhyl, Favorite: ,The New Saints, 3667304   size:706.78,Price: ,1.05,Rhyl, 339726   size:5.67,Price: ,170.0,The Draw, 58805   size:5.67,Price: ,23.0,x
1.121667744, Sport: ,Soccer, Time: ,Sat Nov 14 00:00:00 CET 2015, Time: ,Sat Nov 14 00:00:00 CET 2015, Event: ,Oeste v Criciuma, Favorite: ,Oeste, 3618374   size:3.68,Price: ,2.12,Criciuma, 356589   size:441.91,Price: ,4.2,The Draw, 58805   size:294.25,Price: ,3.4,x
1.121766781, Sport: ,Basketball, Time: ,Fri Nov 13 22:30:00 CET 2015, Time: ,Fri Nov 13 22:30:00 CET 2015, Event: ,Paulistano v Universo/Salvador, Favorite: ,Paulistano, 8876562   size:6.05,Price: ,1.14,Universo/Salvador, 10484581   size:5.91,Price: ,7.0,ok
1.121766782, Sport: ,Basketball, Time: ,Fri Nov 13 23:00:00 CET 2015, Time: ,Fri Nov 13 23:00:00 CET 2015, Event: ,Sorocabana v Cearense, Favorite: ,Cearense, 8948837   size:10.63,Price: ,1.7,Sorocabana, 8948842   size:58.0,Price: ,2.3,ok
1.121810906, Sport: ,Tennis, Time: ,Fri Nov 13 23:30:00 CET 2015, Time: ,Fri Nov 13 23:30:00 CET 2015, Event: ,Brunstrom/Nielsen v Novikov/Quigley, Favorite: ,Brunstrom/Nielsen, 6677971   size:3.38,Price: ,1.48,Novikov/Quigley, 10510901   size:2.15,Price: ,2.36,ok
1.121819434, Sport: ,Tennis, Time: ,Sat Nov 14 03:45:00 CET 2015, Time: ,Sat Nov 14 03:45:00 CET 2015, Event: ,Sekiguchi v Matsui, Favorite: ,Shuichi Sekiguchi, 7689554   size:5.09,Price: ,1.28,Toshihide Matsui, 2560970   size:3.23,Price: ,2.02,ok
1.121766545, Sport: ,Basketball, Time: ,Sat Nov 14 01:35:00 CET 2015, Time: ,Sat Nov 14 01:35:00 CET 2015, Event: ,Cleveland @ New York, Favorite: ,Cleveland, 13112   size:538.96,Price: ,1.38,New York, 13106   size:90.86,Price: ,3.5,ok
1.121742733, Sport: ,Soccer, Time: ,Sat Nov 14 02:30:00 CET 2015, Time: ,Sat Nov 14 02:30:00 CET 2015, Event: ,Mineros de Zacatecas v Atlante, Favorite: ,Mineros de Zacatecas, 8692849   size:14.46,Price: ,2.04,Atlante, 230270   size:2.07,Price: ,3.9,The Draw, 58805   size:43.83,Price: ,3.55,x
1.121803880, Sport: ,Soccer, Time: ,Sat Nov 14 04:00:00 CET 2015, Time: ,Sat Nov 14 04:00:00 CET 2015, Event: ,Renofa Yamaguchi v J League U22, Favorite: ,Renofa Yamaguchi, 4233875   size:2.55,Price: ,1.2,J League U22, 8709452   size:7.65,Price: ,10.0,The Draw, 58805   size:2.55,Price: ,5.9,x
1.121806477, Sport: ,Tennis, Time: ,Fri Nov 13 20:18:00 CET 2015, Time: ,Fri Nov 13 20:18:00 CET 2015, Event: ,Fucsovics v Donskoy, Favorite: ,Evgeny Donskoy, 3391304   size:545.94,Price: ,1.52,Marton Fucsovics, 4827766   size:419.89,Price: ,2.34,ok
1.121667477, Sport: ,Soccer, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Slovakia v Switzerland, Favorite: ,The Draw, 58805   size:95.6,Price: ,2.56,Slovakia, 15288   size:82.26,Price: ,3.85,Switzerland, 15293   size:51.7,Price: ,2.78,x
1.121684997, Sport: ,Handball, Time: ,Fri Nov 13 20:25:00 CET 2015, Time: ,Fri Nov 13 20:25:00 CET 2015, Event: ,Hypo NO (W) v Midtjylland (W), Favorite: ,Hypo NO (W), 8994187   size:2.83,Price: ,1.01,Midtjylland (W), 10497591   size:149.67,Price: ,1.01,Draw, 330157   size:7.83,Price: ,1.01,x
1.121819424, Sport: ,Tennis, Time: ,Sat Nov 14 02:00:00 CET 2015, Time: ,Sat Nov 14 02:00:00 CET 2015, Event: ,Watanuki v Anderson, Favorite: ,Oliver Anderson, 9629842   size:41.51,Price: ,1.18,Yosuke Watanuki, 9632139   size:2.57,Price: ,2.54,x
1.121766953, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Strasbourg v Real Madrid, Favorite: ,Real Madrid, 266274   size:431.0,Price: ,1.58,Strasbourg, 1193143   size:36.32,Price: ,2.3,x
1.121726374, Sport: ,Rugby Union, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Leicester v Stade Francais, Favorite: ,Leicester, 69390   size:239.7,Price: ,1.67,Stade Francais, 233949   size:141.84,Price: ,2.42,Draw, 246289   size:3.34,Price: ,19.0,ok
1.121746527, Sport: ,Basketball, Time: ,Sat Nov 14 01:00:00 CET 2015, Time: ,Sat Nov 14 01:00:00 CET 2015, Event: ,Pittsburgh v Gonzaga, Favorite: ,Gonzaga, 29840   size:2.89,Price: ,1.46,Pittsburgh, 284246   size:39.47,Price: ,3.1,x
1.121666239, Sport: ,Soccer, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Northern Ireland v Latvia, Favorite: ,Northern Ireland, 231384   size:36.38,Price: ,1.63,Latvia, 15284   size:8.66,Price: ,10.5,The Draw, 58805   size:49.37,Price: ,3.3,ok
1.121746510, Sport: ,Basketball, Time: ,Sat Nov 14 01:00:00 CET 2015, Time: ,Sat Nov 14 01:00:00 CET 2015, Event: ,Siena @ Duke, Favorite: ,Duke, 29829   size:2.83,Price: ,1.02,Siena, 276228   size:12.51,Price: ,4.4,ok
1.121665941, Sport: ,Soccer, Time: ,Fri Nov 13 21:00:00 CET 2015, Time: ,Fri Nov 13 21:00:00 CET 2015, Event: ,France v Germany, Favorite: ,France, 24   size:480.87,Price: ,2.16,Germany, 18   size:725.27,Price: ,4.4,The Draw, 58805   size:126.37,Price: ,3.15,ok
1.121746597, Sport: ,Basketball, Time: ,Sat Nov 14 01:30:00 CET 2015, Time: ,Sat Nov 14 01:30:00 CET 2015, Event: ,St Francis (PA) @ Notre Dame, Favorite: ,St Francis (PA), 9013328   size:8.38,Price: ,1.04,Notre Dame, 332195   size:8.38,Price: ,1.04,x
