1.119763008, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Albion v Ayr, Favorite: ,Ayr, 48005   size:6.65,Price: ,2.02,The Draw, 58805   size:4.17,Price: ,3.8,Albion, 729807   size:54.48,Price: ,3.85,x
1.119834529, Sport: ,Volleyball, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Denmark v Austria, Favorite: ,Denmark, 2681495   size:2.55,Price: ,1.7,Austria, 1496574   size:2.55,Price: ,2.12,ok
1.119764218, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Ross Co v Hamilton, Favorite: ,Ross Co, 674742   size:26.27,Price: ,2.24,The Draw, 58805   size:816.38,Price: ,3.45,Hamilton, 203716   size:59.91,Price: ,3.65,ok
1.119927970, Sport: ,Tennis, Time: ,Sat Aug 08 12:00:00 CEST 2015, Time: ,Sat Aug 08 12:00:00 CEST 2015, Event: ,H Zeballos v Kamke, Favorite: ,Horacio Zeballos, 3506037   size:2.55,Price: ,1.5,Tobias Kamke, 2581407   size:3.85,Price: ,2.66,x
1.119940134, Sport: ,Tennis, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Mahut v I Juneau, Favorite: ,Nicolas Mahut, 2257317   size:45.57,Price: ,1.03,Isade Juneau, 8396811   size:5.46,Price: ,16.0,ok
1.119904143, Sport: ,Soccer, Time: ,Sat Aug 08 11:30:00 CEST 2015, Time: ,Sat Aug 08 11:30:00 CEST 2015, Event: ,Quang Nam v Shb Da Nang, Favorite: ,Quang Nam, 9107099   size:4.2,Price: ,2.2,Shb Da Nang, 4658209   size:4.0,Price: ,2.98,The Draw, 58805   size:3.83,Price: ,3.45,ok
1.119904021, Sport: ,Soccer, Time: ,Sat Aug 08 15:00:00 CEST 2015, Time: ,Sat Aug 08 15:00:00 CEST 2015, Event: ,Dinamo Samarqand v Buxoro FK, Favorite: ,Buxoro FK, 8274736   size:141.14,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.27,x
1.119764675, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Bromley v Wrexham, Favorite: ,Wrexham, 63604   size:8.47,Price: ,2.48,Bromley, 1282856   size:2.82,Price: ,3.05,The Draw, 58805   size:330.09,Price: ,3.4,x
1.119764673, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Boreham Wood v FC Halifax Town, Favorite: ,FC Halifax Town, 4231683   size:2.4,Price: ,2.52,Boreham Wood, 256120   size:297.31,Price: ,2.98,The Draw, 58805   size:115.08,Price: ,3.4,x
1.119938879, Sport: ,Tennis, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Rybarikova v Puig, Favorite: ,Magdalena Rybarikova, 2548763   size:3.04,Price: ,1.49,Monica Puig, 5374368   size:6.97,Price: ,2.54,x
1.119903292, Sport: ,Soccer, Time: ,Sat Aug 08 14:00:00 CEST 2015, Time: ,Sat Aug 08 14:00:00 CEST 2015, Event: ,Chonburi v Ratchaburi, Favorite: ,Chonburi, 2899298   size:2.0,Price: ,1.68,The Draw, 58805   size:3.07,Price: ,3.5,Ratchaburi, 7583019   size:35.31,Price: ,4.5,ok
1.119764316, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,St Johnstone v Inverness CT, Favorite: ,St Johnstone, 57425   size:180.91,Price: ,2.56,Inverness CT, 56285   size:5.51,Price: ,3.1,The Draw, 58805   size:185.9,Price: ,3.3,x
1.119307537, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Sheff Wed v Bristol City, Favorite: ,Sheff Wed, 47992   size:174.21,Price: ,2.36,The Draw, 58805   size:1316.52,Price: ,3.4,ok
1.119938877, Sport: ,Tennis, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Krunic v Glushko, Favorite: ,Aleksandra Krunic, 5300820   size:2.21,Price: ,1.5,Julia Glushko, 5321877   size:6.19,Price: ,2.64,x
1.119764671, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Barrow v Dover, Favorite: ,Barrow, 62647   size:35.59,Price: ,2.12,The Draw, 58805   size:352.63,Price: ,3.55,Dover, 2119313   size:347.4,Price: ,3.7,ok
1.119308624, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Bristol Rovers v Northampton, Favorite: ,Bristol Rovers, 69821   size:117.35,Price: ,2.38,Northampton, 5034   size:119.87,Price: ,3.35,The Draw, 58805   size:23.68,Price: ,3.45,x
1.119310936, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Queen of South v Alloa, Favorite: ,Queen of South, 674744   size:5.0,Price: ,1.62,The Draw, 58805   size:9.04,Price: ,4.1,Alloa, 203715   size:36.46,Price: ,5.7,ok
1.119907890, Sport: ,Soccer, Time: ,Sat Aug 08 11:00:00 CEST 2015, Time: ,Sat Aug 08 11:00:00 CEST 2015, Event: ,Bermeo Futbol Taldea v Castro FC, Favorite: ,Bermeo Futbol Taldea, 7143935   size:2.55,Price: ,1.76,The Draw, 58805   size:57.33,Price: ,3.5,Castro FC, 6343346   size:2.4,Price: ,3.65,ok
1.119764669, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Altrincham v Forest Green, Favorite: ,Forest Green, 36033   size:48.8,Price: ,2.0,The Draw, 58805   size:5.0,Price: ,3.7,Altrincham, 62505   size:70.04,Price: ,3.95,ok
1.119763218, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Peterhead v Stenhousemuir, Favorite: ,Peterhead, 729810   size:21.77,Price: ,1.79,The Draw, 58805   size:2.26,Price: ,4.1,Stenhousemuir, 729806   size:7.64,Price: ,4.7,x
