1.121733668, Sport: ,Basketball, Time: ,Wed Nov 11 22:30:00 CET 2015, Time: ,Wed Nov 11 22:30:00 CET 2015, Event: ,Paulistano v Cearense, Favorite: ,Paulistano, 8876562   size:10.23,Price: ,1.28,Cearense, 8948837   size:2.09,Price: ,4.3,ok
1.121679681, Sport: ,Volleyball, Time: ,Wed Nov 11 20:30:00 CET 2015, Time: ,Wed Nov 11 20:30:00 CET 2015, Event: ,Gorgonzola Novara v Calcit Ljubljana, Favorite: ,Gorgonzola Novara, 10368510   size:0.0,Price: ,0.0,Calcit Kamnik, 5895706   size:8.22,Price: ,120.0,ok
1.121734115, Sport: ,Basketball, Time: ,Wed Nov 11 21:00:00 CET 2015, Time: ,Wed Nov 11 21:00:00 CET 2015, Event: ,Cocinas Clavijo v Lleida, Favorite: ,Cocinas Clavijo, 7736139   size:6.09,Price: ,1.35,Lleida, 5021018   size:10.0,Price: ,3.4,ok
1.121733685, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Usti nad Labem v Hradec, Favorite: ,Usti Nad Labem, 7758609   size:2.83,Price: ,1.03,Hradec, 7758594   size:2.83,Price: ,1.03,ok
1.121734212, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,PAOK v Lietuvos Rytas, Favorite: ,PAOK, 281533   size:18.0,Price: ,1.48,Lietuvos Rytas, 702559   size:5.2,Price: ,2.94,ok
1.121733683, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Prostejov v USK Praha, Favorite: ,Prostejov, 5866240   size:2.83,Price: ,1.03,Usk Praha, 6851155   size:2.0,Price: ,1.12,ok
1.121733781, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Etha Engomis v Juventus, Favorite: ,Juventus, 5244996   size:0.0,Price: ,0.0,Etha Engomis, 5848672   size:102.0,Price: ,5.8,ok
1.121761209, Sport: ,Soccer, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Czech Republic U20 v Netherlands U20, Favorite: ,Netherlands U20, 2426205   size:139.7,Price: ,1.41,Czech Republic U20, 623868   size:87.25,Price: ,13.0,The Draw, 58805   size:6.81,Price: ,4.5,x
1.121727822, Sport: ,Tennis, Time: ,Wed Nov 11 18:45:00 CET 2015, Time: ,Wed Nov 11 18:45:00 CET 2015, Event: ,Demoliner/Elias v Galdos/Londero, Favorite: ,Demoliner/Elias, 8462580   size:8.88,Price: ,1.39,Galdos/Londero, 10507813   size:6.05,Price: ,3.05,ok
1.121745533, Sport: ,Tennis, Time: ,Wed Nov 11 18:29:00 CET 2015, Time: ,Wed Nov 11 18:29:00 CET 2015, Event: ,Struff v Copil, Favorite: ,Marius Copil, 4195870   size:173.35,Price: ,1.68,Jan-Lennard Struff, 8259098   size:254.05,Price: ,2.16,ok
1.121746986, Sport: ,Soccer, Time: ,Wed Nov 11 21:00:00 CET 2015, Time: ,Wed Nov 11 21:00:00 CET 2015, Event: ,Carabobo FC II v Madeira FC, Favorite: ,Madeira FC, 10450291   size:27.62,Price: ,2.52,Carabobo FC II, 10450266   size:28.01,Price: ,2.64,The Draw, 58805   size:6.08,Price: ,3.35,x
1.121746817, Sport: ,Soccer, Time: ,Wed Nov 11 20:30:00 CET 2015, Time: ,Wed Nov 11 20:30:00 CET 2015, Event: ,Zamora FC Barinas II v Yaracuyanos, Favorite: ,Zamora FC Barinas II, 10450289   size:5.79,Price: ,2.16,Yaracuyanos, 5715617   size:27.0,Price: ,3.25,The Draw, 58805   size:4.85,Price: ,3.4,x
1.121734196, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Banvit v Aris, Favorite: ,Banvit, 2125588   size:100.0,Price: ,1.17,Aris, 281552   size:6.0,Price: ,4.7,ok
1.121745715, Sport: ,Soccer, Time: ,Wed Nov 11 21:00:00 CET 2015, Time: ,Wed Nov 11 21:00:00 CET 2015, Event: ,Forres Mechanics v Clachnacuddin, Favorite: ,Clachnacuddin, 615039   size:2.36,Price: ,2.12,Forres Mechanics, 66267   size:2.29,Price: ,2.18,The Draw, 58805   size:2.42,Price: ,3.1,x
1.121746283, Sport: ,Soccer, Time: ,Wed Nov 11 18:30:00 CET 2015, Time: ,Wed Nov 11 18:30:00 CET 2015, Event: ,Londrina EC U19 v Parana Curitiba U19, Favorite: ,Londrina EC U19, 10469358   size:114.04,Price: ,1.54,Parana C,x
