1.122675437, Sport: ,Soccer, Time: ,Fri Jan 22 16:00:00 CET 2016, Time: ,Fri Jan 22 16:00:00 CET 2016, Event: ,Dinamo Moscow v Mattersburg, Favorite: ,Dinamo Moscow, 50343   size:2.55,Price: ,1.66,Mattersburg, 345649   size:21.12,Price: ,4.1,The Draw, 58805   size:24.71,Price: ,3.65,ok
1.122676647, Sport: ,Soccer, Time: ,Fri Jan 22 11:00:00 CET 2016, Time: ,Fri Jan 22 11:00:00 CET 2016, Event: ,Ha Noi T and T v Song Lam Nghe An, Favorite: ,Ha Noi T and T, 9166358   size:11.95,Price: ,1.06,Song Lam Nghe An, 5519049   size:11.95,Price: ,1.06,The Draw, 58805   size:15.72,Price: ,2.88,ok
1.122676922, Sport: ,Soccer, Time: ,Fri Jan 22 12:00:00 CET 2016, Time: ,Fri Jan 22 12:00:00 CET 2016, Event: ,Hapoel Hod Hasharon v H Morasha R HaSharon, Favorite: ,Hapoel Hod HaSharon, 9124415   size:11.95,Price: ,1.06,H Morasha R HaSharon, 8994245   size:11.95,Price: ,1.06,The Draw, 58805   size:15.72,Price: ,2.88,ok
1.122668035, Sport: ,Ice Hockey, Time: ,Fri Jan 22 18:00:00 CET 2016, Time: ,Fri Jan 22 18:00:00 CET 2016, Event: ,HC Kometa Brno v HC Pardubice, Favorite: ,HC Kometa Brno, 3292293   size:310.65,Price: ,1.58,HC Pardubice, 536205   size:60.05,Price: ,4.0,Tie, 60104   size:43.95,Price: ,5.1,x
1.122646020, Sport: ,Basketball, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,Cedevita v Anadolu Efes, Favorite: ,Anadolu Efes, 5832279   size:832.0,Price: ,1.6,Cedevita, 4229279   size:514.0,Price: ,1.97,x
1.122675036, Sport: ,Soccer, Time: ,Fri Jan 22 13:00:00 CET 2016, Time: ,Fri Jan 22 13:00:00 CET 2016, Event: ,Viborg v AGF, Favorite: ,Viborg, 10780   size:6.0,Price: ,1.85,AGF, 28214   size:6.0,Price: ,1.9,The Draw, 58805   size:15.89,Price: ,2.9,ok
1.122674068, Sport: ,Tennis, Time: ,Fri Jan 22 08:30:00 CET 2016, Time: ,Fri Jan 22 08:30:00 CET 2016, Event: ,Ioana Gheorghita v Viktoriya Tomova, Favorite: ,Viktoriya Tomova, 4597116   size:16.08,Price: ,1.03,Ioana Gheorghita, 10348003   size:2.69,Price: ,1.07,ok
1.122677735, Sport: ,Soccer, Time: ,Fri Jan 22 14:00:00 CET 2016, Time: ,Fri Jan 22 14:00:00 CET 2016, Event: ,Tunisia A v Nigeria A, Favorite: ,Nigeria A, 8184548   size:9.0,Price: ,2.02,Tunisia A, 7425966   size:14.0,Price: ,3.15,The Draw, 58805   size:77.0,Price: ,3.0,x
1.122659843, Sport: ,Ice Hockey, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,Timraa IK v Asploven HC, Favorite: ,Timraa IK, 10659460   size:2.62,Price: ,1.03,Asploven HC, 7669828   size:2.62,Price: ,1.03,Tie, 60104   size:2.62,Price: ,1.03,x
1.122645628, Sport: ,Tennis, Time: ,Thu Jan 21 20:00:00 CET 2016, Time: ,Thu Jan 21 20:00:00 CET 2016, Event: ,Monteiro/Sakamoto v Sabanov/Sabanov, Favorite: ,Sabanov/Sabanov, 10107989   size:3.75,Price: ,1.33,Monteiro/Sakamoto, 10302603   size:14.77,Price: ,3.35,ok
1.122668509, Sport: ,Basketball, Time: ,Fri Jan 22 18:00:00 CET 2016, Time: ,Fri Jan 22 18:00:00 CET 2016, Event: ,Subotica v Mladost Admiral, Favorite: ,Subotica, 9203833   size:3.31,Price: ,1.03,Mladost Admiral, 10370890   size:3.31,Price: ,1.03,ok
1.122679286, Sport: ,Tennis, Time: ,Thu Jan 21 19:36:00 CET 2016, Time: ,Thu Jan 21 19:36:00 CET 2016, Event: ,Ramirez Hidalgo v Neis, Favorite: ,Ruben Ramirez Hidalgo, 2257299   size:424.16,Price: ,1.44,Fabricio Neis, 8326758   size:51.1,Price: ,3.1,ok
1.122668869, Sport: ,Ice Hockey, Time: ,Fri Jan 22 01:35:00 CET 2016, Time: ,Fri Jan 22 01:35:00 CET 2016, Event: ,Chicago @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:311.0,Price: ,2.48,Chicago, 2109831   size:5.0,Price: ,2.68,Tie, 60104   size:100.39,Price: ,3.95,ok
1.122557886, Sport: ,Cricket, Time: ,Fri Jan 22 06:30:00 CET 2016, Time: ,Fri Jan 22 06:30:00 CET 2016, Event: ,Pakistan A v England Lions (2nd ODI), Favorite: ,Pakistan A, 8890212   size:159.19,Price: ,1.03,England Lions, 3020905   size:159.19,Price: ,1.03,x
1.122645588, Sport: ,Tennis, Time: ,Thu Jan 21 22:45:00 CET 2016, Time: ,Thu Jan 21 22:45:00 CET 2016, Event: ,Martin/Peralta v Galdos/Lindell, Favorite: ,Martin/Peralta, 10728289   size:11.79,Price: ,1.57,Galdos/Lindell, 10707077   size:4.43,Price: ,2.68,ok
1.122668226, Sport: ,Ice Hockey, Time: ,Fri Jan 22 17:30:00 CET 2016, Time: ,Fri Jan 22 17:30:00 CET 2016, Event: ,Jokipojat Joensuu v Tuto Hockey, Favorite: ,Jokipojat Joensuu, 10672368   size:55.38,Price: ,1.01,TuTo Hockey, 10670739   size:55.38,Price: ,1.01,Tie, 60104   size:858.0,Price: ,1.01,x
