1.121850317, Sport: ,Snooker, Time: ,Tue Nov 24 20:30:00 CET 2015, Time: ,Tue Nov 24 20:30:00 CET 2015, Event: ,Ding Junhui v Adam Duffy, Favorite: ,Adam Duffy, 5722698   size:2852.04,Price: ,1.01,Ding Junhui, 2274759   size:10.53,Price: ,1.07,ok
1.121657635, Sport: ,Soccer, Time: ,Tue Nov 24 20:45:00 CET 2015, Time: ,Tue Nov 24 20:45:00 CET 2015, Event: ,Maccabi Tel Aviv v Chelsea, Favorite: ,Chelsea, 55190   size:7666.39,Price: ,1.4,Maccabi Tel Aviv, 197970   size:1113.88,Price: ,11.0,The Draw, 58805   size:1140.04,Price: ,5.0,ok
1.121963871, Sport: ,Soccer, Time: ,Tue Nov 24 16:00:00 CET 2015, Time: ,Tue Nov 24 16:00:00 CET 2015, Event: ,Odense (Res) v SonderjyskE (Res), Favorite: ,Odense (Res), 5465328   size:10.0,Price: ,1.12,SonderjyskE (Res), 5373358   size:10.0,Price: ,1.12,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121965498, Sport: ,Soccer, Time: ,Tue Nov 24 20:45:00 CET 2015, Time: ,Tue Nov 24 20:45:00 CET 2015, Event: ,Wingate and Finchley v Grays Athletic, Favorite: ,Wingate and Finchley, 8901995   size:10.0,Price: ,1.12,Grays Athletic, 62644   size:10.0,Price: ,1.12,The Draw, 58805   size:9.96,Price: ,2.88,ok
1.121872368, Sport: ,Ice Hockey, Time: ,Tue Nov 24 17:30:00 CET 2015, Time: ,Tue Nov 24 17:30:00 CET 2015, Event: ,Severstal v Amur, Favorite: ,Severstal, 2560282   size:53.3,Price: ,1.99,Amur, 2240061   size:41.05,Price: ,3.35,Tie, 60104   size:54.0,Price: ,4.3,x
1.121872401, Sport: ,Ice Hockey, Time: ,Tue Nov 24 19:30:00 CET 2015, Time: ,Tue Nov 24 19:30:00 CET 2015, Event: ,Medvescak Zagreb v Torpedo, Favorite: ,Torpedo, 2484355   size:53.0,Price: ,2.36,Medvescak Zagreb, 4182882   size:65.0,Price: ,2.66,Tie, 60104   size:65.0,Price: ,4.1,x
1.121965331, Sport: ,Soccer, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Sao Paulo FC U20 v Atletico-PR U20, Favorite: ,Sao Paulo FC U20, 6714726   size:10.0,Price: ,1.12,Atletico-PR U20, 7642309   size:10.0,Price: ,1.12,The Draw, 58805   size:9.96,Price: ,2.88,ok
1.121865919, Sport: ,Soccer, Time: ,Tue Nov 24 14:00:00 CET 2015, Time: ,Tue Nov 24 14:00:00 CET 2015, Event: ,Lyon U19 v Gent U19, Favorite: ,Lyon U19, 10262016   size:5.44,Price: ,1.21,Gent U19, 10262015   size:57.65,Price: ,9.0,The Draw, 58805   size:23.04,Price: ,5.5,ok
1.121872373, Sport: ,Ice Hockey, Time: ,Tue Nov 24 17:00:00 CET 2015, Time: ,Tue Nov 24 17:00:00 CET 2015, Event: ,Ak Bars v SKA, Favorite: ,AK Bars, 2582640   size:56.99,Price: ,2.14,SKA, 2296808   size:56.99,Price: ,2.94,Tie, 60104   size:68.0,Price: ,4.2,ok
1.121865631, Sport: ,Soccer, Time: ,Tue Nov 24 13:00:00 CET 2015, Time: ,Tue Nov 24 13:00:00 CET 2015, Event: ,BATE Borisov U19 v Leverkusen U19, Favorite: ,Leverkusen U19, 7653282   size:25.56,Price: ,1.44,BATE Borisov U19, 8835058   size:5.39,Price: ,5.7,The Draw, 58805   size:2.55,Price: ,4.8,x
1.121952218, Sport: ,Tennis, Time: ,Tue Nov 24 08:30:00 CET 2015, Time: ,Tue Nov 24 08:30:00 CET 2015, Event: ,Yu Watanuki v Vorster, Favorite: ,Tucker Vorster, 8842203   size:16.61,Price: ,1.78,Yusuke Watanuki, 8349393   size:13.44,Price: ,2.18,ok
1.121850307, Sport: ,Snooker, Time: ,Tue Nov 24 20:30:00 CET 2015, Time: ,Tue Nov 24 20:30:00 CET 2015, Event: ,Joe Swail v Joel Walker, Favorite: ,Joel Walker, 5760963   size:15.27,Price: ,1.89,Joe Swail, 2280125   size:4.39,Price: ,2.0,x
1.121850429, Sport: ,Snooker, Time: ,Tue Nov 24 15:30:00 CET 2015, Time: ,Tue Nov 24 15:30:00 CET 2015, Event: ,John Higgins v Leo Fernandez, Favorite: ,John Higgins, 2278785   size:2.55,Price: ,1.06,Leo Fernandez, 2725273   size:5.23,Price: ,8.2,ok
1.121972503, Sport: ,Soccer, Time: ,Tue Nov 24 09:30:00 CET 2015, Time: ,Tue Nov 24 09:30:00 CET 2015, Event: ,Vietnam U21 v Singapore U21, Favorite: ,Vietnam U21, 7788548   size:3.7,Price: ,1.4,Singapore U21, 7788533   size:3.4,Price: ,4.3,The Draw, 58805   size:7.39,Price: ,4.3,ok
1.121866084, Sport: ,Soccer, Time: ,Tue Nov 24 13:30:00 CET 2015, Time: ,Tue Nov 24 13:30:00 CET 2015, Event: ,PS TNI v Persela Lamongan, Favorite: ,Persela Lamongan, 5227372   size:5.0,Price: ,1.33,PS TNI, 10525849   size:5.0,Price: ,1.51,The Draw, 58805   size:5.0,Price: ,2.94,x
1.121657249, Sport: ,Soccer, Time: ,Tue Nov 24 20:45:00 CET 2015, Time: ,Tue Nov 24 20:45:00 CET 2015, Event: ,Bayern Munich v Olympiakos, Favorite: ,Bayern Munich, 5774350   size:31268.65,Price: ,1.15,Olympiakos, 55243   size:849.62,Price: ,26.0,The Draw, 58805   size:77.57,Price: ,10.0,ok
1.121965443, Sport: ,Soccer, Time: ,Tue Nov 24 11:30:00 CET 2015, Time: ,Tue Nov 24 11:30:00 CET 2015, Event: ,Vasco SC India v Dempo SC, Favorite: ,Dempo SC, 3922367   size:86.0,Price: ,2.16,Vasco SC India, 10302975   size:45.88,Price: ,3.2,The Draw, 58805   size:2.46,Price: ,3.25,x
1.121969320, Sport: ,Tennis, Time: ,Tue Nov 24 12:45:00 CET 2015, Time: ,Tue Nov 24 12:45:00 CET 2015, Event: ,Sonego v Da Petrovic, Favorite: ,Lorenzo Sonego, 8826925   size:24.08,Price: ,1.39,Danilo Petrovic, 7444998   size:24.0,Price: ,3.0,ok
1.121963335, Sport: ,Basketball, Time: ,Tue Nov 24 18:00:00 CET 2015, Time: ,Tue Nov 24 18:00:00 CET 2015, Event: ,Ventspils v Pieno Zvaigzdes, Favorite: ,Ventspils, 1081645   size:113.08,Price: ,1.36,Pieno zvaigzdes, 6025292   size:15.89,Price: ,3.25,ok
1.121960860, Sport: ,Tennis, Time: ,Tue Nov 24 20:15:00 CET 2015, Time: ,Tue Nov 24 20:15:00 CET 2015, Event: ,Luncanu/Virgili v Sabanov/Sabanov, Favorite: ,Sabanov/Sabanov, 10107989   size:6.1,Price: ,1.39,Luncanu/Virgili, 10553267   size:18.79,Price: ,2.12,ok
1.121963339, Sport: ,Basketball, Time: ,Tue Nov 24 17:00:00 CET 2015, Time: ,Tue Nov 24 17:00:00 CET 2015, Event: ,Tsmoki Minsk v Rilski Sportist, Favorite: ,Tsmoki Minsk, 6815371   size:2.55,Price: ,1.1,Rilski Sportist, 7753529   size:9.69,Price: ,5.4,ok
1.121960865, Sport: ,Tennis, Time: ,Tue Nov 24 18:30:00 CET 2015, Time: ,Tue Nov 24 18:30:00 CET 2015, Event: ,Grigoriu/Paval v Gerasimov/Kuzmanov, Favorite: ,Grigoriu/Paval, 8815385   size:2.64,Price: ,1.42,Gerasimov/Kuzmanov, 10553275   size:2.64,Price: ,2.1,x
1.121968626, Sport: ,Soccer, Time: ,Tue Nov 24 15:30:00 CET 2015, Time: ,Tue Nov 24 15:30:00 CET 2015, Event: ,Ross Co U20 v Kilmarnock U20, Favorite: ,Ross Co U20, 9002628   size:10.0,Price: ,1.12,Kilmarnock U20, 6581076   size:10.0,Price: ,1.12,The Draw, 58805   size:5.96,Price: ,2.9,ok
1.121970222, Sport: ,Tennis, Time: ,Tue Nov 24 14:30:00 CET 2015, Time: ,Tue Nov 24 14:30:00 CET 2015, Event: ,Chiudinelli v Galovic, Favorite: ,Marco Chiudinelli, 2263632   size:93.97,Price: ,1.33,Viktor Galovic, 7444791   size:11.11,Price: ,3.8,ok
1.121865864, Sport: ,Soccer, Time: ,Tue Nov 24 16:00:00 CET 2015, Time: ,Tue Nov 24 16:00:00 CET 2015, Event: ,Legia Warsaw U19 v FC Midtjylland U19, Favorite: ,FC Midtjylland U19, 6384347   size:3.04,Price: ,2.16,Legia Warsaw U19, 10317773   size:3.35,Price: ,2.78,The Draw, 58805   size:6.77,Price: ,3.65,ok
1.121965274, Sport: ,Soccer, Time: ,Tue Nov 24 11:00:00 CET 2015, Time: ,Tue Nov 24 11:00:00 CET 2015, Event: ,Samgurali Tskaltubo v FC Borjomi, Favorite: ,Samgurali Tskaltubo, 7137139   size:3.75,Price: ,1.22,FC Borjomi, 8084865   size:2.77,Price: ,1.23,The Draw, 58805   size:2.78,Price: ,3.45,x
1.121963294, Sport: ,Basketball, Time: ,Tue Nov 24 18:00:00 CET 2015, Time: ,Tue Nov 24 18:00:00 CET 2015, Event: ,CS Energia Rovinari Tar v AEK Larnacas, Favorite: ,CS Energia Rovinari Tar, 10322191   size:2.55,Price: ,1.4,AEK Larnacas, 9034490   size:2.55,Price: ,3.15,ok
1.121872385, Sport: ,Ice Hockey, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Slovan Bratislava v Dinamo Minsk, Favorite: ,Slovan Bratislava, 1357713   size:67.0,Price: ,2.16,Dinamo Minsk, 3312412   size:67.0,Price: ,2.88,Tie, 60104   size:67.0,Price: ,4.3,ok
1.121872147, Sport: ,Ice Hockey, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Bjorkloven v Asploven, Favorite: ,Bjorkloven, 247108   size:3.75,Price: ,1.1,Asploven, 3746027   size:3.75,Price: ,1.1,Tie, 60104   size:3.75,Price: ,1.1,ok
1.121913319, Sport: ,Handball, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Rhein Neckar Lowen v Fuchse Berlin, Favorite: ,Rhein Neckar Lowen, 2507296   size:6.1,Price: ,1.14,Fuchse Berlin, 2476365   size:19.13,Price: ,1.36,Draw, 330157   size:18.91,Price: ,1.43,ok
1.121872150, Sport: ,Ice Hockey, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Oskarshamn v Tingsryd, Favorite: ,Tingsryd, 5877522   size:3.75,Price: ,1.1,Oskarshamn, 247121   size:2.12,Price: ,1.94,Tie, 60104   size:3.75,Price: ,1.1,ok
1.121657106, Sport: ,Soccer, Time: ,Tue Nov 24 20:45:00 CET 2015, Time: ,Tue Nov 24 20:45:00 CET 2015, Event: ,Barcelona v Roma, Favorite: ,Barcelona, 55270   size:5170.73,Price: ,1.29,Roma, 56967   size:105.93,Price: ,12.0,The Draw, 58805   size:265.6,Price: ,6.8,ok
1.121850354, Sport: ,Snooker, Time: ,Tue Nov 24 15:30:00 CET 2015, Time: ,Tue Nov 24 15:30:00 CET 2015, Event: ,Stuart Carrington v Liam Highfield, Favorite: ,Stuart Carrington, 5722692   size:3.6,Price: ,1.81,Liam Highfield, 4392732   size:5.0,Price: ,2.04,ok
1.121972560, Sport: ,Soccer, Time: ,Tue Nov 24 12:00:00 CET 2015, Time: ,Tue Nov 24 12:00:00 CET 2015, Event: ,Myanmar U21 v Hoang Anh Gia Lai U21, Favorite: ,Hoang Anh Gia Lai U21, 7642558   size:2.55,Price: ,1.45,Myanmar U21, 7788549   size:2.55,Price: ,2.24,The Draw, 58805   size:3.75,Price: ,3.25,ok
1.121872378, Sport: ,Ice Hockey, Time: ,Tue Nov 24 17:30:00 CET 2015, Time: ,Tue Nov 24 17:30:00 CET 2015, Event: ,Jokerit v Lokomotiv, Favorite: ,Jokerit, 66263   size:62.99,Price: ,2.2,Lokomotiv, 2240051   size:62.99,Price: ,2.92,Tie, 60104   size:21.0,Price: ,4.1,ok
