1.122634694, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Real Aviles v CD Tuilla, Favorite: ,Real Aviles, 5924349   size:2.14,Price: ,1.81,CD Tuilla, 5577540   size:25.72,Price: ,3.65,The Draw, 58805   size:29.11,Price: ,3.25,x
1.122524453, Sport: ,Soccer, Time: ,Sun Jan 17 18:15:00 CET 2016, Time: ,Sun Jan 17 18:15:00 CET 2016, Event: ,Las Palmas v Atletico Madrid, Favorite: ,Atletico Madrid, 41433   size:123.04,Price: ,1.66,Las Palmas, 9163   size:61.63,Price: ,6.8,The Draw, 58805   size:83.0,Price: ,3.95,ok
1.122634501, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Futbol Alcobendas Sport v CDE Lugo Fuenlabrada, Favorite: ,Futbol Alcobendas Sport, 9433225   size:2.9,Price: ,1.63,CDE Lugo Fuenlabrada, 10243045   size:33.76,Price: ,4.3,The Draw, 58805   size:34.13,Price: ,3.25,x
1.122524570, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Valencia v Rayo Vallecano, Favorite: ,Valencia, 66183   size:561.98,Price: ,1.61,Rayo Vallecano, 10779   size:274.74,Price: ,6.4,The Draw, 58805   size:1329.12,Price: ,4.3,x
1.122634624, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Moralo v Azuaga, Favorite: ,Moralo, 10621551   size:27.48,Price: ,1.02,Azuaga, 10622040   size:27.48,Price: ,1.02,The Draw, 58805   size:25.37,Price: ,1.41,ok
1.122633415, Sport: ,Soccer, Time: ,Mon Jan 18 00:30:00 CET 2016, Time: ,Mon Jan 18 00:30:00 CET 2016, Event: ,Harbour View FC v Cavalier SC, Favorite: ,Harbour View FC, 7688378   size:7.85,Price: ,1.07,Cavalier SC, 7837992   size:7.85,Price: ,1.07,The Draw, 58805   size:15.67,Price: ,2.88,ok
1.122634506, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Gimnastica Segoviana CF v Ciudad Rodrigo CF, Favorite: ,Gimnastica Segoviana CF, 9425476   size:27.48,Price: ,1.02,Ciudad Rodrigo CF, 10185166   size:27.48,Price: ,1.02,The Draw, 58805   size:48.98,Price: ,1.4,x
1.122557875, Sport: ,Mixed Martial Arts, Time: ,Sun Jan 17 23:30:00 CET 2016, Time: ,Sun Jan 17 23:30:00 CET 2016, Event: ,Font v Gomez, Favorite: ,Rob Font, 8665644   size:2.53,Price: ,1.45,Joey Gomez, 10707583   size:5.0,Price: ,2.76,ok
1.122523081, Sport: ,Soccer, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Bursaspor v Trabzonspor, Favorite: ,Bursaspor, 113183   size:10.37,Price: ,2.44,Trabzonspor, 113125   size:316.58,Price: ,3.15,The Draw, 58805   size:38.48,Price: ,3.5,ok
1.122596888, Sport: ,Handball, Time: ,Sun Jan 17 16:00:00 CET 2016, Time: ,Sun Jan 17 16:00:00 CET 2016, Event: ,Cyprus v Greece, Favorite: ,Greece, 624110   size:6.54,Price: ,1.14,Cyprus, 3510837   size:66.16,Price: ,5.8,Draw, 330157   size:27.57,Price: ,13.0,x
1.122634509, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,AD El Naranjo (W) v Real Betis (W), Favorite: ,AD El Naranjo (W), 10703553   size:7.85,Price: ,1.07,Real Betis (W), 9492959   size:7.85,Price: ,1.07,The Draw, 58805   size:65.0,Price: ,1.16,x
