1.121980445, Sport: ,Soccer, Time: ,Tue Dec 01 13:00:00 CET 2015, Time: ,Tue Dec 01 13:00:00 CET 2015, Event: ,Cherno More v Litex Lovech, Favorite: ,Litex Lovech, 927230   size:39.15,Price: ,2.26,Cherno More, 427650   size:5.51,Price: ,3.75,The Draw, 58805   size:23.94,Price: ,3.35,x
1.122080506, Sport: ,Soccer, Time: ,Tue Dec 01 15:00:00 CET 2015, Time: ,Tue Dec 01 15:00:00 CET 2015, Event: ,Motherwell U20 v Partick U20, Favorite: ,Motherwell U20, 6773900   size:7.34,Price: ,2.12,Partick U20, 9001451   size:6.23,Price: ,2.96,The Draw, 58805   size:3.74,Price: ,4.2,ok
1.121990779, Sport: ,Ice Hockey, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Avangard v Vityaz, Favorite: ,Avangard, 2558172   size:104.56,Price: ,1.57,Vityaz, 2551763   size:2.13,Price: ,5.5,Tie, 60104   size:19.0,Price: ,5.1,ok
1.122092603, Sport: ,Tennis, Time: ,Tue Dec 01 10:25:00 CET 2015, Time: ,Tue Dec 01 10:25:00 CET 2015, Event: ,Marcora, Roberto v Hong, Seong Chan, Favorite: ,Seong Hong, 9637781   size:211.2,Price: ,1.79,Roberto Marcora, 7412952   size:307.9,Price: ,1.91,ok
1.122092601, Sport: ,Tennis, Time: ,Tue Dec 01 10:20:00 CET 2015, Time: ,Tue Dec 01 10:20:00 CET 2015, Event: ,Hochwalt, Tyler v Sels, Jelle, Favorite: ,Jelle Sels, 8814180   size:9.43,Price: ,1.38,Tyler Hochwalt, 7445664   size:70.21,Price: ,2.48,ok
1.122080122, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Staines Town v Tonbridge Angels, Favorite: ,Tonbridge Angels, 1034135   size:8.01,Price: ,1.94,Staines Town, 2608906   size:7.55,Price: ,3.9,The Draw, 58805   size:2.42,Price: ,3.55,x
1.122081772, Sport: ,Snooker, Time: ,Tue Dec 01 20:00:00 CET 2015, Time: ,Tue Dec 01 20:00:00 CET 2015, Event: ,Judd Trump v Liang Wenbo, Favorite: ,Judd Trump, 2279955   size:1259.97,Price: ,1.27,Liang Wenbo, 2293301   size:2.55,Price: ,3.85,x
1.122092600, Sport: ,Tennis, Time: ,Tue Dec 01 11:50:00 CET 2015, Time: ,Tue Dec 01 11:50:00 CET 2015, Event: ,Dowson, Dan v Bellier, Antoine, Favorite: ,Antoine Bellier, 8941910   size:147.45,Price: ,1.29,Dan Dowson, 9631002   size:2.51,Price: ,2.62,ok
1.121991467, Sport: ,Ice Hockey, Time: ,Tue Dec 01 15:00:00 CET 2015, Time: ,Tue Dec 01 15:00:00 CET 2015, Event: ,Yugra v Medvescak Zagreb, Favorite: ,Medvescak Zagreb, 4182882   size:10.09,Price: ,2.42,Yugra, 4913649   size:9.92,Price: ,2.82,Tie, 60104   size:62.0,Price: ,4.0,x
1.121979743, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Valenciennes v AC Ajaccio, Favorite: ,Valenciennes, 669343   size:48.23,Price: ,2.54,AC Ajaccio, 8720753   size:141.87,Price: ,3.5,The Draw, 58805   size:873.68,Price: ,3.0,x
