1.121664262, Sport: ,Tennis, Time: ,Thu Nov 05 15:00:00 CET 2015, Time: ,Thu Nov 05 15:00:00 CET 2015, Event: ,Isner v Federer, Favorite: ,Roger Federer, 2251402   size:1656.45,Price: ,1.16,John Isner, 2474763   size:62.88,Price: ,6.6,x
1.121637653, Sport: ,Basketball, Time: ,Thu Nov 05 16:30:00 CET 2015, Time: ,Thu Nov 05 16:30:00 CET 2015, Event: ,Energiya Ivanovo Women v Istanbul Uni (W), Favorite: ,Istanbul Uni (W), 8997450   size:2.55,Price: ,1.22,Energiya Ivanovo Women, 9061179   size:15.38,Price: ,1.65,ok
1.121659288, Sport: ,Tennis, Time: ,Thu Nov 05 14:30:00 CET 2015, Time: ,Thu Nov 05 14:30:00 CET 2015, Event: ,Skupski/Skupski v Haerteis/Masur, Favorite: ,Skupski/Skupski, 7824202   size:7.35,Price: ,1.04,Haerteis/Masur, 10483062   size:7.35,Price: ,1.04,ok
1.121640024, Sport: ,Tennis, Time: ,Thu Nov 05 08:30:00 CET 2015, Time: ,Thu Nov 05 08:30:00 CET 2015, Event: ,Ciobanu v Yerolymos, Favorite: ,Daniela Ciobanu, 9342392   size:37.98,Price: ,1.03,Margot Yerolymos, 8943948   size:37.98,Price: ,1.03,x
1.121648307, Sport: ,Tennis, Time: ,Thu Nov 05 14:15:00 CET 2015, Time: ,Thu Nov 05 14:15:00 CET 2015, Event: ,Copil v Bemelmans, Favorite: ,Ruben Bemelmans, 2831873   size:70.74,Price: ,1.81,Marius Copil, 4195870   size:42.94,Price: ,2.16,ok
1.121647616, Sport: ,Soccer, Time: ,Thu Nov 05 16:30:00 CET 2015, Time: ,Thu Nov 05 16:30:00 CET 2015, Event: ,Al Ain v Al Sharjah, Favorite: ,Al Ain, 1252830   size:2.26,Price: ,1.5,Al Sharjah, 3607226   size:3.65,Price: ,4.5,The Draw, 58805   size:4.0,Price: ,3.4,x
1.121653469, Sport: ,Tennis, Time: ,Thu Nov 05 08:30:00 CET 2015, Time: ,Thu Nov 05 08:30:00 CET 2015, Event: ,Urbanija v Lazov, Favorite: ,Aleksandar Lazov, 10487484   size:2.55,Price: ,1.09,Mike Urbanija, 7444987   size:5.97,Price: ,1.36,ok
1.121517112, Sport: ,Soccer, Time: ,Thu Nov 05 18:15:00 CET 2015, Time: ,Thu Nov 05 18:15:00 CET 2015, Event: ,Al Hidd v Al-Muharraq, Favorite: ,Al Hidd, 5990403   size:10.55,Price: ,2.36,Al-Muharraq, 8461627   size:3.12,Price: ,2.58,The Draw, 58805   size:3.76,Price: ,3.6,ok
1.121649078, Sport: ,Tennis, Time: ,Thu Nov 05 11:30:00 CET 2015, Time: ,Thu Nov 05 11:30:00 CET 2015, Event: ,Ito/Matsui v Lee/Lu, Favorite: ,Lee/Lu, 10482813   size:3.56,Price: ,1.4,Ito/Matsui, 9263916   size:7.85,Price: ,2.64,ok
1.121649353, Sport: ,Ice Hockey, Time: ,Thu Nov 05 15:00:00 CET 2015, Time: ,Thu Nov 05 15:00:00 CET 2015, Event: ,Denmark v France, Favorite: ,France, 318858   size:18.0,Price: ,1.35,Denmark, 318860   size:141.48,Price: ,1.5,Tie, 60104   size:17.0,Price: ,4.3,x
1.121653468, Sport: ,Tennis, Time: ,Thu Nov 05 08:30:00 CET 2015, Time: ,Thu Nov 05 08:30:00 CET 2015, Event: ,Kalovelonis v Khomentovskiy, Favorite: ,Markos Kalovelonis, 8713238   size:2.55,Price: ,1.08,Matvey Khomentovskiy, 9633796   size:5.97,Price: ,1.41,x
1.121653465, Sport: ,Tennis, Time: ,Thu Nov 05 09:30:00 CET 2015, Time: ,Thu Nov 05 09:30:00 CET 2015, Event: ,Safiullin v Tsitsipas, Favorite: ,Roman Safiullin, 9125686   size:2.55,Price: ,1.14,Stefanos Tsitsipas, 9193006   size:2.55,Price: ,1.24,x
1.121653466, Sport: ,Tennis, Time: ,Thu Nov 05 09:30:00 CET 2015, Time: ,Thu Nov 05 09:30:00 CET 2015, Event: ,Johnson v Lizen, Favorite: ,Eric James Johnson, 10487440   size:2.55,Price: ,1.11,Aswin Lizen, 9632846   size:2.55,Price: ,1.35,ok
1.121625661, Sport: ,Soccer, Time: ,Thu Nov 05 18:00:00 CET 2015, Time: ,Thu Nov 05 18:00:00 CET 2015, Event: ,Sirius v Falkenbergs, Favorite: ,Sirius, 4638067   size:5.0,Price: ,2.04,Falkenbergs, 780883   size:2.55,Price: ,4.1,The Draw, 58805   size:2.0,Price: ,3.6,x
1.121653464, Sport: ,Tennis, Time: ,Thu Nov 05 09:30:00 CET 2015, Time: ,Thu Nov 05 09:30:00 CET 2015, Event: ,Zgombic v Nikles, Favorite: ,Fran Zvonimir Zgombic, 9628687   size:3.67,Price: ,1.08,Johan Nikles, 9629446   size:3.67,Price: ,1.08,x
1.121640020, Sport: ,Tennis, Time: ,Thu Nov 05 08:30:00 CET 2015, Time: ,Thu Nov 05 08:30:00 CET 2015, Event: ,Spremo v Lumsden, Favorite: ,Milana Spremo, 9342452   size:37.98,Price: ,1.03,Maia Lumsden, 9628654   size:37.98,Price: ,1.03,x
1.121647172, Sport: ,Soccer, Time: ,Thu Nov 05 10:00:00 CET 2015, Time: ,Thu Nov 05 10:00:00 CET 2015, Event: ,FK Kokand 1912 v Sogdiana Jizak, Favorite: ,Sogdiana Jizak, 8294188   size:4.31,Price: ,1.22,FK Kokand 1912, 8433044   size:5.0,Price: ,3.05,The Draw, 58805   size:5.0,Price: ,3.05,ok
1.121637657, Sport: ,Basketball, Time: ,Thu Nov 05 17:00:00 CET 2015, Time: ,Thu Nov 05 17:00:00 CET 2015, Event: ,Dunav 8806 (W) v Lulea BBK Women, Favorite: ,Dunav 8806 (W), 10466212   size:9.81,Price: ,1.03,Lulea BBK Women, 10262451   size:9.81,Price: ,1.03,ok
1.121654714, Sport: ,Tennis, Time: ,Thu Nov 05 14:30:00 CET 2015, Time: ,Thu Nov 05 14:30:00 CET 2015, Event: ,Pospisil/Sock v Matkowski/Zimonjic, Favorite: ,Pospisil/Sock, 8638693   size:5.97,Price: ,1.55,Matkowski/Zimonjic, 9312205   size:5.18,Price: ,2.44,ok
1.121425011, Sport: ,Soccer, Time: ,Thu Nov 05 17:00:00 CET 2015, Time: ,Thu Nov 05 17:00:00 CET 2015, Event: ,Besiktas v Lokomotiv, Favorite: ,Besiktas, 232068   size:17.09,Price: ,1.79,Lokomotiv, 214365   size:48.96,Price: ,5.6,The Draw, 58805   size:37.3,Price: ,3.75,x
1.121637641, Sport: ,Basketball, Time: ,Thu Nov 05 13:10:00 CET 2015, Time: ,Thu Nov 05 13:10:00 CET 2015, Event: ,Enisey (W) v Chevakata (W), Favorite: ,Chevakata (W), 8978748   size:3.67,Price: ,1.08,Enisey (W), 10466211   size:16.39,Price: ,1.61,x
1.121622721, Sport: ,Basketball, Time: ,Thu Nov 05 11:00:00 CET 2015, Time: ,Thu Nov 05 11:00:00 CET 2015, Event: ,Woori Bank Hansae v KDB Life Winnus, Favorite: ,Woori Bank Hansae, 5154535   size:2.55,Price: ,1.15,KDB Life Winnus, 5166575   size:52.78,Price: ,2.34,ok
1.121617494, Sport: ,Tennis, Time: ,Thu Nov 05 08:00:00 CET 2015, Time: ,Thu Nov 05 08:00:00 CET 2015, Event: ,Dabrowski/Rosolska v Xu/You, Favorite: ,Dabrowski/Rosolska, 7766530   size:5.97,Price: ,1.48,Xu/You, 10302164   size:8.41,Price: ,2.64,x
1.121649349, Sport: ,Ice Hockey, Time: ,Thu Nov 05 18:30:00 CET 2015, Time: ,Thu Nov 05 18:30:00 CET 2015, Event: ,Japan v Latvia, Favorite: ,Latvia, 140146   size:9.81,Price: ,1.03,Japan, 140153   size:18.0,Price: ,1.21,Tie, 60104   size:18.0,Price: ,1.18,ok
1.121622725, Sport: ,Basketball, Time: ,Thu Nov 05 11:00:00 CET 2015, Time: ,Thu Nov 05 11:00:00 CET 2015, Event: ,Goyang Orions v Ulsan Mobis Phoebus, Favorite: ,Goyang Orions, 5889518   size:87.56,Price: ,1.64,Ulsan Mobis Phoebus, 8998222   size:55.26,Price: ,2.28,ok
1.121625438, Sport: ,Soccer, Time: ,Thu Nov 05 18:45:00 CET 2015, Time: ,Thu Nov 05 18:45:00 CET 2015, Event: ,Al Ahly v Misr El Makasa, Favorite: ,Al Ahly, 1328423   size:5.31,Price: ,1.51,Misr El Makasa, 5905941   size:2.63,Price: ,7.8,The Draw, 58805   size:3.98,Price: ,3.45,x
1.121647561, Sport: ,Soccer, Time: ,Thu Nov 05 16:30:00 CET 2015, Time: ,Thu Nov 05 16:30:00 CET 2015, Event: ,Al Arabi v Al Kharitiyath, Favorite: ,Al Arabi, 3922362   size:7.27,Price: ,1.4,Al Kharitiyath, 6658915   size:7.54,Price: ,5.4,The Draw, 58805   size:17.55,Price: ,3.95,ok
1.120469955, Sport: ,Cricket, Time: ,Thu Nov 05 05:00:00 CET 2015, Time: ,Thu Nov 05 05:00:00 CET 2015, Event: ,India v South Africa (1st Test), Favorite: ,India, 414464   size:1048.58,Price: ,2.14,South Africa, 349   size:2.0,Price: ,3.85,The Draw, 60443   size:5053.13,Price: ,3.15,ok
1.121649346, Sport: ,Ice Hockey, Time: ,Thu Nov 05 14:00:00 CET 2015, Time: ,Thu Nov 05 14:00:00 CET 2015, Event: ,Belarus v Italy, Favorite: ,Belarus, 253801   size:505.28,Price: ,1.14,Italy, 140149   size:77.81,Price: ,1.37,Tie, 60104   size:16.07,Price: ,5.4,ok
1.121637649, Sport: ,Basketball, Time: ,Thu Nov 05 18:00:00 CET 2015, Time: ,Thu Nov 05 18:00:00 CET 2015, Event: ,Tsmoki Minsk (W) v Edirnespor Women, Favorite: ,Tsmoki Minsk (W), 8978746   size:9.81,Price: ,1.03,Edirnespor Women, 9022117   size:9.81,Price: ,1.03,x
