1.121618425, Sport: ,Rugby Union, Time: ,Sat Nov 07 16:15:00 CET 2015, Time: ,Sat Nov 07 16:15:00 CET 2015, Event: ,Northampton v Saracens, Favorite: ,Northampton, 50103   size:348.19,Price: ,1.74,Saracens, 8881   size:323.43,Price: ,2.34,Draw, 246289   size:22.91,Price: ,20.0,x
1.121646269, Sport: ,Basketball, Time: ,Sat Nov 07 18:30:00 CET 2015, Time: ,Sat Nov 07 18:30:00 CET 2015, Event: ,Mitteldeutscher v Oldenburg, Favorite: ,Oldenburg, 1285952   size:8.6,Price: ,1.39,Mitteldeutscher, 4228382   size:2.55,Price: ,3.2,ok
1.121549739, Sport: ,Soccer, Time: ,Sat Nov 07 18:30:00 CET 2015, Time: ,Sat Nov 07 18:30:00 CET 2015, Event: ,Atromitos v Panathinaikos, Favorite: ,Panathinaikos, 50334   size:20.06,Price: ,2.36,Atromitos, 1234639   size:6.55,Price: ,3.65,The Draw, 58805   size:44.72,Price: ,3.2,ok
1.121706253, Sport: ,Tennis, Time: ,Sat Nov 07 13:00:00 CET 2015, Time: ,Sat Nov 07 13:00:00 CET 2015, Event: ,Codino v Gamiz, Favorite: ,Andrea Gamiz, 7083171   size:2.55,Price: ,1.07,Fiona Codino, 9626916   size:32.99,Price: ,11.0,ok
1.121649332, Sport: ,Ice Hockey, Time: ,Sat Nov 07 19:30:00 CET 2015, Time: ,Sat Nov 07 19:30:00 CET 2015, Event: ,Austria v Poland, Favorite: ,Austria, 140148   size:140.11,Price: ,2.34,Poland, 140150   size:141.8,Price: ,2.34,Tie, 60104   size:7.01,Price: ,3.95,ok
1.121539641, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Stevenage v Gillingham, Favorite: ,Gillingham, 56298   size:16.99,Price: ,1.94,Stevenage, 49204   size:2.78,Price: ,4.3,The Draw, 58805   size:2.0,Price: ,3.8,x
1.121539126, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Bury v Wigan, Favorite: ,Wigan, 69746   size:34.7,Price: ,2.2,Bury, 223503   size:4.23,Price: ,3.5,The Draw, 58805   size:8.0,Price: ,3.65,x
1.121549931, Sport: ,Soccer, Time: ,Sat Nov 07 15:00:00 CET 2015, Time: ,Sat Nov 07 15:00:00 CET 2015, Event: ,Cagliari v Modena, Favorite: ,Cagliari, 60297   size:76.29,Price: ,1.61,Modena, 60293   size:107.34,Price: ,7.6,The Draw, 58805   size:204.76,Price: ,3.9,ok
1.121618431, Sport: ,Rugby Union, Time: ,Sat Nov 07 18:30:00 CET 2015, Time: ,Sat Nov 07 18:30:00 CET 2015, Event: ,Exeter v Leicester, Favorite: ,Exeter, 67603   size:22.91,Price: ,1.47,Leicester, 69390   size:13.7,Price: ,3.15,Draw, 246289   size:21.92,Price: ,22.0,ok
1.121649296, Sport: ,Ice Hockey, Time: ,Sat Nov 07 12:00:00 CET 2015, Time: ,Sat Nov 07 12:00:00 CET 2015, Event: ,Belarus v Japan, Favorite: ,Belarus, 253801   size:2.51,Price: ,1.35,Japan, 140153   size:26.01,Price: ,8.0,Tie, 60104   size:37.17,Price: ,6.0,ok
