1.119829166, Sport: ,Tennis, Time: ,Tue Aug 04 12:00:00 CEST 2015, Time: ,Tue Aug 04 12:00:00 CEST 2015, Event: ,Barbat v Sotnikova, Favorite: ,Alyona Sotnikova, 7168409   size:3.57,Price: ,1.4,Karen Barbat, 6295669   size:4.19,Price: ,3.0,x
1.119825482, Sport: ,Tennis, Time: ,Tue Aug 04 11:15:00 CEST 2015, Time: ,Tue Aug 04 11:15:00 CEST 2015, Event: ,Oyen v Hogenkamp, Favorite: ,Richel Hogenkamp, 6440521   size:6.64,Price: ,1.23,Sofie Oyen, 9150763   size:174.2,Price: ,4.3,ok
1.119825481, Sport: ,Tennis, Time: ,Tue Aug 04 13:15:00 CEST 2015, Time: ,Tue Aug 04 13:15:00 CEST 2015, Event: ,Korpatsch v Liebens, Favorite: ,Tamara Korpatsch, 9166525   size:4.77,Price: ,1.34,Klaartje Liebens, 8944354   size:5.93,Price: ,3.75,ok
1.119837738, Sport: ,Tennis, Time: ,Tue Aug 04 11:30:00 CEST 2015, Time: ,Tue Aug 04 11:30:00 CEST 2015, Event: ,Lykina v Carreras, Favorite: ,Amanda Carreras, 7364002   size:6.23,Price: ,1.36,Ksenia Lykina, 4198444   size:4.09,Price: ,3.25,ok
1.119837739, Sport: ,Tennis, Time: ,Tue Aug 04 10:30:00 CEST 2015, Time: ,Tue Aug 04 10:30:00 CEST 2015, Event: ,Mikulcic v J Fett, Favorite: ,Jana Fett, 9087351   size:7.02,Price: ,1.43,Ema Mikulcic, 9627825   size:18.82,Price: ,2.94,ok
1.119837734, Sport: ,Tennis, Time: ,Tue Aug 04 13:30:00 CEST 2015, Time: ,Tue Aug 04 13:30:00 CEST 2015, Event: ,Zovincova v Komardina, Favorite: ,Anastasiya Komardina, 9148804   size:4.39,Price: ,1.16,Vendula Zovincova, 9630970   size:38.54,Price: ,5.1,ok
1.119827515, Sport: ,Soccer, Time: ,Tue Aug 04 11:00:00 CEST 2015, Time: ,Tue Aug 04 11:00:00 CEST 2015, Event: ,FK Teplice U19 v SK Sigma Olomouc U19, Favorite: ,SK Sigma Olomouc U19, 6573640   size:2.71,Price: ,1.94,FK Teplice U19, 6395178   size:2.19,Price: ,2.42,The Draw, 58805   size:87.5,Price: ,4.2,x
1.119793899, Sport: ,Cricket, Time: ,Tue Aug 04 15:00:00 CEST 2015, Time: ,Tue Aug 04 15:00:00 CEST 2015, Event: ,Surrey v Worcestershire, Favorite: ,Surrey, 424676   size:67.41,Price: ,1.47,Worcestershire, 31372   size:79.65,Price: ,3.05,ok
1.119827234, Sport: ,Soccer, Time: ,Tue Aug 04 15:00:00 CEST 2015, Time: ,Tue Aug 04 15:00:00 CEST 2015, Event: ,1. FK Pribram U19 v SFC Opava U19, Favorite: ,SFC Opava U19, 6582678   size:2.61,Price: ,1.07,1. FK Pribram U19, 7451164   size:2.02,Price: ,1.09,The Draw, 58805   size:2.85,Price: ,1.25,x
1.119825855, Sport: ,Soccer, Time: ,Tue Aug 04 11:30:00 CEST 2015, Time: ,Tue Aug 04 11:30:00 CEST 2015, Event: ,Alaves v Mirandes, Favorite: ,Mirandes, 565024   size:8.05,Price: ,2.44,Alaves, 60324   size:4.33,Price: ,2.64,The Draw, 58805   size:8.59,Price: ,3.4,x
1.119814684, Sport: ,Tennis, Time: ,Tue Aug 04 12:15:00 CEST 2015, Time: ,Tue Aug 04 12:15:00 CEST 2015, Event: ,Cervantes v Ignatik, Favorite: ,Inigo Cervantes, 6297238   size:18.16,Price: ,1.55,Uladzimir Ignatik, 3259323   size:5.12,Price: ,2.48,ok
1.119814685, Sport: ,Tennis, Time: ,Tue Aug 04 14:00:00 CEST 2015, Time: ,Tue Aug 04 14:00:00 CEST 2015, Event: ,Jebavy v Mertl, Favorite: ,Jan Mertl, 3034493   size:2.55,Price: ,1.36,Roman Jebavy, 7797781   size:6.61,Price: ,3.35,ok
1.119814686, Sport: ,Tennis, Time: ,Tue Aug 04 15:45:00 CEST 2015, Time: ,Tue Aug 04 15:45:00 CEST 2015, Event: ,Safranek v Podlipnik-Castillo, Favorite: ,Hans Podlipnik-Castillo, 8461633   size:3.79,Price: ,1.32,Vaclav Safranek, 8490631   size:3.98,Price: ,3.5,ok
1.119814687, Sport: ,Tennis, Time: ,Tue Aug 04 10:30:00 CEST 2015, Time: ,Tue Aug 04 10:30:00 CEST 2015, Event: ,H Zeballos v Laaksonen, Favorite: ,Horacio Zeballos, 3506037   size:7.24,Price: ,1.21,Henri Laaksonen, 6344314   size:13.19,Price: ,5.1,ok
1.119825341, Sport: ,Tennis, Time: ,Tue Aug 04 13:00:00 CEST 2015, Time: ,Tue Aug 04 13:00:00 CEST 2015, Event: ,Struff v Kohlschreiber, Favorite: ,Philipp Kohlschreiber, 2257302   size:572.1,Price: ,1.23,Jan-Lennard Struff, 8259098   size:98.31,Price: ,5.2,ok
1.119815702, Sport: ,Tennis, Time: ,Tue Aug 04 11:45:00 CEST 2015, Time: ,Tue Aug 04 11:45:00 CEST 2015, Event: ,Munoz-De La Nava v Mat Viola, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:21.2,Price: ,1.41,Matteo Viola, 4946664   size:2.55,Price: ,2.98,ok
1.119815668, Sport: ,Tennis, Time: ,Tue Aug 04 10:00:00 CEST 2015, Time: ,Tue Aug 04 10:00:00 CEST 2015, Event: ,Ramirez Hidalgo v Horansky, Favorite: ,Ruben Ramirez Hidalgo, 2257299   size:15.52,Price: ,1.4,Filip Horansky, 4596961   size:22.56,Price: ,3.25,ok
1.119815701, Sport: ,Tennis, Time: ,Tue Aug 04 11:45:00 CEST 2015, Time: ,Tue Aug 04 11:45:00 CEST 2015, Event: ,Riba v Brands, Favorite: ,Daniel Brands, 2395076   size:36.13,Price: ,1.59,Pere Riba, 2489421   size:2.49,Price: ,2.56,ok
1.119837672, Sport: ,Tennis, Time: ,Tue Aug 04 14:45:00 CEST 2015, Time: ,Tue Aug 04 14:45:00 CEST 2015, Event: ,Mat Trevisan v Quinzi, Favorite: ,Gianluigi Quinzi, 8257864   size:6.18,Price: ,1.76,Matteo Trevisan, 8284473   size:5.65,Price: ,2.06,x
1.119793796, Sport: ,Cricket, Time: ,Tue Aug 04 15:00:00 CEST 2015, Time: ,Tue Aug 04 15:00:00 CEST 2015, Event: ,Derbyshire v Leicestershire, Favorite: ,Derbyshire, 31375   size:48.51,Price: ,1.75,Leicestershire, 31377   size:5.0,Price: ,2.22,ok
1.119825277, Sport: ,Tennis, Time: ,Tue Aug 04 11:30:00 CEST 2015, Time: ,Tue Aug 04 11:30:00 CEST 2015, Event: ,G Melzer v Montanes, Favorite: ,Albert Montanes, 2263599   size:183.78,Price: ,1.47,Gerald Melzer, 4876705   size:29.27,Price: ,3.1,ok
1.119803608, Sport: ,Tennis, Time: ,Tue Aug 04 13:15:00 CEST 2015, Time: ,Tue Aug 04 13:15:00 CEST 2015, Event: ,Vesely v Almagro, Favorite: ,Nicolas Almagro, 2257310   size:92.3,Price: ,1.74,Jiri Vesely, 7032143   size:5.0,Price: ,2.28,ok
1.119793678, Sport: ,Cricket, Time: ,Tue Aug 04 11:30:00 CEST 2015, Time: ,Tue Aug 04 11:30:00 CEST 2015, Event: ,Gloucestershire v Durham, Favorite: ,Gloucestershire, 2219   size:57.27,Price: ,1.98,Durham, 31374   size:24.51,Price: ,2.0,ok
