1.121433650, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,CS FC Caransebes v Gaz Metan Medias, Favorite: ,Gaz Metan Medias, 3204854   size:4.52,Price: ,2.18,CS FC Caransebes, 8808428   size:4.01,Price: ,2.86,The Draw, 58805   size:3.89,Price: ,3.15,ok
1.121434865, Sport: ,Soccer, Time: ,Sat Oct 24 21:00:00 CEST 2015, Time: ,Sat Oct 24 21:00:00 CEST 2015, Event: ,UD Montana Alta (W) v CD Femarguin (W), Favorite: ,UD Montana Alta (W), 10450193   size:3.62,Price: ,1.07,CD Femarguin (W), 10293020   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88,x
1.121434349, Sport: ,Soccer, Time: ,Sat Oct 24 13:30:00 CEST 2015, Time: ,Sat Oct 24 13:30:00 CEST 2015, Event: ,Duslo Sala v Borcice, Favorite: ,Borcice, 10221190   size:7.99,Price: ,1.73,Duslo Sala, 4985269   size:7.99,Price: ,2.68,The Draw, 58805   size:15.99,Price: ,3.2,ok
1.121266289, Sport: ,Soccer, Time: ,Sat Oct 24 16:00:00 CEST 2015, Time: ,Sat Oct 24 16:00:00 CEST 2015, Event: ,Dumbarton v Falkirk, Favorite: ,Falkirk, 328049   size:5.0,Price: ,2.02,Dumbarton, 2152   size:36.2,Price: ,3.85,The Draw, 58805   size:9.5,Price: ,3.75,ok
1.121268500, Sport: ,Soccer, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,Haugesund v Valerenga, Favorite: ,Valerenga, 132563   size:411.24,Price: ,2.18,Haugesund, 152566   size:184.41,Price: ,3.4,The Draw, 58805   size:120.53,Price: ,3.65,ok
1.121268742, Sport: ,Soccer, Time: ,Sat Oct 24 21:30:00 CEST 2015, Time: ,Sat Oct 24 21:30:00 CEST 2015, Event: ,Deportivo JBL del Zulia v Atletico Socopo, Favorite: ,Deportivo JBL del Zulia, 9989699   size:3.62,Price: ,1.07,Atletico Socopo, 10096564   size:3.62,Price: ,1.07,The Draw, 58805   size:4.79,Price: ,2.88,x
1.121432605, Sport: ,Soccer, Time: ,Sat Oct 24 19:00:00 CEST 2015, Time: ,Sat Oct 24 19:00:00 CEST 2015, Event: ,Znicz Pruszkow v Legionovia, Favorite: ,Znicz Pruszkow, 3199858   size:18.0,Price: ,1.11,Legionovia, 10064502   size:18.0,Price: ,1.11,The Draw, 58805   size:13.0,Price: ,2.9,ok
1.121433815, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Ramnicu Valcea v Olimpia Satu Mare, Favorite: ,Ramnicu Valcea, 4189796   size:5.38,Price: ,1.85,Olimpia Satu Mare, 6681485   size:6.5,Price: ,3.0,The Draw, 58805   size:14.04,Price: ,2.94,ok
1.121261437, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Nagoya v Niigata, Favorite: ,Niigata, 744094   size:1663.4,Price: ,1.45,Nagoya, 441084   size:4.62,Price: ,10.0,The Draw, 58805   size:5.93,Price: ,4.5,x
1.121433819, Sport: ,Soccer, Time: ,Sat Oct 24 17:00:00 CEST 2015, Time: ,Sat Oct 24 17:00:00 CEST 2015, Event: ,Poprad v Dolny Kubin, Favorite: ,Poprad, 4985268   size:3.83,Price: ,1.54,Dolny Kubin, 5809914   size:9.22,Price: ,4.5,The Draw, 58805   size:17.57,Price: ,3.75,ok
