1.122263244, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,Deportivo La Coruna II v Ordenes CF, Favorite: ,Deportivo La Coruna II, 9301052   size:16.31,Price: ,1.51,Ordenes CF, 8811934   size:34.62,Price: ,5.2,The Draw, 58805   size:34.62,Price: ,3.45,ok
1.122264573, Sport: ,Soccer, Time: ,Sun Dec 13 14:00:00 CET 2015, Time: ,Sun Dec 13 14:00:00 CET 2015, Event: ,Cruzeiro U20 v Atletico-PR U20, Favorite: ,Cruzeiro U20, 5188319   size:13.65,Price: ,1.04,Atletico-PR U20, 7642309   size:13.65,Price: ,1.04,The Draw, 58805   size:2.76,Price: ,1.25,ok
1.122265789, Sport: ,Soccer, Time: ,Sun Dec 13 16:00:00 CET 2015, Time: ,Sun Dec 13 16:00:00 CET 2015, Event: ,Mortagua FC v Cesarense, Favorite: ,Mortagua FC, 10503423   size:13.65,Price: ,1.04,Cesarense, 5037326   size:13.65,Price: ,1.04,The Draw, 58805   size:13.65,Price: ,1.04,x
1.122216015, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Talavera CF v CF Rayo Majadahonda, Favorite: ,Talavera CF, 7309192   size:2.75,Price: ,2.0,CF Rayo Majadahonda, 6929273   size:23.87,Price: ,3.9,The Draw, 58805   size:5.91,Price: ,3.3,x
1.122157079, Sport: ,Soccer, Time: ,Sun Dec 13 17:30:00 CET 2015, Time: ,Sun Dec 13 17:30:00 CET 2015, Event: ,Ancona v Lupa Roma, Favorite: ,Ancona, 60304   size:2.75,Price: ,1.61,Lupa Roma, 8802594   size:5.55,Price: ,5.6,The Draw, 58805   size:2.75,Price: ,3.7,ok
1.122262270, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,UE Figueres v CE Sabadell II, Favorite: ,CE Sabadell II, 8826854   size:49.45,Price: ,2.4,UE Figueres, 7156507   size:42.21,Price: ,2.64,The Draw, 58805   size:35.68,Price: ,2.94,ok
1.122244620, Sport: ,Soccer, Time: ,Sat Dec 12 20:00:00 CET 2015, Time: ,Sat Dec 12 20:00:00 CET 2015, Event: ,Nigeria U23 v Algeria U23, Favorite: ,Algeria U23, 9987489   size:115.04,Price: ,2.7,Nigeria U23, 10563306   size:11.35,Price: ,3.1,The Draw, 58805   size:56.88,Price: ,3.0,x
1.122193279, Sport: ,Soccer, Time: ,Sun Dec 13 16:00:00 CET 2015, Time: ,Sun Dec 13 16:00:00 CET 2015, Event: ,Freamunde v Olhanense, Favorite: ,Freamunde, 616891   size:11.91,Price: ,1.93,Olhanense, 2524227   size:20.73,Price: ,4.7,The Draw, 58805   size:6.92,Price: ,3.35,ok
1.122233615, Sport: ,Handball, Time: ,Sat Dec 12 19:00:00 CET 2015, Time: ,Sat Dec 12 19:00:00 CET 2015, Event: ,Huesca v Teucro, Favorite: ,Huesca, 5798698   size:17.66,Price: ,1.37,Teucro, 3220971   size:7.15,Price: ,4.5,Draw, 330157   size:17.25,Price: ,10.0,ok
1.122215191, Sport: ,Basketball, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Igokea v Cedevita, Favorite: ,Cedevita, 4229279   size:128.22,Price: ,1.54,Igokea, 2624092   size:45.54,Price: ,2.52,ok
1.122160396, Sport: ,Soccer, Time: ,Sun Dec 13 15:00:00 CET 2015, Time: ,Sun Dec 13 15:00:00 CET 2015, Event: ,Chievo v Atalanta, Favorite: ,Chievo, 44506   size:55.43,Price: ,2.56,Atalanta, 215817   size:47.05,Price: ,3.35,The Draw, 58805   size:3718.46,Price: ,3.15,ok
1.122216041, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,La Hoya Lorca v Granada B, Favorite: ,La Hoya Lorca, 6415466   size:2.55,Price: ,2.42,Granada B, 7602492   size:25.89,Price: ,3.4,The Draw, 58805   size:3.46,Price: ,3.0,x
1.122216160, Sport: ,Basketball, Time: ,Sun Dec 13 02:05:00 CET 2015, Time: ,Sun Dec 13 02:05:00 CET 2015, Event: ,New Orleans @ Chicago, Favorite: ,Chicago, 13117   size:28.87,Price: ,1.37,New Orleans, 6860646   size:5.0,Price: ,3.45,ok
1.122216045, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Linense v Merida AD, Favorite: ,Linense, 3303612   size:2.55,Price: ,1.66,Merida AD, 9534731   size:5.84,Price: ,5.1,The Draw, 58805   size:3.37,Price: ,3.25,ok
1.122216043, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Linares Deportivo v UCAM Murcia, Favorite: ,UCAM Murcia, 5778410   size:2.55,Price: ,2.84,Linares Deportivo, 7977266   size:19.5,Price: ,2.88,The Draw, 58805   size:2.55,Price: ,2.96,ok
1.122216049, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,Murcia v FC Cartagena, Favorite: ,Murcia, 68244   size:2.55,Price: ,1.76,FC Cartagena, 5740008   size:7.3,Price: ,5.4,The Draw, 58805   size:34.08,Price: ,3.45,ok
1.122263354, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,RS Gimnastica v SRD Vimenor CF, Favorite: ,RS Gimnastica, 5756669   size:7.79,Price: ,1.07,SRD Vimenor CF, 6964500   size:7.79,Price: ,1.07,The Draw, 58805   size:2.76,Price: ,1.25,ok
1.122216047, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,Melilla v Recreativo Huelva, Favorite: ,Recreativo Huelva, 7449173   size:2.75,Price: ,2.5,Melilla, 2250364   size:2.76,Price: ,3.3,The Draw, 58805   size:21.24,Price: ,3.05,x
1.122265899, Sport: ,Soccer, Time: ,Sun Dec 13 11:00:00 CET 2015, Time: ,Sun Dec 13 11:00:00 CET 2015, Event: ,OGC Nice U19 v AS Saint-Etienne U19, Favorite: ,OGC Nice U19, 10622865   size:21.1,Price: ,1.03,AS Saint-Etienne U19, 10622866   size:21.1,Price: ,1.03,The Draw, 58805   size:2.76,Price: ,1.25,x
