1.121951401, Sport: ,Basketball, Time: ,Tue Nov 24 01:35:00 CET 2015, Time: ,Tue Nov 24 01:35:00 CET 2015, Event: ,New York @ Miami, Favorite: ,Miami, 13109   size:67.33,Price: ,1.51,New York, 13106   size:14.26,Price: ,2.9,ok
1.121972503, Sport: ,Soccer, Time: ,Tue Nov 24 09:30:00 CET 2015, Time: ,Tue Nov 24 09:30:00 CET 2015, Event: ,Vietnam U21 v Singapore U21, Favorite: ,Vietnam U21, 7788548   size:3.77,Price: ,1.26,Singapore U21, 7788533   size:3.77,Price: ,1.75,The Draw, 58805   size:3.77,Price: ,3.0,ok
1.121818085, Sport: ,Soccer, Time: ,Mon Nov 23 19:45:00 CET 2015, Time: ,Mon Nov 23 19:45:00 CET 2015, Event: ,Wohlen v Winterthur, Favorite: ,Wohlen, 457844   size:33.17,Price: ,2.32,Winterthur, 458019   size:11.41,Price: ,3.15,The Draw, 58805   size:5.19,Price: ,3.65,ok
1.121968158, Sport: ,Tennis, Time: ,Tue Nov 24 02:00:00 CET 2015, Time: ,Tue Nov 24 02:00:00 CET 2015, Event: ,S Jang v Tig, Favorite: ,Patricia Maria Tig, 8679189   size:6.4,Price: ,1.3,Su Jeong Jang, 7659425   size:11.12,Price: ,3.7,ok
1.121967622, Sport: ,Tennis, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,N Broady v Jaksic, Favorite: ,Naomi Broady, 3960538   size:19.08,Price: ,1.68,Jovana Jaksic, 7168389   size:20.17,Price: ,2.36,ok
1.121816186, Sport: ,Soccer, Time: ,Mon Nov 23 20:15:00 CET 2015, Time: ,Mon Nov 23 20:15:00 CET 2015, Event: ,Nurnberg v Braunschweig, Favorite: ,Nurnberg, 121724   size:94.16,Price: ,2.22,Braunschweig, 199184   size:252.3,Price: ,3.55,The Draw, 58805   size:138.67,Price: ,3.65,ok
1.121965047, Sport: ,Soccer, Time: ,Tue Nov 24 02:40:00 CET 2015, Time: ,Tue Nov 24 02:40:00 CET 2015, Event: ,Harbour View FC v Humble Lions, Favorite: ,Harbour View FC, 7688378   size:10.0,Price: ,1.12,Humble Lions, 7666195   size:10.0,Price: ,1.12,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121968154, Sport: ,Tennis, Time: ,Tue Nov 24 03:30:00 CET 2015, Time: ,Tue Nov 24 03:30:00 CET 2015, Event: ,Caregaro v K Zhang, Favorite: ,Kai-Lin Zhang, 8710301   size:5.0,Price: ,1.31,Martina Caregaro, 4845690   size:4.47,Price: ,3.85,x
1.121968157, Sport: ,Tennis, Time: ,Tue Nov 24 02:00:00 CET 2015, Time: ,Tue Nov 24 02:00:00 CET 2015, Event: ,Y  Lee v M Ninomiya, Favorite: ,Ya-Hsuan Lee, 8839147   size:6.13,Price: ,1.39,Makoto Ninomiya, 7750118   size:7.69,Price: ,3.2,x
1.121937863, Sport: ,Basketball, Time: ,Mon Nov 23 20:45:00 CET 2015, Time: ,Mon Nov 23 20:45:00 CET 2015, Event: ,Cremona v Pistoia, Favorite: ,Cremona, 4325205   size:41.0,Price: ,1.67,Pistoia, 7735183   size:103.39,Price: ,2.38,ok
