1.120294543, Sport: ,Soccer, Time: ,Sat Aug 29 17:45:00 CEST 2015, Time: ,Sat Aug 29 17:45:00 CEST 2015, Event: ,Al-Fateh (KSA) v Al-Hilal, Favorite: ,Al-Hilal, 3725113   size:5.41,Price: ,1.67,The Draw, 58805   size:4.87,Price: ,3.85,Al-Fateh (KSA), 7196232   size:2.88,Price: ,5.1,
1.120145589, Sport: ,Soccer, Time: ,Sat Aug 29 17:45:00 CEST 2015, Time: ,Sat Aug 29 17:45:00 CEST 2015, Event: ,Lausanne v Wohlen, Favorite: ,Lausanne, 2093796   size:15.73,Price: ,2.36,Wohlen, 457844   size:29.45,Price: ,3.0,The Draw, 58805   size:13.39,Price: ,3.7,
1.120143680, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Honved v Puskas Academia, Favorite: ,Honved, 865345   size:21.65,Price: ,1.72,The Draw, 58805   size:26.01,Price: ,3.85,Puskas Academia, 7429080   size:3.58,Price: ,5.5,
1.120295054, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,UD San Fernando v UD Las Zocas, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,
1.120143750, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Vasas v MTK Budapest, Favorite: ,MTK Budapest, 473659   size:14.17,Price: ,2.5,Vasas, 886340   size:25.77,Price: ,3.0,The Draw, 58805   size:6.72,Price: ,3.5,
1.120294999, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,CD Ferriolense v UD Poblense, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,
1.120193734, Sport: ,Soccer, Time: ,Sat Aug 29 18:15:00 CEST 2015, Time: ,Sat Aug 29 18:15:00 CEST 2015, Event: ,Levadiakos v Olympiakos, Favorite: ,Olympiakos, 55243   size:209.97,Price: ,1.18,The Draw, 58805   size:4.32,Price: ,8.6,Levadiakos, 531200   size:13.99,Price: ,24.0,
1.120147389, Sport: ,Soccer, Time: ,Sat Aug 29 18:30:00 CEST 2015, Time: ,Sat Aug 29 18:30:00 CEST 2015, Event: ,Spartak Moscow v Anzhi Makhachkala, Favorite: ,Spartak Moscow, 5517   size:316.52,Price: ,1.49,The Draw, 58805   size:117.72,Price: ,4.6,Anzhi Makhachkala, 50353   size:59.86,Price: ,8.2,
1.120145449, Sport: ,Soccer, Time: ,Sat Aug 29 20:00:00 CEST 2015, Time: ,Sat Aug 29 20:00:00 CEST 2015, Event: ,FC Vaduz v St Gallen, Favorite: ,St Gallen, 6392   size:5.13,Price: ,2.68,FC Vaduz, 46945   size:74.07,Price: ,2.78,The Draw, 58805   size:186.58,Price: ,3.5,
1.120143610, Sport: ,Soccer, Time: ,Sat Aug 29 20:30:00 CEST 2015, Time: ,Sat Aug 29 20:30:00 CEST 2015, Event: ,Ferencvaros v Paks, Favorite: ,Ferencvaros, 198748   size:6.38,Price: ,1.21,The Draw, 58805   size:5.93,Price: ,6.8,Paks, 2018015   size:33.59,Price: ,18.0,
