1.119357955, Sport: ,Soccer, Time: ,Wed Jul 08 22:10:00 CEST 2015, Time: ,Wed Jul 08 22:10:00 CEST 2015, Event: ,Union Mar del Plata v Chacarita, Favorite: ,Union Mar del Plata, 9229723   size:68.1,Price: ,2.12,The Draw, 58805   size:80.76,Price: ,3.35,Chacarita, 192084   size:6.78,Price: ,3.9,ok
1.119406265, Sport: ,Soccer, Time: ,Wed Jul 08 22:00:00 CEST 2015, Time: ,Wed Jul 08 22:00:00 CEST 2015, Event: ,KFG v Isbjorninn, Favorite: ,Isbjorninn, 6358743   size:10.53,Price: ,1.08,The Draw, 58805   size:3.51,Price: ,2.04,x
1.119405416, Sport: ,Soccer, Time: ,Wed Jul 08 22:30:00 CEST 2015, Time: ,Wed Jul 08 22:30:00 CEST 2015, Event: ,Barnechea v Univ Catolica (Chile), Favorite: ,Univ Catolica (Chile), 7029037   size:24.93,Price: ,1.34,The Draw, 58805   size:25.41,Price: ,5.9,Barnechea, 8692144   size:15.39,Price: ,9.8,x
1.119403996, Sport: ,Soccer, Time: ,Wed Jul 08 20:30:00 CEST 2015, Time: ,Wed Jul 08 20:30:00 CEST 2015, Event: ,Burscough v Everton U21, Favorite: ,Everton U21, 6689709   size:14.41,Price: ,1.32,The Draw, 58805   size:4.14,Price: ,6.0,Burscough, 329504   size:39.82,Price: ,7.6,ok
1.119405811, Sport: ,Soccer, Time: ,Wed Jul 08 22:00:00 CEST 2015, Time: ,Wed Jul 08 22:00:00 CEST 2015, Event: ,Fjolnir (W) v Hafnarfjordur (W), Favorite: ,Hafnarfjordur (W), 5586260   size:308.98,Price: ,1.07,Fjolnir (W), 5279491   size:10.53,Price: ,1.75,The Draw, 58805   size:3.22,Price: ,2.06,ok
1.119337728, Sport: ,Soccer, Time: ,Thu Jul 09 00:30:00 CEST 2015, Time: ,Thu Jul 09 00:30:00 CEST 2015, Event: ,Goias v Santos, Favorite: ,Goias, 198131   size:3.36,Price: ,2.6,Santos, 198127   size:115.31,Price: ,3.2,The Draw, 58805   size:317.6,Price: ,3.3,ok
1.119367074, Sport: ,Baseball, Time: ,Thu Jul 09 02:10:00 CEST 2015, Time: ,Thu Jul 09 02:10:00 CEST 2015, Event: ,TB @ KC, Favorite: ,Tampa Bay (C Archer), 6457877   size:505.37,Price: ,1.77,Kansas City (J Guthrie), 6582227   size:286.5,Price: ,2.2,x
1.119358169, Sport: ,Soccer, Time: ,Wed Jul 08 20:30:00 CEST 2015, Time: ,Wed Jul 08 20:30:00 CEST 2015, Event: ,Estudiantes de San Luis v Independiente Rivadavia, Favorite: ,Estudiantes de San Luis, 9229724   size:161.48,Price: ,2.56,The Draw, 58805   size:100.97,Price: ,3.1,Independiente Rivadavia, 5333044   size:32.98,Price: ,3.4,ok
1.119415363, Sport: ,Soccer, Time: ,Thu Jul 09 01:00:00 CEST 2015, Time: ,Thu Jul 09 01:00:00 CEST 2015, Event: ,Huachipato v Colo Colo, Favorite: ,Colo Colo, 330239   size:14.92,Price: ,2.0,The Draw, 58805   size:164.71,Price: ,3.75,Huachipato, 2019917   size:91.22,Price: ,3.8,x
1.119417146, Sport: ,Tennis, Time: ,Thu Jul 09 03:45:00 CEST 2015, Time: ,Thu Jul 09 03:45:00 CEST 2015, Event: ,Hiltzik v Escobedo, Favorite: ,Ernesto Escobedo, 8700174   size:8.24,Price: ,1.39,Jared Hiltzik, 7082814   size:7.51,Price: ,3.2,x
