1.119560594, Sport: ,Soccer, Time: ,Sun Jul 26 06:00:00 CEST 2015, Time: ,Sun Jul 26 06:00:00 CEST 2015, Event: ,Sagamihara v Renofa Yamaguchi, Favorite: ,Renofa Yamaguchi, 4233875   size:3.44,Price: ,1.88,The Draw, 58805   size:37.29,Price: ,3.15,Sagamihara, 9339232   size:37.23,Price: ,3.35,ok
1.119537474, Sport: ,Soccer, Time: ,Sat Jul 25 20:15:00 CEST 2015, Time: ,Sat Jul 25 20:15:00 CEST 2015, Event: ,Teplice v Sigma Olomouc, Favorite: ,Teplice, 174264   size:134.52,Price: ,2.14,The Draw, 58805   size:4.77,Price: ,3.55,Sigma Olomouc, 50337   size:70.85,Price: ,3.8,x
1.119609280, Sport: ,Soccer, Time: ,Sun Jul 26 00:45:00 CEST 2015, Time: ,Sun Jul 26 00:45:00 CEST 2015, Event: ,Sport Loreto v Sport Huancayo, Favorite: ,Sport Loreto, 9216261   size:185.0,Price: ,2.08,The Draw, 58805   size:15.03,Price: ,3.45,Sport Huancayo, 4972227   size:20.16,Price: ,4.0,x
1.119556132, Sport: ,Soccer, Time: ,Sun Jul 26 02:30:00 CEST 2015, Time: ,Sun Jul 26 02:30:00 CEST 2015, Event: ,Chicago Fire v New England, Favorite: ,Chicago Fire, 226469   size:289.0,Price: ,2.2,New England, 171907   size:19.9,Price: ,3.5,The Draw, 58805   size:115.54,Price: ,3.65,x
1.119593603, Sport: ,Mixed Martial Arts, Time: ,Sun Jul 26 02:00:00 CEST 2015, Time: ,Sun Jul 26 02:00:00 CEST 2015, Event: ,Dillashaw v Barao, Favorite: ,TJ Dillashaw, 6151701   size:767.91,Price: ,1.51,Renan Barao, 5561275   size:36.67,Price: ,2.88,ok
1.119532462, Sport: ,Soccer, Time: ,Sat Jul 25 20:30:00 CEST 2015, Time: ,Sat Jul 25 20:30:00 CEST 2015, Event: ,Longford v Drogheda, Favorite: ,Longford, 184330   size:295.1,Price: ,2.26,Drogheda, 184329   size:175.98,Price: ,3.5,The Draw, 58805   size:12.22,Price: ,3.55,x
1.119558436, Sport: ,Soccer, Time: ,Sun Jul 26 03:30:00 CEST 2015, Time: ,Sun Jul 26 03:30:00 CEST 2015, Event: ,Atlas v Queretaro, Favorite: ,Atlas, 328950   size:9.0,Price: ,2.4,The Draw, 58805   size:189.63,Price: ,3.2,Queretaro, 328926   size:110.87,Price: ,3.4,x
1.119657379, Sport: ,Soccer, Time: ,Sat Jul 25 20:00:00 CEST 2015, Time: ,Sat Jul 25 20:00:00 CEST 2015, Event: ,Esporte Clube Primavera v Gremio Barueri, Favorite: ,Esporte Clube Primavera, 9993152   size:141.3,Price: ,1.3,Gremio Barueri, 6368370   size:141.3,Price: ,3.0,The Draw, 58805   size:141.3,Price: ,3.25,ok
1.119574344, Sport: ,Baseball, Time: ,Sun Jul 26 02:40:00 CEST 2015, Time: ,Sun Jul 26 02:40:00 CEST 2015, Event: ,MIA @ SD, Favorite: ,San Diego (I Kennedy), 7551799   size:714.53,Price: ,1.78,Miami (D Phelps), 9407815   size:283.31,Price: ,2.18,ok
1.119534609, Sport: ,Soccer, Time: ,Sun Jul 26 00:30:00 CEST 2015, Time: ,Sun Jul 26 00:30:00 CEST 2015, Event: ,Gremio v Sport Recife, Favorite: ,Gremio, 198134   size:182.77,Price: ,1.62,The Draw, 58805   size:71.0,Price: ,4.0,Sport Recife, 2405306   size:89.61,Price: ,6.8,x
