1.122490293, Sport: ,Basketball, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Cherno More Port Varna v Beroe, Favorite: ,Cherno More Port Varna, 8466972   size:3.22,Price: ,1.03,Beroe, 7753528   size:3.22,Price: ,1.03,x
1.122530973, Sport: ,Tennis, Time: ,Sat Jan 09 10:30:00 CET 2016, Time: ,Sat Jan 09 10:30:00 CET 2016, Event: ,Badanov v Tursunov, Favorite: ,Dmytro Badanov, 9623165   size:9.18,Price: ,1.06,Dmitry Tursunov, 2256471   size:9.18,Price: ,1.06,x
1.122538218, Sport: ,Tennis, Time: ,Sat Jan 09 08:30:00 CET 2016, Time: ,Sat Jan 09 08:30:00 CET 2016, Event: ,Jules Okala v Mate Delic, Favorite: ,Jules Okala, 9631389   size:9.18,Price: ,1.06,Mate Delic, 5704646   size:9.18,Price: ,1.06,x
1.122490294, Sport: ,Basketball, Time: ,Sat Jan 09 17:00:00 CET 2016, Time: ,Sat Jan 09 17:00:00 CET 2016, Event: ,Chernomorets v Balkan, Favorite: ,Balkan, 7813765   size:0.0,Price: ,0.0,Chernomorets, 7753530   size:2.06,Price: ,1.11,ok
1.122481463, Sport: ,Basketball, Time: ,Sat Jan 09 04:05:00 CET 2016, Time: ,Sat Jan 09 04:05:00 CET 2016, Event: ,Golden State @ Portland, Favorite: ,Golden State, 13126   size:7850.0,Price: ,1.19,Portland, 13129   size:19.58,Price: ,5.4,ok
1.122506886, Sport: ,Handball, Time: ,Sat Jan 09 14:00:00 CET 2016, Time: ,Sat Jan 09 14:00:00 CET 2016, Event: ,NP GK Rostov-Don v FTC, Favorite: ,NP GK Rostov-Don, 10520486   size:66.67,Price: ,1.38,FTC, 5547966   size:5.97,Price: ,3.55,Draw, 330157   size:38.75,Price: ,9.6,ok
1.122496708, Sport: ,Soccer, Time: ,Sat Jan 09 10:00:00 CET 2016, Time: ,Sat Jan 09 10:00:00 CET 2016, Event: ,Panaitolikos U20 v Asteras Tripolis U20, Favorite: ,Panaitolikos U20, 6313909   size:2.55,Price: ,1.69,Asteras Tripolis U20, 5299234   size:22.68,Price: ,3.95,The Draw, 58805   size:2.55,Price: ,3.45,ok
1.122423207, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Tamworth v FC Utd Manchester, Favorite: ,Tamworth, 62650   size:2.55,Price: ,2.0,FC Utd Manchester, 6742984   size:5.22,Price: ,3.6,The Draw, 58805   size:2.65,Price: ,3.55,x
1.122490285, Sport: ,Basketball, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,PAOK v Kavala, Favorite: ,PAOK, 281533   size:3.22,Price: ,1.03,Kavala, 3350797   size:30.38,Price: ,1.79,ok
1.122329140, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Brentford v Walsall, Favorite: ,Brentford, 78864   size:2.77,Price: ,1.88,Walsall, 55213   size:6.68,Price: ,4.4,The Draw, 58805   size:72.54,Price: ,4.1,x
