1.122375987, Sport: ,Tennis, Time: ,Thu Dec 24 10:00:00 CET 2015, Time: ,Thu Dec 24 10:00:00 CET 2015, Event: ,Deborah Kerfs v Julie Razafindranaly, Favorite: ,Deborah Kerfs, 9306687   size:5.0,Price: ,1.52,Julie Razafindranaly, 9694538   size:15.46,Price: ,2.3,ok
1.122375986, Sport: ,Tennis, Time: ,Thu Dec 24 10:00:00 CET 2015, Time: ,Thu Dec 24 10:00:00 CET 2015, Event: ,Ipek OZ v Ekaterine Gorgodze, Favorite: ,Ekaterine Gorgodze, 6531033   size:39.1,Price: ,1.03,Ipek Oz, 9633124   size:11.74,Price: ,1.05,ok
1.122351216, Sport: ,Soccer, Time: ,Thu Dec 24 15:00:00 CET 2015, Time: ,Thu Dec 24 15:00:00 CET 2015, Event: ,Giresunspor v Tuzlaspor, Favorite: ,Giresunspor, 1341524   size:5.0,Price: ,1.7,Tuzlaspor, 8859740   size:3.94,Price: ,5.4,The Draw, 58805   size:5.36,Price: ,4.2,x
1.122375985, Sport: ,Tennis, Time: ,Thu Dec 24 10:10:00 CET 2015, Time: ,Thu Dec 24 10:10:00 CET 2015, Event: ,Lou Brouleau v Ekaterina Ovcharenko, Favorite: ,Lou Brouleau, 9148889   size:111.3,Price: ,1.05,Ekaterina Ovcharenko, 10532222   size:4.97,Price: ,4.4,ok
1.122375984, Sport: ,Tennis, Time: ,Thu Dec 24 08:30:00 CET 2015, Time: ,Thu Dec 24 08:30:00 CET 2015, Event: ,Katharina Jacob v Sofia Kvatsabaia, Favorite: ,Sofia Kvatsabaia, 9345642   size:896.28,Price: ,1.01,Katharina Jacob, 9626667   size:11.3,Price: ,1.05,ok
1.122375988, Sport: ,Tennis, Time: ,Thu Dec 24 10:00:00 CET 2015, Time: ,Thu Dec 24 10:00:00 CET 2015, Event: ,Anastasia Smirnova v Julia Stamatova, Favorite: ,Julia Stamatova, 9306389   size:23.47,Price: ,1.25,Anastasia Smirnova, 9635047   size:6.96,Price: ,3.15,ok
1.122351210, Sport: ,Soccer, Time: ,Thu Dec 24 19:00:00 CET 2015, Time: ,Thu Dec 24 19:00:00 CET 2015, Event: ,Bursaspor v Eskisehirspor, Favorite: ,Bursaspor, 113183   size:126.0,Price: ,1.79,Eskisehirspor, 2080746   size:152.78,Price: ,4.8,The Draw, 58805   size:70.49,Price: ,3.9,ok
1.122375982, Sport: ,Tennis, Time: ,Thu Dec 24 08:30:00 CET 2015, Time: ,Thu Dec 24 08:30:00 CET 2015, Event: ,Karin Kennel v Oana Georgeta Simion, Favorite: ,Karin Kennel, 9246669   size:57.74,Price: ,1.04,Oana Georgeta Simion, 9345645   size:11.3,Price: ,1.05,ok
1.122375981, Sport: ,Tennis, Time: ,Thu Dec 24 08:30:00 CET 2015, Time: ,Thu Dec 24 08:30:00 CET 2015, Event: ,Aminat Kushkhova v Maria Oreshkina, Favorite: ,Aminat Kushkhova, 9626432   size:71.8,Price: ,1.12,Maria Oreshkina, 10349194   size:14.78,Price: ,4.4,ok
1.122360653, Sport: ,Basketball, Time: ,Thu Dec 24 15:00:00 CET 2015, Time: ,Thu Dec 24 15:00:00 CET 2015, Event: ,Crvena Zvezda v Zadar, Favorite: ,Crvena Zvezda, 1275898   size:9.1,Price: ,1.12,Zadar, 680759   size:12.36,Price: ,4.7,ok
1.122199224, Sport: ,American Football, Time: ,Fri Dec 25 02:00:00 CET 2015, Time: ,Fri Dec 25 02:00:00 CET 2015, Event: ,San Diego State v Cincinnati, Favorite: ,San Diego State, 3430534   size:5.0,Price: ,1.66,Cincinnati, 56289   size:2.55,Price: ,2.32,ok
1.122364059, Sport: ,Basketball, Time: ,Thu Dec 24 11:00:00 CET 2015, Time: ,Thu Dec 24 11:00:00 CET 2015, Event: ,Jeonju KCC Egis v Changwon Sakers, Favorite: ,Jeonju KCC Egis, 8148243   size:417.61,Price: ,1.3,Changwon Sakers, 10276571   size:56.55,Price: ,3.8,x
1.122199221, Sport: ,American Football, Time: ,Thu Dec 24 18:00:00 CET 2015, Time: ,Thu Dec 24 18:00:00 CET 2015, Event: ,Middle Tennessee v Western Michigan, Favorite: ,Western Michigan, 1320008   size:33.59,Price: ,1.59,Middle Tennessee, 2225316   size:6.27,Price: ,2.62,ok
1.122301281, Sport: ,Ice Hockey, Time: ,Thu Dec 24 15:00:00 CET 2015, Time: ,Thu Dec 24 15:00:00 CET 2015, Event: ,Medvescak Zagreb v Dinamo Minsk, Favorite: ,Medvescak Zagreb, 4182882   size:52.0,Price: ,2.48,Dinamo Minsk, 3312412   size:19.0,Price: ,2.56,Tie, 60104   size:58.48,Price: ,4.2,x
1.122310437, Sport: ,Soccer, Time: ,Fri Dec 25 07:30:00 CET 2015, Time: ,Fri Dec 25 07:30:00 CET 2015, Event: ,Yuen Long v Hong Kong Rangers, Favorite: ,Yuen Long, 9278604   size:2.55,Price: ,2.32,Hong Kong Rangers, 9445585   size:2.55,Price: ,2.32,The Draw, 58805   size:2.55,Price: ,3.4,x
1.122360372, Sport: ,Basketball, Time: ,Thu Dec 24 20:00:00 CET 2015, Time: ,Thu Dec 24 20:00:00 CET 2015, Event: ,Anadolu Efes v Fenerbahce, Favorite: ,Anadolu Efes, 5832279   size:2.55,Price: ,1.89,Fenerbahce, 631290   size:19.54,Price: ,1.93,ok
1.122351228, Sport: ,Soccer, Time: ,Thu Dec 24 12:45:00 CET 2015, Time: ,Thu Dec 24 12:45:00 CET 2015, Event: ,Sivas Belediyespor v Besiktas, Favorite: ,Besiktas, 232068   size:618.8,Price: ,1.21,Sivas Belediyespor, 6781573   size:10.21,Price: ,16.5,The Draw, 58805   size:34.88,Price: ,8.0,ok
1.122372267, Sport: ,Soccer, Time: ,Thu Dec 24 18:00:00 CET 2015, Time: ,Thu Dec 24 18:00:00 CET 2015, Event: ,Al-Nassr (KSA) v Al-Hilal, Favorite: ,Al-Hilal, 3725113   size:36.35,Price: ,2.26,Al-Nassr (KSA), 7623587   size:80.0,Price: ,3.5,The Draw, 58805   size:84.96,Price: ,3.45,ok
1.122372068, Sport: ,Soccer, Time: ,Thu Dec 24 14:00:00 CET 2015, Time: ,Thu Dec 24 14:00:00 CET 2015, Event: ,Afghanistan v Bangladesh, Favorite: ,Afghanistan, 4357678   size:284.7,Price: ,1.61,Bangladesh, 1395947   size:120.89,Price: ,6.8,The Draw, 58805   size:58.53,Price: ,4.2,ok
1.122364051, Sport: ,Basketball, Time: ,Thu Dec 24 16:00:00 CET 2015, Time: ,Thu Dec 24 16:00:00 CET 2015, Event: ,Olympiacos v Aris, Favorite: ,Olympiacos, 278582   size:1237.81,Price: ,1.11,Aris, 281552   size:3.0,Price: ,7.2,ok
1.122351222, Sport: ,Soccer, Time: ,Thu Dec 24 13:00:00 CET 2015, Time: ,Thu Dec 24 13:00:00 CET 2015, Event: ,Kayserispor v Inegolspor, Favorite: ,Kayserispor, 508789   size:314.41,Price: ,1.35,Inegolspor, 1341525   size:21.09,Price: ,10.5,The Draw, 58805   size:2.04,Price: ,5.8,ok
1.122351218, Sport: ,Soccer, Time: ,Thu Dec 24 11:00:00 CET 2015, Time: ,Thu Dec 24 11:00:00 CET 2015, Event: ,Karabukspor v 1461 Trabzon, Favorite: ,Karabukspor, 3292145   size:252.01,Price: ,1.78,1461 Trabzon, 5289229   size:22.3,Price: ,5.3,The Draw, 58805   size:56.02,Price: ,3.9,x
1.122360657, Sport: ,Basketball, Time: ,Thu Dec 24 19:00:00 CET 2015, Time: ,Thu Dec 24 19:00:00 CET 2015, Event: ,Mega Vizura v Buducnost, Favorite: ,Buducnost, 266288   size:11.43,Price: ,1.7,Mega Vizura, 7735104   size:2.55,Price: ,2.26,ok
1.122301276, Sport: ,Ice Hockey, Time: ,Thu Dec 24 15:00:00 CET 2015, Time: ,Thu Dec 24 15:00:00 CET 2015, Event: ,Yugra v Vityaz, Favorite: ,Yugra, 4913649   size:5.01,Price: ,2.38,Vityaz, 2551763   size:50.99,Price: ,2.68,Tie, 60104   size:71.19,Price: ,4.1,x
1.122386740, Sport: ,Tennis, Time: ,Thu Dec 24 10:10:00 CET 2015, Time: ,Thu Dec 24 10:10:00 CET 2015, Event: ,Altug Celikbilek v Adelchi Virgili, Favorite: ,Adelchi Virgili, 8288060   size:30.0,Price: ,1.62,Altug Celikbilek, 8842202   size:30.0,Price: ,1.85,ok
