1.122335690, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Braintree v Welling Utd, Favorite: ,Braintree, 1282860   size:20.08,Price: ,1.64,Welling Utd, 1222695   size:23.22,Price: ,7.0,The Draw, 58805   size:84.05,Price: ,3.9,x
1.122309507, Sport: ,Ice Hockey, Time: ,Mon Dec 28 00:00:00 CET 2015, Time: ,Mon Dec 28 00:00:00 CET 2015, Event: ,Toronto @ NY Islanders, Favorite: ,NY Islanders, 60105   size:277.53,Price: ,2.02,Toronto, 2108073   size:123.81,Price: ,3.5,Tie, 60104   size:113.88,Price: ,4.2,x
1.122340636, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Notts Co v Morecambe, Favorite: ,Notts Co, 486328   size:8.77,Price: ,2.02,Morecambe, 51311   size:29.99,Price: ,4.0,The Draw, 58805   size:80.16,Price: ,3.85,x
1.122309431, Sport: ,Handball, Time: ,Mon Dec 28 20:00:00 CET 2015, Time: ,Mon Dec 28 20:00:00 CET 2015, Event: ,Aalborg v Skanderborg, Favorite: ,Aalborg, 1065783   size:666.0,Price: ,1.04,Skanderborg, 2467576   size:32.89,Price: ,1.81,Draw, 330157   size:5.94,Price: ,1.29,ok
1.122388216, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Orebro v Modo, Favorite: ,Orebro, 247111   size:95.99,Price: ,1.77,MODO, 60824   size:95.99,Price: ,3.5,Tie, 60104   size:95.99,Price: ,4.8,ok
1.122364247, Sport: ,Basketball, Time: ,Mon Dec 28 03:00:00 CET 2015, Time: ,Mon Dec 28 03:00:00 CET 2015, Event: ,Portland @ Sacramento, Favorite: ,Sacramento, 13127   size:134.53,Price: ,1.25,Portland, 13129   size:31.25,Price: ,4.8,x
1.122309435, Sport: ,Handball, Time: ,Mon Dec 28 20:00:00 CET 2015, Time: ,Mon Dec 28 20:00:00 CET 2015, Event: ,SonderjyskE v Midtjylland, Favorite: ,Midtjylland, 4306322   size:666.0,Price: ,1.04,SonderjyskE, 4155763   size:18.23,Price: ,1.71,Draw, 330157   size:222.0,Price: ,1.04,x
1.122309433, Sport: ,Handball, Time: ,Mon Dec 28 20:00:00 CET 2015, Time: ,Mon Dec 28 20:00:00 CET 2015, Event: ,Team Tvis Holstebro v Mors Thy, Favorite: ,Team Tvis Holstebro, 359681   size:666.0,Price: ,1.04,Mors Thy, 5207545   size:666.0,Price: ,1.04,Draw, 330157   size:222.0,Price: ,1.04,x
1.122335688, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Boston Utd v Gainsborough, Favorite: ,Boston Utd, 256306   size:2.55,Price: ,2.06,Gainsborough, 597721   size:7.04,Price: ,3.2,The Draw, 58805   size:5.9,Price: ,3.2,ok
1.122341048, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Yeovil v Oxford Utd, Favorite: ,Oxford Utd, 256171   size:474.86,Price: ,1.75,Yeovil, 132555   size:2.72,Price: ,5.6,The Draw, 58805   size:304.73,Price: ,3.9,x
