1.121224827, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Fuenlabrada v La Roda, Favorite: ,Fuenlabrada, 2250336   size:4.99,Price: ,1.61,La Roda, 4923750   size:13.51,Price: ,6.2,The Draw, 58805   size:15.24,Price: ,4.1
1.121324864, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CF Gava v CE Jupiter, Favorite: ,CE Jupiter, 6797331   size:134.67,Price: ,1.06,CF Gava, 6581259   size:4.99,Price: ,1.08,The Draw, 58805   size:4.99,Price: ,3.1
1.121224825, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CD Mensajero v Amorebieta, Favorite: ,Amorebieta, 5756673   size:2.55,Price: ,2.62,CD Mensajero, 8532028   size:2.55,Price: ,2.82,The Draw, 58805   size:4.11,Price: ,3.15
1.121326383, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CF Pozuelo de Alarcon v CD Puerta Bonita, Favorite: ,CD Puerta Bonita, 9339205   size:19.0,Price: ,1.02,CF Pozuelo de Alarcon, 9301050   size:4.99,Price: ,1.03,The Draw, 58805   size:4.99,Price: ,3.1
1.121322812, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Sp Plaza del Argel (W) v UD Aldaia CF (W), Favorite: ,Sp Plaza del Argel (W), 9492958   size:134.67,Price: ,1.06,UD Aldaia CF (W), 10428939   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121163641, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Holstein Kiel U19 v Viktoria Berlin U19, Favorite: ,Viktoria Berlin U19, 10186673   size:4.99,Price: ,1.38,Holstein Kiel U19, 6685911   size:4.99,Price: ,1.44,The Draw, 58805   size:4.99,Price: ,3.1
1.121322382, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Valencia CF II (W) v CFF Albacete (W), Favorite: ,Valencia CF II (W), 10428924   size:134.67,Price: ,1.06,CFF Albacete (W), 10403077   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121083778, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Villarreal v Celta Vigo, Favorite: ,Villarreal, 28191   size:449.31,Price: ,2.02,Celta Vigo, 66483   size:188.52,Price: ,4.1,The Draw, 58805   size:63.2,Price: ,3.7
1.121318468, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,FKS Stal Mielec U19 v Wisla Krakow U19, Favorite: ,FKS Stal Mielec U19, 7619052   size:134.67,Price: ,1.06,Wisla Krakow U19, 7579700   size:134.67,Price: ,1.06,The Draw, 58805   size:4.99,Price: ,3.1
1.121324754, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CD Vitoria v CD Betono Elgorriaga, Favorite: ,CD Betono Elgorriaga, 10238362   size:134.67,Price: ,1.06,CD Vitoria, 6044983   size:4.99,Price: ,1.08,The Draw, 58805   size:4.99,Price: ,3.1
1.121224815, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Sporting Gijon B v Arandina CF, Favorite: ,Sporting Gijon B, 7602485   size:15.64,Price: ,1.94,Arandina CF, 9320411   size:2.96,Price: ,4.5,The Draw, 58805   size:6.8,Price: ,3.35
1.121325702, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Mallorca B v CE Campos, Favorite: ,Mallorca B, 4144563   size:134.67,Price: ,1.06,CE Campos, 6883541   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121224859, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Getafe B v CD Ebro, Favorite: ,Getafe B, 4943234   size:28.97,Price: ,2.16,CD Ebro, 8041211   size:2.55,Price: ,3.6,The Draw, 58805   size:6.92,Price: ,3.45
1.121224813, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Cacereno v Tudelano, Favorite: ,Cacereno, 4144561   size:10.74,Price: ,2.08,Tudelano, 4923754   size:2.72,Price: ,3.95,The Draw, 58805   size:3.94,Price: ,3.35
1.121324593, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,CD Guadalcacin v Lebrijana, Favorite: ,CD Guadalcacin, 8826856   size:4.99,Price: ,1.34,Lebrijana, 9315717   size:4.99,Price: ,2.04,The Draw, 58805   size:4.99,Price: ,3.1
1.121331038, Sport: ,Tennis, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,T Ito v Muzaev, Favorite: ,Tatsuma Ito, 3374118   size:1745.57,Price: ,1.07,Richard Muzaev, 6751871   size:8.24,Price: ,11.5
