1.121479337, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Lincoln v Tranmere, Favorite: ,Lincoln, 148737   size:9.25,Price: ,2.48,Tranmere, 54004   size:5.99,Price: ,3.15,The Draw, 58805   size:2.45,Price: ,3.15
1.121479335, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Chorley v Northwich, Favorite: ,Chorley, 4231709   size:7.91,Price: ,1.55,Northwich, 18557   size:6.4,Price: ,4.6,The Draw, 58805   size:3.98,Price: ,3.9
1.121481645, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Nantwich Town v Stourbridge, Favorite: ,Nantwich Town, 1433861   size:7.21,Price: ,1.98,Stourbridge, 3491515   size:5.91,Price: ,2.82,The Draw, 58805   size:2.78,Price: ,3.75
1.121479339, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,AFC Rushden & Diamonds v Barwell, Favorite: ,AFC Rushden & Diamonds, 10296977   size:2.51,Price: ,2.5,Barwell, 4597907   size:3.36,Price: ,2.66,The Draw, 58805   size:12.99,Price: ,2.96
1.121481700, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Buxton v Ramsbottom Utd, Favorite: ,Buxton, 2662204   size:8.96,Price: ,1.35,Ramsbottom Utd, 7885854   size:6.76,Price: ,5.3,The Draw, 58805   size:3.73,Price: ,6.0
1.121480940, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Needham Market FC v Billericay Town, Favorite: ,Billericay Town, 1034114   size:2.66,Price: ,2.38,Needham Market FC, 7804115   size:2.38,Price: ,2.66,The Draw, 58805   size:2.12,Price: ,3.75
1.121480995, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Harrow v Farnborough, Favorite: ,Harrow, 8944009   size:10.05,Price: ,1.73,Farnborough, 256188   size:2.68,Price: ,3.8,The Draw, 58805   size:17.99,Price: ,3.55
1.121479343, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Cheltenham v Havant and W, Favorite: ,Cheltenham, 18559   size:221.91,Price: ,1.37,Havant and W, 5114005   size:24.11,Price: ,6.8,The Draw, 58805   size:36.83,Price: ,4.9
1.120878564, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Everton v Norwich, Favorite: ,Everton, 56343   size:1515.73,Price: ,1.69,Norwich, 47998   size:326.34,Price: ,5.5,The Draw, 58805   size:791.64,Price: ,4.3
1.121363563, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Basingstoke v Whitehawk, Favorite: ,Whitehawk, 4597875   size:31.37,Price: ,2.04,Basingstoke, 2159190   size:5.68,Price: ,3.95,The Draw, 58805   size:142.16,Price: ,3.75
1.121481756, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Spalding United FC v Shaw Lane Aquaforce FC, Favorite: ,Spalding United FC, 9131073   size:10.97,Price: ,1.17,Shaw Lane Aquaforce FC, 10459367   size:10.98,Price: ,1.17,The Draw, 58805   size:5.0,Price: ,2.9
1.120879079, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Sheff Wed v Arsenal, Favorite: ,Arsenal, 1096   size:11255.74,Price: ,1.52,Sheff Wed, 47992   size:1422.78,Price: ,7.4,The Draw, 58805   size:4638.57,Price: ,4.7
1.121481977, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Mangotsfield United v Evesham Utd, Favorite: ,Mangotsfield United, 8084874   size:10.97,Price: ,1.17,Evesham Utd, 2608899   size:10.98,Price: ,1.17,The Draw, 58805   size:8.32,Price: ,2.88
1.121480103, Sport: ,Tennis, Time: ,Tue Oct 27 21:00:00 CET 2015, Time: ,Tue Oct 27 21:00:00 CET 2015, Event: ,Dolgopolov v Lajovic, Favorite: ,Alexandr Dolgopolov, 4720522   size:290.99,Price: ,1.52,Dusan Lajovic, 4688724   size:65.43,Price: ,2.88
1.121485207, Sport: ,Tennis, Time: ,Tue Oct 27 22:15:00 CET 2015, Time: ,Tue Oct 27 22:15:00 CET 2015, Event: ,Lorenzi/Romboli v Gomez Diaz/Hank, Favorite: ,Lorenzi/Romboli, 10459507   size:2.55,Price: ,1.12,Gomez Diaz/Hank, 10459508   size:5.02,Price: ,5.3
1.121485219, Sport: ,Tennis, Time: ,Tue Oct 27 22:15:00 CET 2015, Time: ,Tue Oct 27 22:15:00 CET 2015, Event: ,Lapentti/Moser v O'Brien/Roelofse, Favorite: ,O'Brien/Roelofse, 9545182   size:3.0,Price: ,1.33,Lapentti/Moser, 10459511   size:4.63,Price: ,2.94
