1.119590048, Sport: ,Soccer, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,SC Wiedenbruck v TSV Victoria Clarholz, Favorite: ,The Draw, 58805   size:19.38,Price: ,1.02,x
1.119539765, Sport: ,Soccer, Time: ,Tue Jul 21 17:55:00 CEST 2015, Time: ,Tue Jul 21 17:55:00 CEST 2015, Event: ,Elfsborg v Randers, Favorite: ,Elfsborg, 30684   size:5.94,Price: ,1.86,The Draw, 58805   size:91.69,Price: ,3.65,Randers, 342868   size:57.7,Price: ,4.9,x
1.119574117, Sport: ,Tennis, Time: ,Tue Jul 21 18:45:00 CEST 2015, Time: ,Tue Jul 21 18:45:00 CEST 2015, Event: ,Authom v Crepaldi, Favorite: ,Maxime Authom, 5908914   size:2.55,Price: ,1.44,Erik Crepaldi, 7839753   size:5.98,Price: ,3.05,x
1.119602493, Sport: ,Tennis, Time: ,Tue Jul 21 17:00:00 CEST 2015, Time: ,Tue Jul 21 17:00:00 CEST 2015, Event: ,Kryvonos v Uchiyama, Favorite: ,Yasutaka Uchiyama, 5858048   size:449.29,Price: ,1.18,Nikita Kryvonos, 8395347   size:3.86,Price: ,4.9,ok
1.119575322, Sport: ,Tennis, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,S Napolitano v Guez, Favorite: ,Stefano Napolitano, 8257870   size:22.95,Price: ,1.79,David Guez, 2263683   size:2.55,Price: ,2.12,x
1.119603069, Sport: ,Tennis, Time: ,Tue Jul 21 19:15:00 CEST 2015, Time: ,Tue Jul 21 19:15:00 CEST 2015, Event: ,Fabbiano v Haider-Maurer, Favorite: ,Andreas Haider-Maurer, 8260128   size:485.0,Price: ,1.65,Thomas Fabbiano, 3019240   size:209.83,Price: ,2.46,ok
1.119500468, Sport: ,Soccer, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,Burghausen v Buchbach, Favorite: ,Burghausen, 196544   size:2.21,Price: ,2.26,Buchbach, 6516918   size:20.41,Price: ,3.25,The Draw, 58805   size:2.78,Price: ,3.55,ok
1.119603989, Sport: ,Tennis, Time: ,Tue Jul 21 17:15:00 CEST 2015, Time: ,Tue Jul 21 17:15:00 CEST 2015, Event: ,Rodriguez v Patrascu, Favorite: ,Victoria Rodriguez, 7082844   size:2.55,Price: ,1.16,Maria Patrascu, 8750200   size:18.29,Price: ,5.2,ok
1.119588779, Sport: ,Soccer, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,Heerenveen v Almere City, Favorite: ,Heerenveen, 3630179   size:79.42,Price: ,1.63,The Draw, 58805   size:8.69,Price: ,4.3,Almere City, 4835124   size:7.19,Price: ,5.3,x
1.119603739, Sport: ,Tennis, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,Ito v Ebden, Favorite: ,Matthew Ebden, 4423910   size:745.3,Price: ,1.59,Tatsuma Ito, 3374118   size:2.47,Price: ,2.6,x
1.119588426, Sport: ,Soccer, Time: ,Tue Jul 21 18:15:00 CEST 2015, Time: ,Tue Jul 21 18:15:00 CEST 2015, Event: ,Eintracht Frankfurt v Leeds, Favorite: ,Eintracht Frankfurt, 347774   size:2.55,Price: ,1.65,The Draw, 58805   size:23.36,Price: ,4.1,Leeds, 48317   size:12.02,Price: ,5.7,ok
1.119586363, Sport: ,Tennis, Time: ,Tue Jul 21 16:00:00 CEST 2015, Time: ,Tue Jul 21 16:00:00 CEST 2015, Event: ,Sillanpaa v Vasilenko, Favorite: ,Alexander Vasilenko, 7658528   size:223.21,Price: ,1.84,Henrik Sillanpaa, 8679655   size:2.98,Price: ,2.16,ok
1.119589199, Sport: ,Soccer, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,Mallorca v Hannover, Favorite: ,Hannover, 197307   size:343.25,Price: ,1.49,The Draw, 58805   size:11.96,Price: ,4.7,Mallorca, 10542   size:10.88,Price: ,7.4,x
1.119591303, Sport: ,Tennis, Time: ,Tue Jul 21 17:15:00 CEST 2015, Time: ,Tue Jul 21 17:15:00 CEST 2015, Event: ,Coin v Webley Smith, Favorite: ,Julie Coin, 3289144   size:4.41,Price: ,1.46,Emily Webley Smith, 5595220   size:40.15,Price: ,3.1,ok
1.119575318, Sport: ,Tennis, Time: ,Tue Jul 21 12:45:00 CEST 2015, Time: ,Tue Jul 21 12:45:00 CEST 2015, Event: ,Wu v Mertens, Favorite: ,Di Wu, 4596953   size:65.53,Price: ,1.71,Yannick Mertens, 4521608   size:29.21,Price: ,2.32,x
1.119591304, Sport: ,Tennis, Time: ,Tue Jul 21 16:00:00 CEST 2015, Time: ,Tue Jul 21 16:00:00 CEST 2015, Event: ,Hsu v Neffa De Los Rios, Favorite: ,Chieh Yu Hsu, 6596290   size:5.11,Price: ,1.12,Ana Paula Neffa De Los Rios, 9069693   size:44.77,Price: ,4.7,ok
1.119576245, Sport: ,Tennis, Time: ,Tue Jul 21 16:45:00 CEST 2015, Time: ,Tue Jul 21 16:45:00 CEST 2015, Event: ,Vanni v Ramos-Vinolas, Favorite: ,Albert Ramos-Vinolas, 8621877   size:16.72,Price: ,1.29,Luca Vanni, 8681900   size:23.88,Price: ,4.1,ok
1.119582606, Sport: ,Tennis, Time: ,Tue Jul 21 18:45:00 CEST 2015, Time: ,Tue Jul 21 18:45:00 CEST 2015, Event: ,Jasika v Rubin, Favorite: ,Omar Jasika, 7335917   size:4.04,Price: ,1.74,Noah Rubin, 7593248   size:4.91,Price: ,2.12,x
1.119356347, Sport: ,Basketball, Time: ,Tue Jul 21 12:30:00 CEST 2015, Time: ,Tue Jul 21 12:30:00 CEST 2015, Event: ,France U19 (W) v Mali U19 (W), Favorite: ,France U19 (W), 7433579   size:95455.7,Price: ,1.01,Mali U19 (W), 7433784   size:47.19,Price: ,11.0,ok
1.119584747, Sport: ,Tennis, Time: ,Tue Jul 21 15:30:00 CEST 2015, Time: ,Tue Jul 21 15:30:00 CEST 2015, Event: ,Buyukakcay v Hantuchova, Favorite: ,Daniela Hantuchova, 2251579   size:106.53,Price: ,1.44,Cagla Buyukakcay, 3051579   size:350.68,Price: ,3.05,ok
1.119575392, Sport: ,Tennis, Time: ,Tue Jul 21 13:45:00 CEST 2015, Time: ,Tue Jul 21 13:45:00 CEST 2015, Event: ,Gombos v de Bakker, Favorite: ,Thiemo De Bakker, 8720949   size:4.24,Price: ,1.52,Norbert Gombos, 8173023   size:8.53,Price: ,2.66,ok
1.119500352, Sport: ,Soccer, Time: ,Tue Jul 21 18:40:00 CEST 2015, Time: ,Tue Jul 21 18:40:00 CEST 2015, Event: ,Denmark U19 (W) v Israel U19 (W), Favorite: ,Israel U19 (W), 9967358   size:11.05,Price: ,1.08,Denmark U19 (W), 5445806   size:2.0,Price: ,1.19,The Draw, 58805   size:2.71,Price: ,3.05,x
1.119585435, Sport: ,Tennis, Time: ,Tue Jul 21 12:30:00 CEST 2015, Time: ,Tue Jul 21 12:30:00 CEST 2015, Event: ,Allertova v Witthoeft, Favorite: ,Carina Witthoeft, 5408907   size:6.81,Price: ,1.22,Denisa Allertova, 8679183   size:127.51,Price: ,1.55,x
1.119585713, Sport: ,Tennis, Time: ,Tue Jul 21 16:00:00 CEST 2015, Time: ,Tue Jul 21 16:00:00 CEST 2015, Event: ,Ivanov v Machado, Favorite: ,Rui Machado, 2969565   size:7.58,Price: ,1.28,Vladimir Ivanov, 7658399   size:4.19,Price: ,3.85,x
1.119591317, Sport: ,Tennis, Time: ,Tue Jul 21 16:00:00 CEST 2015, Time: ,Tue Jul 21 16:00:00 CEST 2015, Event: ,Sanders v Moore, Favorite: ,Storm Sanders, 7594131   size:3.25,Price: ,1.54,Jessica Moore, 2256458   size:13.04,Price: ,2.56,x
1.119589765, Sport: ,Soccer, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,PSV v FC Eindhoven, Favorite: ,PSV, 48451   size:76.12,Price: ,1.27,The Draw, 58805   size:7.61,Price: ,5.8,FC Eindhoven, 503439   size:2.0,Price: ,10.0,ok
