1.121363471, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,Pelicans v TPS, Favorite: ,TPS, 66803   size:431.0,Price: ,2.6,Pelicans, 66425   size:54.35,Price: ,2.68,Tie, 60104   size:22.0,Price: ,3.95,x
1.121386933, Sport: ,Soccer, Time: ,Wed Oct 28 18:00:00 CET 2015, Time: ,Wed Oct 28 18:00:00 CET 2015, Event: ,Haladas v Videoton, Favorite: ,Haladas, 505951   size:14.62,Price: ,2.58,Videoton, 427649   size:10.95,Price: ,2.98,The Draw, 58805   size:5.0,Price: ,3.3,x
1.121477089, Sport: ,Tennis, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,Fichman v S Peer, Favorite: ,Sharon Fichman, 3218660   size:14.36,Price: ,1.71,Shahar Peer, 2248472   size:31.84,Price: ,2.24,x
1.121492147, Sport: ,Basketball, Time: ,Wed Oct 28 18:00:00 CET 2015, Time: ,Wed Oct 28 18:00:00 CET 2015, Event: ,Uniqa Sopron (W) v CB Avenida (W), Favorite: ,CB Avenida (W), 10411228   size:2.0,Price: ,1.15,Uniqa Sopron (W), 6101364   size:2.4,Price: ,2.08,x
1.121381516, Sport: ,Soccer, Time: ,Wed Oct 28 16:00:00 CET 2015, Time: ,Wed Oct 28 16:00:00 CET 2015, Event: ,Volyn v MFC Mykolaiv, Favorite: ,Volyn, 4115366   size:47.11,Price: ,1.24,MFC Mykolaiv, 7649755   size:3.32,Price: ,12.5,The Draw, 58805   size:9.1,Price: ,6.6,ok
1.121378116, Sport: ,Soccer, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,Kayserispor v Rizespor, Favorite: ,Kayserispor, 508789   size:314.94,Price: ,2.34,Rizespor, 113643   size:53.68,Price: ,3.45,The Draw, 58805   size:474.04,Price: ,3.4,x
1.121485298, Sport: ,Basketball, Time: ,Wed Oct 28 18:00:00 CET 2015, Time: ,Wed Oct 28 18:00:00 CET 2015, Event: ,Prostejov v Hradec, Favorite: ,Prostejov, 5866240   size:2.55,Price: ,1.07,Hradec, 7758594   size:5.86,Price: ,1.29,ok
1.121497391, Sport: ,Soccer, Time: ,Wed Oct 28 18:00:00 CET 2015, Time: ,Wed Oct 28 18:00:00 CET 2015, Event: ,Maardu v JK Tallinna Kalev II, Favorite: ,Maardu, 5869635   size:5.86,Price: ,1.11,JK Tallinna Kalev II, 7331576   size:4.83,Price: ,5.8,The Draw, 58805   size:5.82,Price: ,2.88,x
1.121385098, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,Severstal v Vityaz, Favorite: ,Severstal, 2560282   size:68.0,Price: ,2.02,Vityaz, 2551763   size:6.47,Price: ,3.3,Tie, 60104   size:23.14,Price: ,4.4,x
1.121363540, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,Assat v JYP, Favorite: ,Assat, 66429   size:99.99,Price: ,2.32,JYP, 66423   size:53.18,Price: ,2.9,Tie, 60104   size:105.0,Price: ,3.8,x
1.121363549, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,Tappara v Blues, Favorite: ,Tappara, 66427   size:15.93,Price: ,1.58,Blues, 66804   size:61.0,Price: ,5.2,Tie, 60104   size:6.21,Price: ,5.1,ok
1.121511597, Sport: ,Basketball, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,KTP Basket v Rosa Radom, Favorite: ,KTP Basket, 7976086   size:3.87,Price: ,1.07,Rosa Radom, 6703618   size:2.55,Price: ,1.34,x
1.121511479, Sport: ,Tennis, Time: ,Wed Oct 28 15:00:00 CET 2015, Time: ,Wed Oct 28 15:00:00 CET 2015, Event: ,Paszek v Beck, Favorite: ,Annika Beck, 4174996   size:29.58,Price: ,1.3,Tamira Paszek, 2263715   size:8.36,Price: ,3.95,x
1.121380887, Sport: ,Soccer, Time: ,Wed Oct 28 18:30:00 CET 2015, Time: ,Wed Oct 28 18:30:00 CET 2015, Event: ,WSG Wattens v Mattersburg, Favorite: ,Mattersburg, 345649   size:3.36,Price: ,1.65,WSG Wattens, 3258153   size:8.83,Price: ,5.1,The Draw, 58805   size:6.04,Price: ,3.9,ok
1.121511593, Sport: ,Basketball, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,Kalev Cramo v Maccabi R Lez, Favorite: ,Maccabi R Lez, 7758969   size:2.55,Price: ,1.79,Kalev Cramo, 6007950   size:30.83,Price: ,2.24,ok
1.121514587, Sport: ,Tennis, Time: ,Wed Oct 28 18:00:00 CET 2015, Time: ,Wed Oct 28 18:00:00 CET 2015, Event: ,Hank v D Novikov, Favorite: ,Dennis Novikov, 6217982   size:39.51,Price: ,1.14,Tigre Hank, 8310643   size:9.92,Price: ,6.8,ok
1.121379417, Sport: ,Soccer, Time: ,Wed Oct 28 18:30:00 CET 2015, Time: ,Wed Oct 28 18:30:00 CET 2015, Event: ,HBS v Kozakken Boys, Favorite: ,Kozakken Boys, 2560602   size:5.53,Price: ,1.81,HBS, 5819744   size:2.96,Price: ,3.9,The Draw, 58805   size:15.38,Price: ,3.6,ok
1.121386878, Sport: ,Soccer, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,Honved v Kozarmisleny, Favorite: ,Honved, 865345   size:4.03,Price: ,1.27,Kozarmisleny, 4182840   size:4.5,Price: ,9.2,The Draw, 58805   size:4.08,Price: ,5.0,x
1.121499917, Sport: ,Basketball, Time: ,Wed Oct 28 18:00:00 CET 2015, Time: ,Wed Oct 28 18:00:00 CET 2015, Event: ,Prievidza v Svit, Favorite: ,Prievidza, 6719644   size:28.29,Price: ,1.04,Svit, 6719642   size:5.86,Price: ,1.2,ok
