1.119073458, Sport: ,Handball, Time: ,Wed Jun 10 18:45:00 CEST 2015, Time: ,Wed Jun 10 18:45:00 CEST 2015, Event: ,Israel v Iceland, Favorite: ,Iceland, 624111   size:19.67,Price: ,1.04,Israel, 1165296   size:69.13,Price: ,13.0,Draw, 330157   size:69.03,Price: ,16.0,okok
1.119073018, Sport: ,Handball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Netherlands v Croatia, Favorite: ,Croatia, 620377   size:19.67,Price: ,1.03,Netherlands, 626085   size:69.11,Price: ,14.0,Draw, 330157   size:68.99,Price: ,18.0,okok
1.119073213, Sport: ,Handball, Time: ,Wed Jun 10 17:00:00 CEST 2015, Time: ,Wed Jun 10 17:00:00 CEST 2015, Event: ,Slovakia v Slovenia, Favorite: ,Slovenia, 620380   size:829.08,Price: ,1.16,Slovakia, 624132   size:44.32,Price: ,6.8,Draw, 330157   size:10.43,Price: ,14.5,okok
1.119073015, Sport: ,Handball, Time: ,Wed Jun 10 18:00:00 CEST 2015, Time: ,Wed Jun 10 18:00:00 CEST 2015, Event: ,Turkey v Norway, Favorite: ,Norway, 602690   size:737.11,Price: ,1.02,Turkey, 624142   size:69.04,Price: ,13.0,Draw, 330157   size:68.96,Price: ,16.0,okok
1.119053565, Sport: ,Baseball, Time: ,Thu Jun 11 04:05:00 CEST 2015, Time: ,Thu Jun 11 04:05:00 CEST 2015, Event: ,TEX @ OAK, Favorite: ,Oakland (J Hahn), 9381400   size:109.99,Price: ,1.71,Texas (Y Gallardo), 9378796   size:538.0,Price: ,2.3,okok
1.119073818, Sport: ,Handball, Time: ,Wed Jun 10 19:00:00 CEST 2015, Time: ,Wed Jun 10 19:00:00 CEST 2015, Event: ,Finland v Germany, Favorite: ,Germany, 620386   size:1200.78,Price: ,1.03,Draw, 330157   size:2.64,Price: ,27.0,okok
1.119124468, Sport: ,Baseball, Time: ,Wed Jun 10 18:37:00 CEST 2015, Time: ,Wed Jun 10 18:37:00 CEST 2015, Event: ,MIA @ TOR, Favorite: ,Toronto (S Copeland), 9587919   size:222.8,Price: ,1.68,Miami (T Koehler), 6720895   size:101.0,Price: ,2.38,okok
1.119124666, Sport: ,Basketball, Time: ,Thu Jun 11 03:00:00 CEST 2015, Time: ,Thu Jun 11 03:00:00 CEST 2015, Event: ,La Union v San Martin, Favorite: ,La Union, 6343998   size:125.75,Price: ,1.41,San Martin, 8861781   size:25.15,Price: ,3.05,okok
1.119073778, Sport: ,Handball, Time: ,Wed Jun 10 21:15:00 CEST 2015, Time: ,Wed Jun 10 21:15:00 CEST 2015, Event: ,Portugal v Hungary, Favorite: ,Portugal, 625858   size:7.76,Price: ,1.43,Hungary, 602691   size:14.79,Price: ,3.45,Draw, 330157   size:12.51,Price: ,9.8,xx
1.119121138, Sport: ,Tennis, Time: ,Wed Jun 10 18:00:00 CEST 2015, Time: ,Wed Jun 10 18:00:00 CEST 2015, Event: ,Fratangelo v D Novikov, Favorite: ,Bjorn Fratangelo, 7593723   size:26.53,Price: ,1.34,Dennis Novikov, 6217982   size:2.1,Price: ,3.8,ok
