1.121451970, Sport: ,Soccer, Time: ,Mon Nov 02 20:00:00 CET 2015, Time: ,Mon Nov 02 20:00:00 CET 2015, Event: ,Jong PSV v Telstar, Favorite: ,Telstar, 67163   size:69.96,Price: ,2.32,Jong PSV, 3348592   size:29.97,Price: ,3.2,The Draw, 58805   size:139.97,Price: ,3.85,x
1.121607558, Sport: ,Basketball, Time: ,Mon Nov 02 20:45:00 CET 2015, Time: ,Mon Nov 02 20:45:00 CET 2015, Event: ,Bologna v Juve Caserta, Favorite: ,Bologna, 978665   size:7.28,Price: ,1.65,Juve Caserta, 6697870   size:55.0,Price: ,2.36,x
1.121621292, Sport: ,Tennis, Time: ,Tue Nov 03 00:15:00 CET 2015, Time: ,Tue Nov 03 00:15:00 CET 2015, Event: ,R Quiroz v M Linzer, Favorite: ,Michael Linzer, 7216260   size:5.89,Price: ,1.2,Roberto Quiroz, 7660786   size:16.68,Price: ,4.6,ok
1.121613959, Sport: ,Soccer, Time: ,Mon Nov 02 20:30:00 CET 2015, Time: ,Mon Nov 02 20:30:00 CET 2015, Event: ,Hearts U20 v Falkirk U20, Favorite: ,Hearts U20, 8981683   size:2.54,Price: ,2.18,Falkirk U20, 9221282   size:29.35,Price: ,3.05,The Draw, 58805   size:2.44,Price: ,3.65,x
1.121621296, Sport: ,Tennis, Time: ,Mon Nov 02 18:34:00 CET 2015, Time: ,Mon Nov 02 18:34:00 CET 2015, Event: ,Salisbury v N Rubin, Favorite: ,Noah Rubin, 7593248   size:883.81,Price: ,1.13,Joe Salisbury, 8284798   size:73.59,Price: ,7.6,ok
1.121519843, Sport: ,Soccer, Time: ,Mon Nov 02 20:00:00 CET 2015, Time: ,Mon Nov 02 20:00:00 CET 2015, Event: ,Cardiff U21 v Millwall U21, Favorite: ,Cardiff U21, 6820449   size:138.52,Price: ,1.06,Millwall U21, 6751920   size:138.52,Price: ,1.06,The Draw, 58805   size:2.79,Price: ,1.25,x
1.121618563, Sport: ,Basketball, Time: ,Tue Nov 03 01:30:00 CET 2015, Time: ,Tue Nov 03 01:30:00 CET 2015, Event: ,Libertad v Regatas, Favorite: ,Libertad, 6719116   size:12.85,Price: ,1.44,Regatas, 6718792   size:2.54,Price: ,2.94,ok
1.121618564, Sport: ,Basketball, Time: ,Tue Nov 03 01:30:00 CET 2015, Time: ,Tue Nov 03 01:30:00 CET 2015, Event: ,Quilmes v Lanus, Favorite: ,Quilmes, 7753472   size:9.67,Price: ,1.03,Lanus, 6719117   size:9.67,Price: ,1.03,x
1.121612467, Sport: ,Soccer, Time: ,Mon Nov 02 20:30:00 CET 2015, Time: ,Mon Nov 02 20:30:00 CET 2015, Event: ,Lincoln Red Imps v Lynx FC, Favorite: ,Lincoln Red Imps, 8649329   size:22.91,Price: ,1.11,Lynx FC, 8916861   size:2.79,Price: ,7.0,The Draw, 58805   size:25.74,Price: ,2.98,ok
1.121614015, Sport: ,Soccer, Time: ,Mon Nov 02 21:00:00 CET 2015, Time: ,Mon Nov 02 21:00:00 CET 2015, Event: ,E Stirling U20 v Stirling U20, Favorite: ,Stirling U20, 9243449   size:2.54,Price: ,1.15,E Stirling U20, 9180811   size:5.0,Price: ,2.18,The Draw, 58805   size:55.88,Price: ,3.0,ok
1.121611782, Sport: ,Soccer, Time: ,Mon Nov 02 19:00:00 CET 2015, Time: ,Mon Nov 02 19:00:00 CET 2015, Event: ,San Martin de Burzaco v CD Cambaceres, Favorite: ,San Martin de Burzaco, 9518488   size:265.0,Price: ,1.15,CD Cambaceres, 10018875   size:58.76,Price: ,5.6,The Draw, 58805   size:25.18,Price: ,3.5,ok
1.121558627, Sport: ,Volleyball, Time: ,Mon Nov 02 20:30:00 CET 2015, Time: ,Mon Nov 02 20:30:00 CET 2015, Event: ,Indykpol Azs Olsztyn v Luczniczka Bydgoszcz, Favorite: ,Luczniczka Bydgoszcz, 10442829   size:179.48,Price: ,1.77,Indykpol AZS Olsztyn, 9284284   size:2.54,Price: ,2.1,x
1.121451549, Sport: ,Soccer, Time: ,Mon Nov 02 18:30:00 CET 2015, Time: ,Mon Nov 02 18:30:00 CET 2015, Event: ,NEC Nijmegen (Res) v Fortuna Sittard (Res), Favorite: ,NEC Nijmegen (Res), 10138915   size:23.61,Price: ,1.01,Fortuna Sittard (Res), 10138914   size:58.94,Price: ,8.8,The Draw, 58805   size:68.91,Price: ,5.0,x
1.121451384, Sport: ,Soccer, Time: ,Mon Nov 02 18:30:00 CET 2015, Time: ,Mon Nov 02 18:30:00 CET 2015, Event: ,Jong Vitesse AGOVV v Jong AZ Alkmaar, Favorite: ,Jong Vitesse AGOVV, 6358859   size:2.79,Price: ,1.1,Jong AZ Alkmaar, 5320893   size:15.78,Price: ,20.0,The Draw, 58805   size:27.78,Price: ,10.0,ok
1.121607566, Sport: ,Basketball, Time: ,Mon Nov 02 19:05:00 CET 2015, Time: ,Mon Nov 02 19:05:00 CET 2015, Event: ,Hapoel Tel Aviv v Ironi Nahariya, Favorite: ,Hapoel Tel Aviv, 7758962   size:139.92,Price: ,1.03,Ironi Nahariya, 8894680   size:139.92,Price: ,1.03,x
1.121608136, Sport: ,Soccer, Time: ,Mon Nov 02 20:45:00 CET 2015, Time: ,Mon Nov 02 20:45:00 CET 2015, Event: ,Limerick v Finn Harps, Favorite: ,Limerick, 385757   size:661.73,Price: ,1.51,Finn Harps, 385761   size:128.97,Price: ,7.6,The Draw, 58805   size:264.73,Price: ,4.6,ok
1.121452192, Sport: ,Soccer, Time: ,Mon Nov 02 19:30:00 CET 2015, Time: ,Mon Nov 02 19:30:00 CET 2015, Event: ,Dinamo Bucharest v Viitorul Constanta, Favorite: ,Dinamo Bucharest, 46937   size:94.9,Price: ,2.34,Viitorul Constanta, 5431165   size:89.67,Price: ,3.65,The Draw, 58805   size:787.73,Price: ,3.3,x
1.121621220, Sport: ,Tennis, Time: ,Mon Nov 02 18:34:00 CET 2015, Time: ,Mon Nov 02 18:34:00 CET 2015, Event: ,D O'Brien v Falla, Favorite: ,Alejandro Falla, 2284300   size:5090.91,Price: ,1.02,Dean O'Brien, 8284805   size:12.17,Price: ,30.0,ok
1.121603110, Sport: ,Tennis, Time: ,Mon Nov 02 18:47:00 CET 2015, Time: ,Mon Nov 02 18:47:00 CET 2015, Event: ,L Mayer v Klizan, Favorite: ,Leonardo Mayer, 3186303   size:2974.24,Price: ,1.37,Martin Klizan, 2496035   size:74.4,Price: ,3.65,ok
1.121590369, Sport: ,Soccer, Time: ,Mon Nov 02 20:45:00 CET 2015, Time: ,Mon Nov 02 20:45:00 CET 2015, Event: ,Sutton Utd v Oxford City, Favorite: ,Oxford City, 3396707   size:20.73,Price: ,2.3,Sutton Utd, 1034133   size:7.65,Price: ,3.25,The Draw, 58805   size:9.36,Price: ,3.75,x
1.121618692, Sport: ,Tennis, Time: ,Mon Nov 02 22:00:00 CET 2015, Time: ,Mon Nov 02 22:00:00 CET 2015, Event: ,Carballes Baen/Vervoort v Arguello/March, Favorite: ,Carballes Baen/Vervoort, 10483995   size:5.89,Price: ,1.14,Arguello/March, 10484941   size:11.78,Price: ,3.2,ok
1.121611701, Sport: ,Tennis, Time: ,Mon Nov 02 19:24:00 CET 2015, Time: ,Mon Nov 02 19:24:00 CET 2015, Event: ,R Olivo v Bagnis, Favorite: ,Facundo Bagnis, 4520808   size:234.92,Price: ,1.56,Renzo Olivo, 4822931   size:2.79,Price: ,2.68,ok
1.121611700, Sport: ,Tennis, Time: ,Tue Nov 03 02:00:00 CET 2015, Time: ,Tue Nov 03 02:00:00 CET 2015, Event: ,G Escobar v Kicker, Favorite: ,Nicolas Kicker, 8326744   size:5.0,Price: ,1.91,Gonzalo Escobar, 7660810   size:38.57,Price: ,2.04,ok
