1.119099973, Sport: ,Tennis, Time: ,Sun Jun 07 11:00:00 CEST 2015, Time: ,Sun Jun 07 11:00:00 CEST 2015, Event: ,Torebko v Dutra Silva, Favorite: ,Rogerio Dutra Silva, 2301068   size:2.55,Price: ,1.51,Peter Torebko, 5829498   size:2.23,Price: ,2.24,okok
1.119104787, Sport: ,Tennis, Time: ,Sun Jun 07 15:45:00 CEST 2015, Time: ,Sun Jun 07 15:45:00 CEST 2015, Event: ,Halys v Beretta, Favorite: ,Quentin Halys, 7287690   size:3.16,Price: ,1.47,Duilio Beretta, 8326761   size:70.59,Price: ,2.42,okok
1.119099336, Sport: ,Basketball, Time: ,Sun Jun 07 18:30:00 CEST 2015, Time: ,Sun Jun 07 18:30:00 CEST 2015, Event: ,Olympiacos v Panathinaikos, Favorite: ,Olympiacos, 278582   size:3.75,Price: ,1.24,Panathinaikos, 266270   size:7.63,Price: ,4.7,okok
1.119103854, Sport: ,Tennis, Time: ,Sun Jun 07 14:30:00 CEST 2015, Time: ,Sun Jun 07 14:30:00 CEST 2015, Event: ,Mar Sanchez v Hogenkamp, Favorite: ,Richel Hogenkamp, 6440521   size:123.41,Price: ,1.61,Maria Sanchez, 5374654   size:2.0,Price: ,2.5,xx
1.119053135, Sport: ,Baseball, Time: ,Sun Jun 07 19:07:00 CEST 2015, Time: ,Sun Jun 07 19:07:00 CEST 2015, Event: ,HOU @ TOR, Favorite: ,Toronto (R Dickey), 7172150   size:76.23,Price: ,1.91,Houston (C McHugh), 8480882   size:2.24,Price: ,2.08,ok
1.119105471, Sport: ,Tennis, Time: ,Sun Jun 07 15:00:00 CEST 2015, Time: ,Sun Jun 07 15:00:00 CEST 2015, Event: ,C Liang v Vickery, Favorite: ,Sachia Vickery, 6596286   size:62.16,Price: ,1.16,Chen Liang, 8715745   size:30.07,Price: ,5.7,ok
1.119105034, Sport: ,Tennis, Time: ,Sun Jun 07 12:45:00 CEST 2015, Time: ,Sun Jun 07 12:45:00 CEST 2015, Event: ,M Pavic v Przysiezny, Favorite: ,Michal Przysiezny, 2475803   size:2.55,Price: ,1.51,Mate Pavic, 5704638   size:2.55,Price: ,2.76,xx
1.119105353, Sport: ,Tennis, Time: ,Sun Jun 07 12:45:00 CEST 2015, Time: ,Sun Jun 07 12:45:00 CEST 2015, Event: ,Monroe v Qureshi, Favorite: ,Nicholas Monroe, 3509358   size:5.84,Price: ,1.93,Aisam-Ul-Haq Qureshi, 8259777   size:13.73,Price: ,2.0,xx
1.119092900, Sport: ,Tennis, Time: ,Sun Jun 07 13:00:00 CEST 2015, Time: ,Sun Jun 07 13:00:00 CEST 2015, Event: ,K Bondarenko v Savchuk, Favorite: ,Kateryna Bondarenko, 2291864   size:25.96,Price: ,1.27,Olga Savchuk, 2263617   size:8.32,Price: ,4.3,xx
1.119104794, Sport: ,Tennis, Time: ,Sun Jun 07 12:00:00 CEST 2015, Time: ,Sun Jun 07 12:00:00 CEST 2015, Event: ,Yaf Wang v Kania, Favorite: ,Yafan Wang, 7695509   size:11.5,Price: ,1.61,Paula Kania, 7083220   size:4.67,Price: ,2.36,x
1.119101328, Sport: ,Tennis, Time: ,Sun Jun 07 11:45:00 CEST 2015, Time: ,Sun Jun 07 11:45:00 CEST 2015, Event: ,T Monteiro v Uzhylovsky, Favorite: ,Thiago Monteiro, 8326656   size:3.84,Price: ,1.21,Vladimir Uzhylovsky, 8960914   size:24.55,Price: ,1.8,ok
