1.121493553, Sport: ,American Football, Time: ,Sat Oct 31 20:30:00 CET 2015, Time: ,Sat Oct 31 20:30:00 CET 2015, Event: ,Maryland @ Iowa, Favorite: ,Iowa, 673399   size:350.4,Price: ,1.1,Maryland, 484739   size:70.77,Price: ,7.8,ok
1.121603546, Sport: ,Tennis, Time: ,Sat Oct 31 15:15:00 CET 2015, Time: ,Sat Oct 31 15:15:00 CET 2015, Event: ,Gabashvili v Cervantes, Favorite: ,Teymuraz Gabashvili, 4877292   size:182.71,Price: ,1.27,Inigo Cervantes, 6297238   size:12.0,Price: ,3.45,ok
1.121603542, Sport: ,Tennis, Time: ,Sat Oct 31 11:45:00 CET 2015, Time: ,Sat Oct 31 11:45:00 CET 2015, Event: ,Roger-Vasselin v Stakhovsky, Favorite: ,Edouard Roger-Vasselin, 8259187   size:2.55,Price: ,1.73,Sergiy Stakhovsky, 2284304   size:23.92,Price: ,2.02,ok
1.121345461, Sport: ,Soccer, Time: ,Sat Oct 31 16:00:00 CET 2015, Time: ,Sat Oct 31 16:00:00 CET 2015, Event: ,Watford v West Ham, Favorite: ,Watford, 56301   size:1045.15,Price: ,2.62,West Ham, 48756   size:134.51,Price: ,2.98,The Draw, 58805   size:2800.91,Price: ,3.45,ok
1.121603661, Sport: ,Tennis, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,And Martin v Hernandez-Fernandez, Favorite: ,Andrej Martin, 5071877   size:7.26,Price: ,1.04,Jose Hernandez-Fernande, 9420497   size:8.81,Price: ,1.1,ok
1.121405332, Sport: ,Soccer, Time: ,Sat Oct 31 14:00:00 CET 2015, Time: ,Sat Oct 31 14:00:00 CET 2015, Event: ,Wurzburger Kickers v Aalen, Favorite: ,Wurzburger Kickers, 6516913   size:5.0,Price: ,2.2,Aalen, 208029   size:9.53,Price: ,3.9,The Draw, 58805   size:3.91,Price: ,3.35,x
1.121561218, Sport: ,Soccer, Time: ,Sat Oct 31 15:30:00 CET 2015, Time: ,Sat Oct 31 15:30:00 CET 2015, Event: ,Al Gharafa v Umm Salal, Favorite: ,Al Gharafa, 2909657   size:2.03,Price: ,2.46,Umm Salal, 5174707   size:4.42,Price: ,2.66,The Draw, 58805   size:18.96,Price: ,3.5,x
1.121404813, Sport: ,Soccer, Time: ,Sat Oct 31 15:00:00 CET 2015, Time: ,Sat Oct 31 15:00:00 CET 2015, Event: ,Lokomotiva v Osijek, Favorite: ,Lokomotiva, 4057235   size:5.0,Price: ,1.88,Osijek, 16777   size:26.58,Price: ,4.4,The Draw, 58805   size:53.82,Price: ,3.75,ok
1.121493166, Sport: ,Soccer, Time: ,Sat Oct 31 15:00:00 CET 2015, Time: ,Sat Oct 31 15:00:00 CET 2015, Event: ,Zawisza Bydgoszcz v Wisla Plock, Favorite: ,Zawisza Bydgoszcz, 4936018   size:8.97,Price: ,2.3,Wisla Plock, 487520   size:3.12,Price: ,3.45,The Draw, 58805   size:2.55,Price: ,3.3,x
1.121560882, Sport: ,Soccer, Time: ,Sat Oct 31 16:00:00 CET 2015, Time: ,Sat Oct 31 16:00:00 CET 2015, Event: ,Stal Mielec v Wisla Pulawy, Favorite: ,Stal Mielec, 10133739   size:12.48,Price: ,2.18,Wisla Pulawy, 5789666   size:16.98,Price: ,2.48,The Draw, 58805   size:21.78,Price: ,2.98,ok
1.121421833, Sport: ,Volleyball, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,ARIS Marmouris v GS Lamia, Favorite: ,Aris Marmouris, 2971576   size:33.26,Price: ,1.01,GS Lamia, 1371922   size:33.26,Price: ,1.01,ok
1.121556828, Sport: ,Handball, Time: ,Sat Oct 31 20:30:00 CET 2015, Time: ,Sat Oct 31 20:30:00 CET 2015, Event: ,FC Barcelona v Puerto Sagunto, Favorite: ,FC Barcelona, 623982   size:0.0,Price: ,0.0,Puerto Sagunto, 4995922   size:10.0,Price: ,250.0,Draw, 330157   size:10.0,Price: ,250.0,ok
