1.121396140, Sport: ,Tennis, Time: ,Fri Oct 23 07:30:00 CEST 2015, Time: ,Fri Oct 23 07:30:00 CEST 2015, Event: ,San Singh v J Ward, Favorite: ,James Ward, 2370329   size:26.27,Price: ,1.58,Sanam Singh, 6596565   size:41.54,Price: ,2.56
1.121408378, Sport: ,Tennis, Time: ,Fri Oct 23 09:00:00 CEST 2015, Time: ,Fri Oct 23 09:00:00 CEST 2015, Event: ,Ignatik/Nishioka v Sela/Weintraub, Favorite: ,Sela/Weintraub, 10407971   size:2.55,Price: ,1.88,Ignatik/Nishioka, 10433861   size:2.55,Price: ,1.89
1.121433829, Sport: ,Tennis, Time: ,Fri Oct 23 11:00:00 CEST 2015, Time: ,Fri Oct 23 11:00:00 CEST 2015, Event: ,O Fridman v B Pera, Favorite: ,Bernarda Pera, 8784983   size:3.61,Price: ,1.74,Olga Fridman, 9629716   size:32.69,Price: ,2.1
1.121402760, Sport: ,Tennis, Time: ,Fri Oct 23 12:00:00 CEST 2015, Time: ,Fri Oct 23 12:00:00 CEST 2015, Event: ,Pouille v Bautista Agut, Favorite: ,Roberto Bautista Agut, 4290403   size:6446.47,Price: ,1.17,Lucas Pouille, 7031400   size:85.45,Price: ,6.4
1.121408679, Sport: ,Tennis, Time: ,Fri Oct 23 13:00:00 CEST 2015, Time: ,Fri Oct 23 13:00:00 CEST 2015, Event: ,Dodig v Arnaboldi, Favorite: ,Ivan Dodig, 2835266   size:2.55,Price: ,1.3,Andrea Arnaboldi, 7593283   size:56.35,Price: ,3.7
1.121362325, Sport: ,Basketball, Time: ,Fri Oct 23 13:00:00 CEST 2015, Time: ,Fri Oct 23 13:00:00 CEST 2015, Event: ,Talk N Text v Alaska Aces, Favorite: ,Talk N Text, 4425512   size:2.55,Price: ,1.59,Alaska Aces, 3803222   size:33.0,Price: ,2.5
1.121390919, Sport: ,Soccer, Time: ,Fri Oct 23 13:30:00 CEST 2015, Time: ,Fri Oct 23 13:30:00 CEST 2015, Event: ,Neftochimik U19 v Beroe Stara Zagora U19, Favorite: ,Neftochimik U19, 10247288   size:2.79,Price: ,1.09,Beroe Stara Zagora U19, 10268763   size:2.79,Price: ,1.09,The Draw, 58805   size:10.8,Price: ,1.29
1.121254935, Sport: ,Soccer, Time: ,Fri Oct 23 15:30:00 CEST 2015, Time: ,Fri Oct 23 15:30:00 CEST 2015, Event: ,NorthEast Utd FC v Atletico De Kolkata, Favorite: ,Atletico De Kolkata, 8897744   size:7.58,Price: ,1.94,NorthEast Utd FC, 10360661   size:4.02,Price: ,3.35,The Draw, 58805   size:16.82,Price: ,2.8
1.121408790, Sport: ,Tennis, Time: ,Fri Oct 23 16:00:00 CEST 2015, Time: ,Fri Oct 23 16:00:00 CEST 2015, Event: ,Sijsling v Vanni, Favorite: ,Igor Sijsling, 2370190   size:4.43,Price: ,1.42,Luca Vanni, 8681900   size:9.09,Price: ,2.98
1.121409738, Sport: ,Tennis, Time: ,Fri Oct 23 16:00:00 CEST 2015, Time: ,Fri Oct 23 16:00:00 CEST 2015, Event: ,Tsurenko v S Kuznetsova, Favorite: ,Svetlana Kuznetsova, 2256501   size:513.04,Price: ,1.51,Lesia Tsurenko, 5300861   size:5.0,Price: ,2.88
1.121439465, Sport: ,Tennis, Time: ,Fri Oct 23 17:45:00 CEST 2015, Time: ,Fri Oct 23 17:45:00 CEST 2015, Event: ,Rosol v Monfils, Favorite: ,Gael Monfils, 2257300   size:251.05,Price: ,1.35,Lukas Rosol, 2258415   size:5.0,Price: ,3.65
1.121268576, Sport: ,Soccer, Time: ,Fri Oct 23 18:00:00 CEST 2015, Time: ,Fri Oct 23 18:00:00 CEST 2015, Event: ,Ceske Budejovice v Frydek Mistek, Favorite: ,Ceske Budejovice, 367577   size:2.92,Price: ,1.71,Frydek Mistek, 3358860   size:3.57,Price: ,4.8,The Draw, 58805   size:23.94,Price: ,3.55
1.121385213, Sport: ,Volleyball, Time: ,Fri Oct 23 18:00:00 CEST 2015, Time: ,Fri Oct 23 18:00:00 CEST 2015, Event: ,Budowlani Lodz v Aluprof Bielsko-Biala, Favorite: ,Budowlani Lodz, 4292856   size:33.42,Price: ,1.01,Aluprof Bielsko-Biala, 10399381   size:189.93,Price: ,1.73
1.121268687, Sport: ,Soccer, Time: ,Fri Oct 23 18:00:00 CEST 2015, Time: ,Fri Oct 23 18:00:00 CEST 2015, Event: ,Tammeka Tartu v Sillamae Kalev, Favorite: ,Sillamae Kalev, 4837259   size:2.55,Price: ,1.69,Tammeka Tartu, 5407303   size:3.83,Price: ,3.85,The Draw, 58805   size:11.39,Price: ,3.75
1.121426343, Sport: ,Tennis, Time: ,Fri Oct 23 18:00:00 CEST 2015, Time: ,Fri Oct 23 18:00:00 CEST 2015, Event: ,Fognini/Mirnyi v Murray/Peers, Favorite: ,Murray/Peers, 7191922   size:2.55,Price: ,1.51,Fognini/Mirnyi, 10435351   size:2.58,Price: ,2.44
1.121391040, Sport: ,Soccer, Time: ,Fri Oct 23 18:00:00 CEST 2015, Time: ,Fri Oct 23 18:00:00 CEST 2015, Event: ,Cukaricki v FK Spartak, Favorite: ,Cukaricki, 2503611   size:2.55,Price: ,1.45,FK Spartak, 4104730   size:8.67,Price: ,7.0,The Draw, 58805   size:6.27,Price: ,3.95
1.121268521, Sport: ,Soccer, Time: ,Fri Oct 23 18:30:00 CEST 2015, Time: ,Fri Oct 23 18:30:00 CEST 2015, Event: ,Znojmo v MAS Taborsko, Favorite: ,Znojmo, 4142628   size:2.55,Price: ,2.08,MAS Taborsko, 6998410   size:14.32,Price: ,3.5,The Draw, 58805   size:24.35,Price: ,3.45
1.121268963, Sport: ,Soccer, Time: ,Fri Oct 23 19:00:00 CEST 2015, Time: ,Fri Oct 23 19:00:00 CEST 2015, Event: ,Jahn Regensburg v Greuther Furth II, Favorite: ,Jahn Regensburg, 4855758   size:239.96,Price: ,1.32,Greuther Furth II, 9884599   size:5.61,Price: ,9.8,The Draw, 58805   size:19.37,Price: ,5.5
1.121436448, Sport: ,Tennis, Time: ,Fri Oct 23 19:00:00 CEST 2015, Time: ,Fri Oct 23 19:00:00 CEST 2015, Event: ,Souza v Dutra Silva, Favorite: ,Rogerio Dutra Silva, 2301068   size:2.55,Price: ,1.51,Joao Souza, 4490590   size:63.12,Price: ,2.5
1.121369183, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:15:00 CEST 2015, Time: ,Fri Oct 23 19:15:00 CEST 2015, Event: ,Graz 99ers v Dornbirn, Favorite: ,Dornbirn, 6602890   size:2.8,Price: ,2.24,Graz 99ers, 748396   size:2.67,Price: ,2.36,Tie, 60104   size:7.42,Price: ,3.95
1.121369189, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:15:00 CEST 2015, Time: ,Fri Oct 23 19:15:00 CEST 2015, Event: ,Innsbruck v Orli Znojmo, Favorite: ,Orli Znojmo, 5797611   size:9.09,Price: ,1.94,Innsbruck, 563236   size:70.73,Price: ,2.96,Tie, 60104   size:38.81,Price: ,4.7
1.121385091, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,Fribourg Gotteron v ZSC Lions, Favorite: ,Fribourg Gotteron, 243252   size:2.83,Price: ,2.22,ZSC Lions, 243260   size:2.58,Price: ,2.44,Tie, 60104   size:117.07,Price: ,4.0
1.121385097, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,Biel v Lugano, Favorite: ,Biel, 3315685   size:118.1,Price: ,2.26,Lugano, 243259   size:2.05,Price: ,2.44,Tie, 60104   size:41.88,Price: ,4.4
