1.121329725, Sport: ,Tennis, Time: ,Sun Oct 18 09:42:00 CEST 2015, Time: ,Sun Oct 18 09:42:00 CEST 2015, Event: ,Chrysochos v C Sood, Favorite: ,Petros Chrysochos, 9630009   size:14.4,Price: ,1.1,Chandril Sood, 8907260   size:18.5,Price: ,5.0
1.121319212, Sport: ,Soccer, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,FC Veria U20 v Atromitos Athens U20, Favorite: ,Atromitos Athens U20, 6320780   size:8.33,Price: ,1.64,FC Veria U20, 9212607   size:5.63,Price: ,4.7,The Draw, 58805   size:7.24,Price: ,2.92
1.121319146, Sport: ,Soccer, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,Panionios U20 v AEL Kallonis U20, Favorite: ,Panionios U20, 5236623   size:4.31,Price: ,1.26,AEL Kallonis U20, 9220044   size:3.0,Price: ,5.5,The Draw, 58805   size:8.99,Price: ,2.72
1.121187902, Sport: ,Cricket, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,Lions v Titans, Favorite: ,Lions, 4294272   size:11.19,Price: ,1.89,Titans, 1254317   size:11.13,Price: ,1.9
1.121187899, Sport: ,Cricket, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,Cape Cobras v Knights, Favorite: ,Cape Cobras, 3809606   size:2.72,Price: ,1.55,Knights, 5045297   size:4.92,Price: ,2.8
1.121319267, Sport: ,Soccer, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,Panathinaikos U20 v Giannina U20, Favorite: ,Panathinaikos U20, 5247888   size:4.42,Price: ,1.23,Giannina U20, 7227009   size:3.0,Price: ,6.0,The Draw, 58805   size:8.97,Price: ,2.74
1.121163253, Sport: ,Soccer, Time: ,Sun Oct 18 10:15:00 CEST 2015, Time: ,Sun Oct 18 10:15:00 CEST 2015, Event: ,Sigma Olomouc B v MFK Karvina, Favorite: ,MFK Karvina, 3358864   size:18.15,Price: ,2.08,Sigma Olomouc B, 10079892   size:2.74,Price: ,3.15,The Draw, 58805   size:4.21,Price: ,3.7
1.121314633, Sport: ,Soccer, Time: ,Sun Oct 18 10:30:00 CEST 2015, Time: ,Sun Oct 18 10:30:00 CEST 2015, Event: ,Bohemians P Stri (W) v Sparta Prague (W), Favorite: ,Sparta Prague (W), 5847673   size:24.35,Price: ,1.08,Bohemians P Stri (W), 7639727   size:19.03,Price: ,5.6,The Draw, 58805   size:3.03,Price: ,6.0
1.121318523, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Arka Gdynia 1929 U19 v KS Ruch Chorzow U19, Favorite: ,Arka Gdynia 1929 U19, 6486118   size:10.57,Price: ,1.22,KS Ruch Chorzow U19, 7619069   size:10.57,Price: ,1.22,The Draw, 58805   size:4.99,Price: ,3.15
1.121314045, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Melnikova v Savchuk, Favorite: ,Olga Savchuk, 2263617   size:6.99,Price: ,1.39,Marina Melnikova, 6390238   size:11.38,Price: ,2.94
1.121313757, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK Vysocina Jihlava U21 v Bohemians 1905 U21, Favorite: ,FK Vysocina Jihlava U21, 10160489   size:4.69,Price: ,1.63,Bohemians 1905 U21, 6563639   size:4.06,Price: ,4.6,The Draw, 58805   size:3.7,Price: ,4.2
1.121313683, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK Mlada Boleslav U21 v FC Slovan Liberec U21, Favorite: ,FK Mlada Boleslav U21, 6550996   size:24.56,Price: ,1.68,FC Slovan Liberec U21, 6563663   size:12.48,Price: ,3.55,The Draw, 58805   size:22.51,Price: ,3.5
1.121243659, Sport: ,Basketball, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Rain or Shine v Purefoods Hotshots, Favorite: ,Rain Or Shine, 3880438   size:5.72,Price: ,1.68,Purefoods Hotshots, 9581251   size:5.72,Price: ,2.1
1.121334207, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Bertens v Cepelova, Favorite: ,Kiki Bertens, 5611697   size:52.68,Price: ,1.41,Jana Cepelova, 5303559   size:41.22,Price: ,2.7
1.121322674, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK AS Trencin U19 v FC VSS Kosice U19, Favorite: ,FK AS Trencin U19, 6789553   size:10.57,Price: ,1.22,FC VSS Kosice U19, 10123630   size:10.57,Price: ,1.22,The Draw, 58805   size:10.57,Price: ,3.1
1.121314071, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Abduraimova v Irigoyen, Favorite: ,Nigina Abduraimova, 3378313   size:184.58,Price: ,1.37,MarÍa Irigoyen, 9125013   size:11.89,Price: ,3.35
1.121334560, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Coin v Ma Johansson, Favorite: ,Mathilde Johansson, 2250865   size:7.22,Price: ,1.75,Julie Coin, 3289144   size:3.99,Price: ,2.16
1.121330152, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Mi Sekulic v Zapata Miralles, Favorite: ,Bernabe Zapata Miralles, 9630472   size:58.34,Price: ,1.96,Milos Sekulic, 7412710   size:2.23,Price: ,1.99
1.121334495, Sport: ,Tennis, Time: ,Sun Oct 18 11:15:00 CEST 2015, Time: ,Sun Oct 18 11:15:00 CEST 2015, Event: ,Myneni/Singh v Lamasine/Langer, Favorite: ,Myneni/Singh, 8274250   size:99.46,Price: ,1.69,Lamasine/Langer, 10407913   size:2.36,Price: ,2.12
1.121325812, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Paterna CF v Club Atletico Saguntino, Favorite: ,Paterna CF, 7906132   size:134.67,Price: ,1.06,Club Atletico Saguntino, 7906133   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121237530, Sport: ,Basketball, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Astana v UNICS Kazan, Favorite: ,Unics Kazan, 5134712   size:457.13,Price: ,1.23,Astana, 5877769   size:20.34,Price: ,4.5
1.121322548, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Lorca AD (W) v Mislata CF (W), Favorite: ,Lorca AD (W), 8278762   size:134.67,Price: ,1.06,Mislata CF (W), 6596763   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121314908, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Alashkert v Banants, Favorite: ,Alashkert, 9686394   size:6.71,Price: ,1.53,Banants, 489144   size:4.85,Price: ,4.8,The Draw, 58805   size:6.7,Price: ,3.6
1.121326197, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,UE Sant Andreu v CF Peralada, Favorite: ,UE Sant Andreu, 10381924   size:134.67,Price: ,1.06,CF Peralada, 8832969   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121159115, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Almeria v Elche, Favorite: ,Almeria, 248020   size:12.02,Price: ,2.2,Elche, 309111   size:17.48,Price: ,3.8,The Draw, 58805   size:108.44,Price: ,3.4
1.121271335, Sport: ,Basketball, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Dongbu Promy v Changwon Sakers, Favorite: ,Dongbu Promy, 5154590   size:81.0,Price: ,1.62,Changwon Sakers, 10276571   size:38.0,Price: ,2.32
1.121325702, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Mallorca B v CE Campos, Favorite: ,Mallorca B, 4144563   size:134.67,Price: ,1.06,CE Campos, 6883541   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121326087, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,UD Rotlet Molinar v SD Formentera, Favorite: ,UD Rotlet Molinar, 8212936   size:134.67,Price: ,1.06,SD Formentera, 7698054   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121242176, Sport: ,Basketball, Time: ,Sun Oct 18 12:15:00 CEST 2015, Time: ,Sun Oct 18 12:15:00 CEST 2015, Event: ,Zaragoza v Murcia, Favorite: ,Zaragoza, 3368428   size:5.72,Price: ,1.43,Murcia, 2111197   size:9.04,Price: ,3.25
1.121158538, Sport: ,Soccer, Time: ,Sun Oct 18 12:30:00 CEST 2015, Time: ,Sun Oct 18 12:30:00 CEST 2015, Event: ,Spartak Moscow v Lokomotiv, Favorite: ,Spartak Moscow, 5517   size:93.69,Price: ,2.48,Lokomotiv, 214365   size:252.36,Price: ,3.15,The Draw, 58805   size:576.48,Price: ,3.4
1.121335821, Sport: ,Tennis, Time: ,Sun Oct 18 12:30:00 CEST 2015, Time: ,Sun Oct 18 12:30:00 CEST 2015, Event: ,Vikhlyantseva v G Dabrowski, Favorite: ,Natalia Vikhlyantseva, 9042370   size:50.5,Price: ,1.46,Gabriela Dabrowski, 5707430   size:8.19,Price: ,2.56
1.121334330, Sport: ,Tennis, Time: ,Sun Oct 18 12:30:00 CEST 2015, Time: ,Sun Oct 18 12:30:00 CEST 2015, Event: ,Lajovic v Tursunov, Favorite: ,Dusan Lajovic, 4688724   size:68.02,Price: ,1.36,Dmitry Tursunov, 2256471   size:19.81,Price: ,2.96
1.121332496, Sport: ,Tennis, Time: ,Sun Oct 18 12:30:00 CEST 2015, Time: ,Sun Oct 18 12:30:00 CEST 2015, Event: ,P Davydenko v Kamke, Favorite: ,Tobias Kamke, 2581407   size:5.72,Price: ,1.14,Philipp Davydenko, 7429697   size:26.16,Price: ,6.2
1.121080568, Sport: ,Soccer, Time: ,Sun Oct 18 12:30:00 CEST 2015, Time: ,Sun Oct 18 12:30:00 CEST 2015, Event: ,Bologna v Palermo, Favorite: ,Bologna, 199545   size:561.59,Price: ,2.78,Palermo, 60307   size:85.46,Price: ,2.9,The Draw, 58805   size:4652.64,Price: ,3.3
