1.121766483, Sport: ,Basketball, Time: ,Fri Nov 13 02:05:00 CET 2015, Time: ,Fri Nov 13 02:05:00 CET 2015, Event: ,Golden State @ Minnesota, Favorite: ,Golden State, 13126   size:4472.59,Price: ,1.23,Minnesota, 13118   size:49.84,Price: ,5.1,ok
1.121771350, Sport: ,Tennis, Time: ,Thu Nov 12 23:15:00 CET 2015, Time: ,Thu Nov 12 23:15:00 CET 2015, Event: ,Krajicek/Monroe v Bangoura/Seeberger, Favorite: ,Krajicek/Monroe, 8925143   size:5.5,Price: ,1.2,Bangoura/Seeberger, 10435760   size:7.72,Price: ,3.85,x
1.121733717, Sport: ,Basketball, Time: ,Thu Nov 12 20:30:00 CET 2015, Time: ,Thu Nov 12 20:30:00 CET 2015, Event: ,Limoges v Armani Milano, Favorite: ,Armani Milano, 952727   size:30.0,Price: ,1.65,Limoges, 3817200   size:70.82,Price: ,2.4,x
1.121632143, Sport: ,American Football, Time: ,Fri Nov 13 02:25:00 CET 2015, Time: ,Fri Nov 13 02:25:00 CET 2015, Event: ,Buffalo @ New York Jets, Favorite: ,New York Jets, 50202   size:782.24,Price: ,1.88,Buffalo Bills, 50203   size:293.04,Price: ,2.12,x
1.121771319, Sport: ,Tennis, Time: ,Fri Nov 13 01:00:00 CET 2015, Time: ,Fri Nov 13 01:00:00 CET 2015, Event: ,Novikov/Quigley v O'Brien/Roelofse, Favorite: ,O'Brien/Roelofse, 9545182   size:8.35,Price: ,1.04,Novikov/Quigley, 10510901   size:6.03,Price: ,2.02,x
1.121758899, Sport: ,Soccer, Time: ,Thu Nov 12 19:30:00 CET 2015, Time: ,Thu Nov 12 19:30:00 CET 2015, Event: ,Excelsior v Sparta Rotterdam, Favorite: ,Excelsior, 67164   size:2595.48,Price: ,1.11,Sparta Rotterdam, 111703   size:13.51,Price: ,36.0,The Draw, 58805   size:16.41,Price: ,12.0,ok
1.121696051, Sport: ,Ice Hockey, Time: ,Fri Nov 13 01:00:00 CET 2015, Time: ,Fri Nov 13 01:00:00 CET 2015, Event: ,St Louis @ NY Rangers, Favorite: ,NY Rangers, 60103   size:11.64,Price: ,2.38,St Louis, 2110000   size:281.55,Price: ,2.88,Tie, 60104   size:260.0,Price: ,3.9,ok
1.121771359, Sport: ,Tennis, Time: ,Thu Nov 12 19:45:00 CET 2015, Time: ,Thu Nov 12 19:45:00 CET 2015, Event: ,D Evans v A Krajicek, Favorite: ,Austin Krajicek, 3288367   size:504.08,Price: ,1.55,Daniel Evans, 3103121   size:19.57,Price: ,2.72,x
1.121696056, Sport: ,Ice Hockey, Time: ,Fri Nov 13 01:00:00 CET 2015, Time: ,Fri Nov 13 01:00:00 CET 2015, Event: ,Washington @ Philadelphia, Favorite: ,Washington, 2109756   size:331.93,Price: ,2.22,Philadelphia, 2109791   size:13.06,Price: ,3.1,Tie, 60104   size:102.56,Price: ,4.1,ok
1.121654015, Sport: ,Soccer, Time: ,Thu Nov 12 22:00:00 CET 2015, Time: ,Thu Nov 12 22:00:00 CET 2015, Event: ,Ecuador v Uruguay, Favorite: ,Ecuador, 15303   size:515.77,Price: ,1.94,Uruguay, 15298   size:106.51,Price: ,4.8,The Draw, 58805   size:638.12,Price: ,3.55,ok
1.121760980, Sport: ,Darts, Time: ,Thu Nov 12 21:00:00 CET 2015, Time: ,Thu Nov 12 21:00:00 CET 2015, Event: ,Michael Van Gerwen v Steve Beaton, Favorite: ,Michael van Gerwen, 2475370   size:88667.71,Price: ,1.04,Steve Beaton, 2469729   size:25.42,Price: ,23.0,ok
1.121725212, Sport: ,Rugby Union, Time: ,Thu Nov 12 20:45:00 CET 2015, Time: ,Thu Nov 12 20:45:00 CET 2015, Event: ,Harlequins v Montpellier, Favorite: ,Harlequins, 37893   size:1112.79,Price: ,1.5,Montpellier, 632441   size:341.6,Price: ,3.25,Draw, 246289   size:37.55,Price: ,26.0,ok
