1.121229860, Sport: ,Soccer, Time: ,Thu Oct 15 03:00:00 CEST 2015, Time: ,Thu Oct 15 03:00:00 CEST 2015, Event: ,Alianza FC v CD Chalatenago, Favorite: ,Alianza FC, 5698496   size:5.0,Price: ,1.57,CD Chalatenago, 10104394   size:5.0,Price: ,2.42,The Draw, 58805   size:12.5,Price: ,2.1,ok
1.121133084, Sport: ,Handball, Time: ,Wed Oct 14 20:00:00 CEST 2015, Time: ,Wed Oct 14 20:00:00 CEST 2015, Event: ,Aix v Paris Saint German, Favorite: ,Paris Saint German, 8835235   size:67.1,Price: ,1.06,Aix, 6721925   size:39.49,Price: ,9.6,Draw, 330157   size:28.41,Price: ,13.0,ok
1.121112422, Sport: ,Soccer, Time: ,Thu Oct 15 02:00:00 CEST 2015, Time: ,Thu Oct 15 02:00:00 CEST 2015, Event: ,Joinville v Coritiba, Favorite: ,Joinville, 5259406   size:272.09,Price: ,2.62,Coritiba, 198141   size:29.46,Price: ,3.2,The Draw, 58805   size:1469.04,Price: ,3.25,ok
1.121110004, Sport: ,Ice Hockey, Time: ,Wed Oct 14 17:30:00 CEST 2015, Time: ,Wed Oct 14 17:30:00 CEST 2015, Event: ,Pelicans v Karpat, Favorite: ,Karpat, 66430   size:110.0,Price: ,2.1,Pelicans, 66425   size:36.84,Price: ,3.25,Tie, 60104   size:61.46,Price: ,4.1,ok
1.121110363, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,Dorogi v Csakvar, Favorite: ,Csakvar, 5898466   size:7.55,Price: ,1.73,Dorogi, 10046540   size:7.55,Price: ,2.78,The Draw, 58805   size:15.05,Price: ,2.8,ok
1.121224211, Sport: ,Tennis, Time: ,Wed Oct 14 13:00:00 CEST 2015, Time: ,Wed Oct 14 13:00:00 CEST 2015, Event: ,Begemann/Sitak v Setkic/Zopp, Favorite: ,Begemann/Sitak, 10299764   size:12.2,Price: ,1.31,Setkic/Zopp, 10407969   size:2.68,Price: ,3.75,ok
1.121229469, Sport: ,Soccer, Time: ,Thu Oct 15 01:00:00 CEST 2015, Time: ,Thu Oct 15 01:00:00 CEST 2015, Event: ,Mirassol v Ituano, Favorite: ,Mirassol, 2760854   size:3.51,Price: ,1.07,Ituano, 1040280   size:3.51,Price: ,1.07,The Draw, 58805   size:2.54,Price: ,1.39,ok
1.121231794, Sport: ,Tennis, Time: ,Wed Oct 14 22:45:00 CEST 2015, Time: ,Wed Oct 14 22:45:00 CEST 2015, Event: ,Trungelliti v Coppejans, Favorite: ,Kimmer Coppejans, 7364095   size:3.07,Price: ,1.08,Marco Trungelliti, 6498878   size:5.7,Price: ,1.2,ok
1.121229196, Sport: ,Basketball, Time: ,Thu Oct 15 03:00:00 CEST 2015, Time: ,Thu Oct 15 03:00:00 CEST 2015, Event: ,Detroit @ Chicago, Favorite: ,Detroit, 13111   size:8.19,Price: ,1.03,Chicago, 13117   size:8.19,Price: ,1.03,ok
1.121229750, Sport: ,Soccer, Time: ,Thu Oct 15 01:00:00 CEST 2015, Time: ,Thu Oct 15 01:00:00 CEST 2015, Event: ,La Serena v Everton De Vina, Favorite: ,Everton De Vina, 3677851   size:8.0,Price: ,2.32,La Serena, 5129868   size:10.23,Price: ,2.74,The Draw, 58805   size:14.08,Price: ,3.2,x
1.121110013, Sport: ,Ice Hockey, Time: ,Wed Oct 14 17:30:00 CEST 2015, Time: ,Wed Oct 14 17:30:00 CEST 2015, Event: ,Sport v SaiPa, Favorite: ,SaiPa, 66264   size:67.78,Price: ,2.1,Sport, 275249   size:5.0,Price: ,3.15,Tie, 60104   size:21.0,Price: ,4.3,x
1.121224509, Sport: ,Tennis, Time: ,Wed Oct 14 09:00:00 CEST 2015, Time: ,Wed Oct 14 09:00:00 CEST 2015, Event: ,G Simon v L Mayer, Favorite: ,Gilles Simon, 2249345   size:3032.49,Price: ,1.47,Leonardo Mayer, 3186303   size:800.38,Price: ,3.05,ok
1.121189232, Sport: ,Basketball, Time: ,Wed Oct 14 18:00:00 CEST 2015, Time: ,Wed Oct 14 18:00:00 CEST 2015, Event: ,AEK Athens v Krasny Oktyabr, Favorite: ,AEK Athens, 266282   size:45.75,Price: ,1.7,Krasny Oktyabr, 7774804   size:24.03,Price: ,2.22,x
1.121225156, Sport: ,Tennis, Time: ,Thu Oct 15 07:00:00 CEST 2015, Time: ,Thu Oct 15 07:00:00 CEST 2015, Event: ,Jor Thompson v L Huang, Favorite: ,Jordan Thompson, 8145584   size:4.0,Price: ,1.25,Liang-Chi Huang, 8259002   size:35.36,Price: ,4.0,ok
1.121126430, Sport: ,Handball, Time: ,Wed Oct 14 20:00:00 CEST 2015, Time: ,Wed Oct 14 20:00:00 CEST 2015, Event: ,Skive fH v Kolding Kobenhavn, Favorite: ,Kolding Kobenhavn, 7670726   size:67.1,Price: ,1.05,Skive fH, 5798546   size:3.16,Price: ,10.5,Draw, 330157   size:3.0,Price: ,14.5,ok
1.121110418, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,Somos SE v Haladas, Favorite: ,Haladas, 505951   size:14.66,Price: ,1.15,Somos SE, 10392827   size:2.57,Price: ,9.0,The Draw, 58805   size:2.57,Price: ,5.5,ok
1.121189236, Sport: ,Basketball, Time: ,Wed Oct 14 18:00:00 CEST 2015, Time: ,Wed Oct 14 18:00:00 CEST 2015, Event: ,Avtodor v Zenit St Petersburg, Favorite: ,Avtodor, 8801689   size:117.72,Price: ,1.57,Zenit St Petersburg, 8889521   size:45.96,Price: ,2.46,x
1.121112711, Sport: ,Soccer, Time: ,Thu Oct 15 00:30:00 CEST 2015, Time: ,Thu Oct 15 00:30:00 CEST 2015, Event: ,Atletico MG v Internacional, Favorite: ,Atletico MG, 361329   size:1074.89,Price: ,1.6,Internacional, 198137   size:72.85,Price: ,6.6,The Draw, 58805   size:71.77,Price: ,4.2,ok
1.121229637, Sport: ,Soccer, Time: ,Thu Oct 15 01:00:00 CEST 2015, Time: ,Thu Oct 15 01:00:00 CEST 2015, Event: ,Volta Redonda v Audax Rio, Favorite: ,Volta Redonda, 1040271   size:3.51,Price: ,1.07,Audax Rio, 6973280   size:3.51,Price: ,1.07,The Draw, 58805   size:2.54,Price: ,1.39,ok
1.121115030, Sport: ,Ice Hockey, Time: ,Thu Oct 15 01:05:00 CEST 2015, Time: ,Thu Oct 15 01:05:00 CEST 2015, Event: ,Ottawa @ Columbus, Favorite: ,Columbus, 2114347   size:2.7,Price: ,2.28,Ottawa, 2108072   size:2.01,Price: ,3.05,Tie, 60104   size:92.0,Price: ,4.0,x
1.121113257, Sport: ,Soccer, Time: ,Thu Oct 15 03:00:00 CEST 2015, Time: ,Thu Oct 15 03:00:00 CEST 2015, Event: ,Boyaca Chico v Ind Medellin, Favorite: ,Ind Medellin, 1067444   size:11.72,Price: ,2.06,Boyaca Chico, 3636902   size:82.78,Price: ,4.2,The Draw, 58805   size:6.84,Price: ,3.3,ok
