1.119662541, Sport: ,Soccer, Time: ,Sun Aug 02 17:30:00 CEST 2015, Time: ,Sun Aug 02 17:30:00 CEST 2015, Event: ,GrIFK v KaaPo, Favorite: ,GrIFK, 1229634   size:7.48,Price: ,1.15,The Draw, 58805   size:6.91,Price: ,6.4,KaaPo, 496722   size:2.84,Price: ,11.0,ok
1.119700008, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Feirense v Covilha, Favorite: ,Feirense, 505957   size:14.68,Price: ,2.38,The Draw, 58805   size:2.84,Price: ,3.25,Covilha, 336269   size:9.24,Price: ,3.4,ok
1.119664601, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Standard v Zulte-Waregem, Favorite: ,Standard, 571279   size:2.81,Price: ,1.71,The Draw, 58805   size:115.08,Price: ,4.1,Zulte-Waregem, 505726   size:23.59,Price: ,5.7,ok
1.119663996, Sport: ,Soccer, Time: ,Sun Aug 02 19:00:00 CEST 2015, Time: ,Sun Aug 02 19:00:00 CEST 2015, Event: ,Toluca v Pumas UNAM, Favorite: ,Toluca, 230914   size:2.27,Price: ,2.12,The Draw, 58805   size:297.51,Price: ,3.35,Pumas UNAM, 328955   size:118.02,Price: ,4.1,ok
1.119700368, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Oriental v Freamunde, Favorite: ,Freamunde, 616891   size:2.01,Price: ,2.72,Oriental, 970435   size:8.1,Price: ,2.92,The Draw, 58805   size:100.16,Price: ,3.25,x
1.119800895, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,CA Alvarado del Plata v Comodoro Rivadavia, Favorite: ,CA Alvarado del Plata, 9564604   size:5.0,Price: ,1.38,The Draw, 58805   size:10.0,Price: ,2.18,Comodoro Rivadavia, 9820331   size:5.0,Price: ,2.98,ok
1.119659952, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Skonto FC v FK Jelgava, Favorite: ,Skonto FC, 9306438   size:3.39,Price: ,1.67,The Draw, 58805   size:2.04,Price: ,3.55,FK Jelgava, 4837310   size:3.4,Price: ,5.4,x
1.119741237, Sport: ,Soccer, Time: ,Sun Aug 02 20:00:00 CEST 2015, Time: ,Sun Aug 02 20:00:00 CEST 2015, Event: ,Atletico Parana v Gimnasia Jujuy, Favorite: ,Atletico Parana, 5985269   size:13.0,Price: ,2.6,The Draw, 58805   size:96.36,Price: ,3.0,Gimnasia Jujuy, 1213580   size:3.63,Price: ,3.2,ok
1.119661914, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,Metalurg Z v Volyn, Favorite: ,Volyn, 4115366   size:5.63,Price: ,1.54,The Draw, 58805   size:9.5,Price: ,4.3,Metalurg Z, 489141   size:42.52,Price: ,7.6,ok
1.119711265, Sport: ,Baseball, Time: ,Sun Aug 02 20:10:00 CEST 2015, Time: ,Sun Aug 02 20:10:00 CEST 2015, Event: ,CHC @ MIL, Favorite: ,Milwaukee (K Lohse), 7179919   size:136.53,Price: ,1.02,x
