1.119669407, Sport: ,Cricket, Time: ,Sun Aug 02 11:30:00 CEST 2015, Time: ,Sun Aug 02 11:30:00 CEST 2015, Event: ,Worcestershire v Northamptonshire, Favorite: ,Northamptonshire, 475559   size:7.25,Price: ,1.95,Worcestershire, 31372   size:17.69,Price: ,2.0,ok
1.119661004, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Lillestrom v Sandefjord, Favorite: ,Lillestrom, 10770   size:92.93,Price: ,1.66,The Draw, 58805   size:58.0,Price: ,4.4,Sandefjord, 199646   size:11.37,Price: ,5.7,ok
1.119815313, Sport: ,Tennis, Time: ,Sun Aug 02 12:40:00 CEST 2015, Time: ,Sun Aug 02 12:40:00 CEST 2015, Event: ,Cetkovska v Ostapenko, Favorite: ,Jelena Ostapenko, 8827537   size:5.91,Price: ,1.87,Petra Cetkovska, 2415583   size:66.5,Price: ,2.06,x
1.119669404, Sport: ,Cricket, Time: ,Sun Aug 02 11:30:00 CEST 2015, Time: ,Sun Aug 02 11:30:00 CEST 2015, Event: ,Surrey v Derbyshire, Favorite: ,Surrey, 424676   size:3.71,Price: ,1.45,Derbyshire, 31375   size:7.2,Price: ,3.0,ok
1.119662572, Sport: ,Soccer, Time: ,Sun Aug 02 12:20:00 CEST 2015, Time: ,Sun Aug 02 12:20:00 CEST 2015, Event: ,North Korea v Japan, Favorite: ,Japan, 29636   size:284.34,Price: ,1.65,The Draw, 58805   size:41.8,Price: ,3.65,North Korea, 548596   size:20.41,Price: ,6.4,x
1.119644341, Sport: ,Soccer, Time: ,Sun Aug 02 15:30:00 CEST 2015, Time: ,Sun Aug 02 15:30:00 CEST 2015, Event: ,Valbo FF v Bodens, Favorite: ,Bodens, 780884   size:2.31,Price: ,1.57,Valbo FF, 9371557   size:4.7,Price: ,4.2,The Draw, 58805   size:2.55,Price: ,4.3,x
1.119669401, Sport: ,Cricket, Time: ,Sun Aug 02 11:30:00 CEST 2015, Time: ,Sun Aug 02 11:30:00 CEST 2015, Event: ,Gloucestershire v Somerset, Favorite: ,Somerset, 5995   size:14.9,Price: ,1.88,Gloucestershire, 2219   size:19.22,Price: ,2.02,x
1.119663646, Sport: ,Soccer, Time: ,Sun Aug 02 14:00:00 CEST 2015, Time: ,Sun Aug 02 14:00:00 CEST 2015, Event: ,Hallescher FC v Holstein Kiel, Favorite: ,Hallescher FC, 3235360   size:26.34,Price: ,2.36,The Draw, 58805   size:10.82,Price: ,3.3,Holstein Kiel, 247830   size:12.69,Price: ,3.35,x
1.119802948, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,FK Kokand 1912 v Dinamo Samarqand, Favorite: ,Dinamo Samarqand, 5614420   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119802384, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Bukovina v Real Pharm Ovidiopol, Favorite: ,Real Pharm Ovidiopol, 8792404   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119807956, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Levadia Tallinn II v FC Infonet II, Favorite: ,Levadia Tallinn II, 5412337   size:27.51,Price: ,2.1,FC Infonet II, 8866982   size:4.12,Price: ,2.7,The Draw, 58805   size:36.47,Price: ,3.75,ok
1.119805535, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,Brown de Adrogue v Flandria, Favorite: ,Brown de Adrogue, 7047340   size:5.63,Price: ,1.66,The Draw, 58805   size:8.27,Price: ,3.15,Flandria, 9509138   size:7.14,Price: ,5.1,ok
1.119699816, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Portimonense v Aves, Favorite: ,Portimonense, 505982   size:91.42,Price: ,2.3,The Draw, 58805   size:111.1,Price: ,3.3,ok
1.119665151, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,Palmeiras v Atletico PR, Favorite: ,Palmeiras, 189952   size:361.55,Price: ,1.53,The Draw, 58805   size:54.61,Price: ,4.4,Atletico PR, 442159   size:13.85,Price: ,7.6,x
1.119812617, Sport: ,Tennis, Time: ,Sun Aug 02 12:00:00 CEST 2015, Time: ,Sun Aug 02 12:00:00 CEST 2015, Event: ,Androic v Tsitsipas, Favorite: ,Toni Androic, 8194189   size:2.66,Price: ,1.32,Stefanos Tsitsipas, 9193006   size:3.72,Price: ,2.96,x
1.119663716, Sport: ,Soccer, Time: ,Sun Aug 02 17:45:00 CEST 2015, Time: ,Sun Aug 02 17:45:00 CEST 2015, Event: ,Porto v Stoke, Favorite: ,Porto, 48785   size:5.0,Price: ,1.78,The Draw, 58805   size:10.52,Price: ,3.85,Stoke, 69720   size:3.98,Price: ,5.3,ok
