1.119130341, Sport: ,Baseball, Time: ,Wed Jun 17 01:05:00 CEST 2015, Time: ,Wed Jun 17 01:05:00 CEST 2015, Event: ,CWS @ PIT, Favorite: ,Pittsburgh (C Morton), 3966279   size:92.0,Price: ,1.66,Chicago White Sox (J Quintana), 6401579   size:252.45,Price: ,2.4,ok
1.119170411, Sport: ,Tennis, Time: ,Wed Jun 17 04:00:00 CEST 2015, Time: ,Wed Jun 17 04:00:00 CEST 2015, Event: ,C W Hsu v Albanese, Favorite: ,Ching-Wen Hsu, 8964271   size:5.25,Price: ,1.74,Lauren Albanese, 2309521   size:4.39,Price: ,2.16,x
1.119130333, Sport: ,Baseball, Time: ,Wed Jun 17 01:05:00 CEST 2015, Time: ,Wed Jun 17 01:05:00 CEST 2015, Event: ,PHI @ BAL, Favorite: ,Baltimore (C Tillman), 4079994   size:280.14,Price: ,1.46,Philadelphia (J Williams), 8769955   size:355.95,Price: ,2.98,ok
1.119130365, Sport: ,Baseball, Time: ,Wed Jun 17 01:10:00 CEST 2015, Time: ,Wed Jun 17 01:10:00 CEST 2015, Event: ,NYY @ MIA, Favorite: ,NY Yankees (N Eovaldi), 9389895   size:240.04,Price: ,1.95,Miami (D Phelps), 9407815   size:16.01,Price: ,2.02,x
1.119130357, Sport: ,Baseball, Time: ,Wed Jun 17 01:10:00 CEST 2015, Time: ,Wed Jun 17 01:10:00 CEST 2015, Event: ,TOR @ NYM, Favorite: ,NY Mets (M Harvey), 6551353   size:185.06,Price: ,1.75,Toronto (S Copeland), 9587919   size:256.21,Price: ,2.28,ok
1.119130389, Sport: ,Baseball, Time: ,Wed Jun 17 02:05:00 CEST 2015, Time: ,Wed Jun 17 02:05:00 CEST 2015, Event: ,CLE @ CHC, Favorite: ,Chicago Cubs (J Arrieta), 7539740   size:302.04,Price: ,1.71,Cleveland (T Bauer), 7184184   size:347.04,Price: ,2.3,x
1.119173693, Sport: ,Tennis, Time: ,Wed Jun 17 04:00:00 CEST 2015, Time: ,Wed Jun 17 04:00:00 CEST 2015, Event: ,R Ozaki v Miyamura, Favorite: ,Risa Ozaki, 7593284   size:37.7,Price: ,1.14,Miki Miyamura, 7445677   size:6.1,Price: ,5.8,ok
1.119092436, Sport: ,Basketball, Time: ,Wed Jun 17 04:30:00 CEST 2015, Time: ,Wed Jun 17 04:30:00 CEST 2015, Event: ,Minnesota @ Los Angeles, Favorite: ,Minnesota, 13118   size:5.0,Price: ,1.22,Los Angeles, 3213264   size:19.24,Price: ,4.9,ok
1.119130405, Sport: ,Baseball, Time: ,Wed Jun 17 04:05:00 CEST 2015, Time: ,Wed Jun 17 04:05:00 CEST 2015, Event: ,ARI @ LAA, Favorite: ,LA Angels (G Richards), 5741327   size:327.0,Price: ,1.53,Arizona (J Hellickson), 9385116   size:5.0,Price: ,2.74,ok
1.119092432, Sport: ,Basketball, Time: ,Wed Jun 17 04:00:00 CEST 2015, Time: ,Wed Jun 17 04:00:00 CEST 2015, Event: ,Connecticut @ Seattle, Favorite: ,Seattle, 13130   size:89.02,Price: ,1.67,Connecticut, 332194   size:3.05,Price: ,2.42,x
1.119130349, Sport: ,Baseball, Time: ,Wed Jun 17 01:08:00 CEST 2015, Time: ,Wed Jun 17 01:08:00 CEST 2015, Event: ,CIN @ DET, Favorite: ,Detroit (K Ryan), 8812015   size:312.04,Price: ,1.73,Cincinnati (M Lorenzen), 9444109   size:311.62,Price: ,2.26,x
