1.121350249, Sport: ,Tennis, Time: ,Wed Oct 21 07:45:00 CEST 2015, Time: ,Wed Oct 21 07:45:00 CEST 2015, Event: ,Ye Lu v Weintraub, Favorite: ,Yen-Hsun Lu, 8287128   size:40.42,Price: ,1.12,Amir Weintraub, 5822663   size:2.0,Price: ,8.2,ok
1.121354320, Sport: ,Soccer, Time: ,Wed Oct 21 14:30:00 CEST 2015, Time: ,Wed Oct 21 14:30:00 CEST 2015, Event: ,Yuen Long (Res) v South China FC (Res), Favorite: ,Yuen Long (Res), 8242524   size:3.52,Price: ,1.07,South China FC (Res), 7253734   size:3.52,Price: ,1.07,The Draw, 58805   size:4.08,Price: ,2.88,x
1.121355896, Sport: ,Soccer, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Znamya Truda v FK Strogino, Favorite: ,FK Strogino, 10165518   size:90.73,Price: ,1.94,Znamya Truda, 7536199   size:75.75,Price: ,2.32,The Draw, 58805   size:58.13,Price: ,3.05,ok
1.121350245, Sport: ,Tennis, Time: ,Wed Oct 21 06:00:00 CEST 2015, Time: ,Wed Oct 21 06:00:00 CEST 2015, Event: ,Moriya v Gojowczyk, Favorite: ,Peter Gojowczyk, 4691416   size:2.15,Price: ,1.33,Hiroki Moriya, 5858055   size:18.9,Price: ,3.6,ok
1.121330375, Sport: ,Tennis, Time: ,Wed Oct 21 10:00:00 CEST 2015, Time: ,Wed Oct 21 10:00:00 CEST 2015, Event: ,Al Bedene v Istomin, Favorite: ,Denis Istomin, 2765780   size:2.72,Price: ,1.53,Aljaz Bedene, 5706996   size:50.68,Price: ,2.84,ok
1.121362256, Sport: ,Tennis, Time: ,Wed Oct 21 05:45:00 CEST 2015, Time: ,Wed Oct 21 05:45:00 CEST 2015, Event: ,Y Wang v Xu, Favorite: ,Yafan Wang, 7695509   size:124.82,Price: ,1.34,Yi-Fan Xu, 2550525   size:14.72,Price: ,3.2,ok
1.121233164, Sport: ,Soccer, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Galatasaray U19 v Benfica U19, Favorite: ,Benfica U19, 5373197   size:4.26,Price: ,1.53,Galatasaray U19, 7653235   size:8.86,Price: ,4.3,The Draw, 58805   size:35.35,Price: ,4.5,ok
1.121346443, Sport: ,Ice Hockey, Time: ,Wed Oct 21 01:35:00 CEST 2015, Time: ,Wed Oct 21 01:35:00 CEST 2015, Event: ,St Louis @ Montreal, Favorite: ,Montreal, 2112345   size:964.0,Price: ,1.4,St Louis, 2110000   size:819.99,Price: ,1.44,Tie, 60104   size:255.0,Price: ,2.6,ok
1.121369566, Sport: ,Tennis, Time: ,Wed Oct 21 13:30:00 CEST 2015, Time: ,Wed Oct 21 13:30:00 CEST 2015, Event: ,Errani v Lucic-Baroni, Favorite: ,Sara Errani, 2309567   size:44.33,Price: ,1.74,Mirjana Lucic-Baroni, 8283006   size:109.73,Price: ,2.24,x
1.121362417, Sport: ,Tennis, Time: ,Wed Oct 21 09:15:00 CEST 2015, Time: ,Wed Oct 21 09:15:00 CEST 2015, Event: ,Myneni v Propoggia, Favorite: ,Saketh Myneni, 7445661   size:42.17,Price: ,1.15,Dane Propoggia, 8188274   size:2.56,Price: ,5.1,ok
1.121232999, Sport: ,Soccer, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,CSKA Moscow U19 v Man Utd U19, Favorite: ,CSKA Moscow U19, 6569317   size:2.55,Price: ,1.72,Man Utd U19, 2502332   size:2.64,Price: ,3.85,The Draw, 58805   size:2.0,Price: ,4.9,ok
1.121351487, Sport: ,Basketball, Time: ,Wed Oct 21 15:30:00 CEST 2015, Time: ,Wed Oct 21 15:30:00 CEST 2015, Event: ,Beovuk 72 v Jagodina, Favorite: ,Beovuk 72, 10370887   size:8.21,Price: ,1.03,Jagodina, 8834845   size:8.21,Price: ,1.03,ok
1.121351000, Sport: ,Basketball, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Anyang KGC Pro v Busan Sonicboom, Favorite: ,Anyang KGC Pro, 10276570   size:566.92,Price: ,1.24,Busan Sonicboom, 8941900   size:5.72,Price: ,1.25,ok
1.121350791, Sport: ,Tennis, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,S Peer v M Alexandre Leduc, Favorite: ,Shahar Peer, 2248472   size:2.46,Price: ,1.1,Marie Alexandre Leduc, 10436926   size:28.01,Price: ,8.8,ok
1.121350792, Sport: ,Tennis, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,E Halbauer v C Robillard Millette, Favorite: ,Ellie Halbauer, 8427199   size:2.55,Price: ,1.53,C Robillard Millette, 10436927   size:2.7,Price: ,2.28,x
1.121362529, Sport: ,Tennis, Time: ,Wed Oct 21 11:45:00 CEST 2015, Time: ,Wed Oct 21 11:45:00 CEST 2015, Event: ,K Mladenovic v M Gasparyan, Favorite: ,Kristina Mladenovic, 3622052   size:179.2,Price: ,1.77,Margarita Gasparyan, 6750186   size:3.0,Price: ,2.2,x
