1.121121585, Sport: ,Soccer, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,Burghausen v Amberg, Favorite: ,Burghausen, 196544   size:6.19,Price: ,1.72,Amberg, 9550072   size:5.05,Price: ,5.0,The Draw, 58805   size:3.83,Price: ,4.0,ok
1.121239116, Sport: ,Ice Hockey, Time: ,Fri Oct 16 19:45:00 CEST 2015, Time: ,Fri Oct 16 19:45:00 CEST 2015, Event: ,Ambri Piotta v Geneve Servette, Favorite: ,Geneve Servette, 4932959   size:2.19,Price: ,2.28,Ambri Piotta, 2584459   size:2.13,Price: ,2.34,Tie, 60104   size:118.48,Price: ,3.9,x
1.121243481, Sport: ,Soccer, Time: ,Fri Oct 16 14:00:00 CEST 2015, Time: ,Fri Oct 16 14:00:00 CEST 2015, Event: ,Pakhtakor v Sogdiana Jizak, Favorite: ,Pakhtakor, 2909658   size:2.73,Price: ,1.09,Sogdiana Jizak, 8294188   size:4.99,Price: ,3.35,The Draw, 58805   size:4.99,Price: ,3.35,ok
1.121121946, Sport: ,Soccer, Time: ,Fri Oct 16 18:30:00 CEST 2015, Time: ,Fri Oct 16 18:30:00 CEST 2015, Event: ,Austria Lustenau v FAC Team fur Wien, Favorite: ,Austria Lustenau, 453564   size:30.91,Price: ,1.54,FAC Team fur Wien, 3258138   size:3.8,Price: ,6.4,The Draw, 58805   size:15.9,Price: ,4.4,ok
1.121239119, Sport: ,Ice Hockey, Time: ,Fri Oct 16 19:45:00 CEST 2015, Time: ,Fri Oct 16 19:45:00 CEST 2015, Event: ,SCL Tigers v Bern, Favorite: ,Bern, 243256   size:3.47,Price: ,1.77,SCL Tigers, 243257   size:68.25,Price: ,3.05,Tie, 60104   size:116.48,Price: ,3.95,x
1.121121824, Sport: ,Soccer, Time: ,Fri Oct 16 18:30:00 CEST 2015, Time: ,Fri Oct 16 18:30:00 CEST 2015, Event: ,Steinbach v Hoffenheim II, Favorite: ,Hoffenheim II, 5730521   size:2.7,Price: ,2.4,Steinbach, 10079904   size:28.56,Price: ,3.1,The Draw, 58805   size:2.62,Price: ,3.6,ok
1.121229193, Sport: ,Basketball, Time: ,Fri Oct 16 13:00:00 CEST 2015, Time: ,Fri Oct 16 13:00:00 CEST 2015, Event: ,Changwon Sakers v Jeonju KCC Egis, Favorite: ,Jeonju KCC Egis, 8148243   size:111.46,Price: ,1.61,Changwon Sakers, 10276571   size:57.61,Price: ,2.18,x
1.121122912, Sport: ,Soccer, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,Heerenveen (W) v ADO Den Haag (W), Favorite: ,ADO Den Haag (W), 5291062   size:82.58,Price: ,1.59,Heerenveen (W), 5279477   size:47.44,Price: ,2.78,The Draw, 58805   size:35.14,Price: ,3.75,x
1.121224626, Sport: ,Ice Hockey, Time: ,Fri Oct 16 20:00:00 CEST 2015, Time: ,Fri Oct 16 20:00:00 CEST 2015, Event: ,Herlev v Odense, Favorite: ,Odense, 70624   size:3.31,Price: ,1.51,Herlev, 227439   size:43.63,Price: ,4.2,Tie, 60104   size:13.85,Price: ,4.2,ok
1.121241420, Sport: ,Soccer, Time: ,Fri Oct 16 12:00:00 CEST 2015, Time: ,Fri Oct 16 12:00:00 CEST 2015, Event: ,AS Khroub U21 v CABB Arreridj U21, Favorite: ,AS Khroub U21, 7708394   size:2.55,Price: ,1.66,CABB Arreridj U21, 8071767   size:2.55,Price: ,1.83,The Draw, 58805   size:2.9,Price: ,3.05,x
