1.119354391, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Peterborough v West Ham, Favorite: ,West Ham, 48756   size:2.71,Price: ,1.75,The Draw, 58805   size:3.92,Price: ,3.5,Peterborough, 18563   size:3.84,Price: ,3.75,x
1.119350464, Sport: ,Soccer, Time: ,Sat Jul 11 13:35:00 CEST 2015, Time: ,Sat Jul 11 13:35:00 CEST 2015, Event: ,Chongqing Lifan v Henan, Favorite: ,Henan, 4525687   size:4.98,Price: ,2.52,Chongqing Lifan, 9279854   size:83.11,Price: ,2.96,The Draw, 58805   size:4.33,Price: ,3.5,x
1.119446503, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,CA Colegiales v Deportivo Espanol, Favorite: ,CA Colegiales, 7670892   size:12.77,Price: ,2.2,The Draw, 58805   size:9.83,Price: ,2.84,Deportivo Espanol, 9218811   size:2.39,Price: ,3.3,x
1.119439551, Sport: ,Soccer, Time: ,Sat Jul 11 13:00:00 CEST 2015, Time: ,Sat Jul 11 13:00:00 CEST 2015, Event: ,Gretna FC v Carlisle City, Favorite: ,Gretna FC, 7423153   size:3.1,Price: ,1.4,The Draw, 58805   size:82.76,Price: ,4.4,Carlisle City, 9928703   size:65.47,Price: ,5.3,ok
1.119354782, Sport: ,Soccer, Time: ,Sat Jul 11 15:00:00 CEST 2015, Time: ,Sat Jul 11 15:00:00 CEST 2015, Event: ,Motala v Umea FC, Favorite: ,Umea FC, 501184   size:14.18,Price: ,2.18,Motala, 502310   size:65.49,Price: ,3.3,The Draw, 58805   size:6.39,Price: ,3.85,x
1.119354784, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,IK Brage v Sodertalje FK, Favorite: ,IK Brage, 502308   size:14.32,Price: ,1.69,The Draw, 58805   size:2.78,Price: ,4.4,Sodertalje FK, 8438638   size:4.98,Price: ,5.2,x
1.119443254, Sport: ,Soccer, Time: ,Sat Jul 11 19:00:00 CEST 2015, Time: ,Sat Jul 11 19:00:00 CEST 2015, Event: ,Levski Sofia v Lokomotiv Plovdiv, Favorite: ,Lokomotiv Plovdiv, 878125   size:18.52,Price: ,1.02,The Draw, 58805   size:2.78,Price: ,1.25,x
1.119354786, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Eskilsminne v Oddevold, Favorite: ,Oddevold, 778918   size:55.4,Price: ,1.91,Eskilsminne, 6415384   size:8.48,Price: ,3.85,The Draw, 58805   size:35.71,Price: ,4.1,x
1.119447181, Sport: ,Soccer, Time: ,Sat Jul 11 15:00:00 CEST 2015, Time: ,Sat Jul 11 15:00:00 CEST 2015, Event: ,ESTAC Troyes v FC Magdeburg, Favorite: ,ESTAC Troyes, 4864974   size:2.54,Price: ,2.14,FC Magdeburg, 516219   size:2.54,Price: ,2.9,The Draw, 58805   size:2.54,Price: ,3.25,x
1.119349758, Sport: ,Soccer, Time: ,Sat Jul 11 20:45:00 CEST 2015, Time: ,Sat Jul 11 20:45:00 CEST 2015, Event: ,Cobh Ramblers v Wexford Youths, Favorite: ,Wexford Youths, 2325018   size:9.75,Price: ,1.91,The Draw, 58805   size:10.1,Price: ,3.75,Cobh Ramblers, 392220   size:20.71,Price: ,4.4,ok
1.119350178, Sport: ,Soccer, Time: ,Sat Jul 11 20:45:00 CEST 2015, Time: ,Sat Jul 11 20:45:00 CEST 2015, Event: ,Sligo Rovers v Longford, Favorite: ,Sligo Rovers, 387040   size:20.19,Price: ,2.28,The Draw, 58805   size:4.85,Price: ,3.5,Longford, 184330   size:72.51,Price: ,3.6,ok
1.119468549, Sport: ,Darts, Time: ,Sat Jul 11 19:30:00 CEST 2015, Time: ,Sat Jul 11 19:30:00 CEST 2015, Event: ,Wade v Van Duijvenbode, Favorite: ,Dirk van Duijvenbode, 8369551   size:38.24,Price: ,1.04,James Wade, 2409762   size:5.71,Price: ,1.27,x
1.119445689, Sport: ,Soccer, Time: ,Sat Jul 11 19:45:00 CEST 2015, Time: ,Sat Jul 11 19:45:00 CEST 2015, Event: ,Sion v Lyon, Favorite: ,Lyon, 55271   size:7.01,Price: ,2.24,Sion, 65785   size:9.41,Price: ,2.98,The Draw, 58805   size:6.89,Price: ,3.15,x
1.119445549, Sport: ,Soccer, Time: ,Sat Jul 11 17:00:00 CEST 2015, Time: ,Sat Jul 11 17:00:00 CEST 2015, Event: ,Inter v Stuttgart Kickers, Favorite: ,Stuttgart Kickers, 498562   size:2.7,Price: ,1.07,Inter, 63347   size:2.59,Price: ,1.14,The Draw, 58805   size:2.78,Price: ,1.25,x
1.119443387, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Limavady United FC v Coleraine, Favorite: ,Coleraine, 166863   size:137.66,Price: ,1.06,The Draw, 58805   size:2.78,Price: ,1.25,ok
1.119442054, Sport: ,Soccer, Time: ,Sat Jul 11 18:00:00 CEST 2015, Time: ,Sat Jul 11 18:00:00 CEST 2015, Event: ,Excelsior Virton v Standard, Favorite: ,Standard, 571279   size:5.34,Price: ,1.36,The Draw, 58805   size:88.6,Price: ,4.2,Excelsior Virton, 505672   size:56.79,Price: ,6.0,ok
1.119374441, Sport: ,Soccer, Time: ,Sun Jul 12 01:30:00 CEST 2015, Time: ,Sun Jul 12 01:30:00 CEST 2015, Event: ,Indy Eleven v Carolina Railhawks, Favorite: ,Carolina Railhawks, 3155351   size:2.54,Price: ,2.52,Indy Eleven, 8441182   size:14.35,Price: ,2.66,The Draw, 58805   size:2.54,Price: ,3.3,x
1.119468661, Sport: ,Darts, Time: ,Sat Jul 11 20:30:00 CEST 2015, Time: ,Sat Jul 11 20:30:00 CEST 2015, Event: ,van Gerwen v J Lewis, Favorite: ,Jamie Lewis, 6432513   size:278.12,Price: ,1.01,Michael Van Gerwen, 6785355   size:5.71,Price: ,1.15,x
1.119436612, Sport: ,Volleyball, Time: ,Sat Jul 11 16:40:00 CEST 2015, Time: ,Sat Jul 11 16:40:00 CEST 2015, Event: ,USA (W) v Turkey (W), Favorite: ,USA (W), 8555561   size:498.28,Price: ,1.02,Turkey (W), 5857948   size:5.71,Price: ,1.15,ok
