1.122307373, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,Ambri Piotta v Lausanne HC, Favorite: ,Tie, 60104   size:3.0,Price: ,1.75,Ambri Piotta, 2584459   size:9.85,Price: ,2.24,Lausanne HC, 7555451   size:11.68,Price: ,1.76,x
1.122307372, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,Geneve Servette v Fribourg Gotteron, Favorite: ,Geneve Servette, 4932959   size:5.94,Price: ,1.22,Fribourg Gotteron, 243252   size:13.52,Price: ,3.1,Tie, 60104   size:5.94,Price: ,1.82,ok
1.122307374, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,SCL Tigers v Biel, Favorite: ,SCL Tigers, 243257   size:5.94,Price: ,1.22,Biel, 3315685   size:15.4,Price: ,2.72,Tie, 60104   size:8.94,Price: ,1.75,x
1.122093226, Sport: ,Darts, Time: ,Wed Dec 23 23:00:00 CET 2015, Time: ,Wed Dec 23 23:00:00 CET 2015, Event: ,Jelle Klaasen v Joe Cullen, Favorite: ,Jelle Klaasen, 2414411   size:5.0,Price: ,1.4,Joe Cullen, 3066968   size:10.33,Price: ,3.25,ok
1.122360446, Sport: ,Basketball, Time: ,Thu Dec 24 04:35:00 CET 2015, Time: ,Thu Dec 24 04:35:00 CET 2015, Event: ,Oklahoma City @ LA Lakers, Favorite: ,Oklahoma City, 3363394   size:3.0,Price: ,1.07,LA Lakers, 2120881   size:330.1,Price: ,10.5,ok
1.122357955, Sport: ,Basketball, Time: ,Wed Dec 23 20:30:00 CET 2015, Time: ,Wed Dec 23 20:30:00 CET 2015, Event: ,Varese v Cremona, Favorite: ,Varese, 276233   size:3.08,Price: ,1.07,Cremona, 4325205   size:5.94,Price: ,1.6,ok
1.122323180, Sport: ,Handball, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,Melsungen v Hannover Burgdorf, Favorite: ,Melsungen, 2507299   size:2.36,Price: ,1.26,Hannover Burgdorf, 4551482   size:3.9,Price: ,1.94,Draw, 330157   size:3.54,Price: ,1.99,x
1.122323184, Sport: ,Handball, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,Magdeburg v Wetzlar, Favorite: ,Magdeburg, 2531263   size:9.58,Price: ,1.58,Wetzlar, 2507302   size:2.65,Price: ,3.05,Draw, 330157   size:9.9,Price: ,8.4,x
1.122307370, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,Bern v ZSC Lions, Favorite: ,Bern, 243256   size:5.94,Price: ,1.29,ZSC Lions, 243260   size:5.94,Price: ,1.29,Tie, 60104   size:5.94,Price: ,1.49,x
1.122307939, Sport: ,Basketball, Time: ,Wed Dec 23 18:30:00 CET 2015, Time: ,Wed Dec 23 18:30:00 CET 2015, Event: ,Central Connecticut @ Connecticut, Favorite: ,Connecticut, 332194   size:3.08,Price: ,1.08,Central Connecticut, 2340621   size:8.49,Price: ,1.34,ok
1.122357839, Sport: ,Basketball, Time: ,Wed Dec 23 20:30:00 CET 2015, Time: ,Wed Dec 23 20:30:00 CET 2015, Event: ,Bayreuth v Fraport Skyliners, Favorite: ,Fraport Skyliners, 5956938   size:2.56,Price: ,1.42,Bayreuth, 5002542   size:40.18,Price: ,2.98,x
1.122371587, Sport: ,Tennis, Time: ,Wed Dec 23 07:25:00 CET 2015, Time: ,Wed Dec 23 07:25:00 CET 2015, Event: ,Katarina Zavatska v Hiroko Kuwata, Favorite: ,Hiroko Kuwata, 8732124   size:5.94,Price: ,1.2,Katarina Zavatska, 9635149   size:2.55,Price: ,5.1,ok
1.122356904, Sport: ,Basketball, Time: ,Wed Dec 23 20:30:00 CET 2015, Time: ,Wed Dec 23 20:30:00 CET 2015, Event: ,Limoges v Strasbourg, Favorite: ,Limoges, 3817200   size:12.07,Price: ,1.63,Strasbourg, 1193143   size:55.1,Price: ,2.34,x
1.122371586, Sport: ,Tennis, Time: ,Wed Dec 23 05:35:00 CET 2015, Time: ,Wed Dec 23 05:35:00 CET 2015, Event: ,Jing Jing LU v Patty Schnyder, Favorite: ,Patty Schnyder, 4843506   size:172.01,Price: ,1.7,Jing Jing Lu, 10648594   size:32.02,Price: ,1.79,x
1.122356900, Sport: ,Basketball, Time: ,Wed Dec 23 20:30:00 CET 2015, Time: ,Wed Dec 23 20:30:00 CET 2015, Event: ,Antibes v Paris Levallois, Favorite: ,Antibes, 5467755   size:2.55,Price: ,1.36,Paris Levallois, 2638786   size:2.55,Price: ,3.35,ok
1.122351214, Sport: ,Soccer, Time: ,Wed Dec 23 17:45:00 CET 2015, Time: ,Wed Dec 23 17:45:00 CET 2015, Event: ,Fenerbahce v Antalyaspor, Favorite: ,Fenerbahce, 46726   size:67.81,Price: ,1.33,Antalyaspor, 113188   size:4.3,Price: ,8.4,The Draw, 58805   size:4.42,Price: ,5.2,ok
1.122355897, Sport: ,Basketball, Time: ,Wed Dec 23 18:45:00 CET 2015, Time: ,Wed Dec 23 18:45:00 CET 2015, Event: ,Trabzonspor v Usak Sportif, Favorite: ,Trabzonspor, 5048068   size:20.71,Price: ,1.42,Usak Sportif, 7756133   size:4.07,Price: ,3.1,ok
1.122301717, Sport: ,Soccer, Time: ,Wed Dec 23 16:00:00 CET 2015, Time: ,Wed Dec 23 16:00:00 CET 2015, Event: ,Al Ittihad (EGY) v Petrojet, Favorite: ,Al Ittihad (EGY), 7023879   size:4.14,Price: ,1.84,Petrojet, 5168594   size:2.55,Price: ,4.4,The Draw, 58805   size:5.0,Price: ,3.5,x
1.122306967, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,Lugano v Davos, Favorite: ,Tie, 60104   size:4.22,Price: ,1.13,Lugano, 243259   size:3.65,Price: ,1.15,Davos, 243249   size:8.38,Price: ,2.78,x
1.122360576, Sport: ,Basketball, Time: ,Wed Dec 23 18:00:00 CET 2015, Time: ,Wed Dec 23 18:00:00 CET 2015, Event: ,Neptunas v Juventus, Favorite: ,Neptunas, 5261523   size:3.08,Price: ,1.05,Juventus, 5244996   size:3.08,Price: ,1.11,ok
1.122360612, Sport: ,Basketball, Time: ,Wed Dec 23 16:00:00 CET 2015, Time: ,Wed Dec 23 16:00:00 CET 2015, Event: ,PAOK v Trikala, Favorite: ,PAOK, 281533   size:3.02,Price: ,1.19,Trikala, 3315196   size:2.55,Price: ,4.6,ok
1.122357964, Sport: ,Basketball, Time: ,Wed Dec 23 20:30:00 CET 2015, Time: ,Wed Dec 23 20:30:00 CET 2015, Event: ,Pistoia v Venezia, Favorite: ,Pistoia, 7735183   size:13.8,Price: ,1.73,Venezia, 5878119   size:87.97,Price: ,2.14,ok
1.122360456, Sport: ,Basketball, Time: ,Thu Dec 24 01:05:00 CET 2015, Time: ,Thu Dec 24 01:05:00 CET 2015, Event: ,New York @ Cleveland, Favorite: ,New York, 13106   size:3.0,Price: ,1.05,Cleveland, 13112   size:3.0,Price: ,1.07,x
