1.122445235, Sport: ,Soccer, Time: ,Sun Jan 03 14:00:00 CET 2016, Time: ,Sun Jan 03 14:00:00 CET 2016, Event: ,Vasco de Gama U20 v Gauicurus U19, Favorite: ,Vasco de Gama U20, 5185919   size:3.69,Price: ,1.15,Gauicurus U19, 6967052   size:6.89,Price: ,11.5,The Draw, 58805   size:13.34,Price: ,6.4,x
1.122407638, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Ferrol v Atletico Astorga, Favorite: ,Ferrol, 309110   size:176.48,Price: ,1.38,Atletico Astorga, 8792395   size:2.0,Price: ,9.0,The Draw, 58805   size:2.55,Price: ,5.1,x
1.122431470, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,CD Choco v Silva SD, Favorite: ,CD Choco, 8041120   size:4.11,Price: ,1.57,Silva SD, 8889598   size:19.72,Price: ,4.7,The Draw, 58805   size:30.83,Price: ,3.35,x
1.122407636, Sport: ,Soccer, Time: ,Sun Jan 03 16:30:00 CET 2016, Time: ,Sun Jan 03 16:30:00 CET 2016, Event: ,Coruxo v Racing Santander, Favorite: ,Coruxo, 4943232   size:6.31,Price: ,2.6,Racing Santander, 24072   size:51.46,Price: ,2.92,The Draw, 58805   size:15.29,Price: ,3.3,ok
1.122444702, Sport: ,Soccer, Time: ,Sun Jan 03 20:00:00 CET 2016, Time: ,Sun Jan 03 20:00:00 CET 2016, Event: ,Palmeiras U20 v Sampaio Correa FC U20, Favorite: ,Palmeiras U20, 5181619   size:2.55,Price: ,1.3,Sampaio Correa FC U20, 10306456   size:78.46,Price: ,6.6,The Draw, 58805   size:132.3,Price: ,4.7,x
1.122407632, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Cacereno v CD Izarra, Favorite: ,Cacereno, 4144561   size:31.29,Price: ,2.06,CD Izarra, 9320407   size:100.31,Price: ,4.0,The Draw, 58805   size:35.47,Price: ,3.35,x
1.122431476, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,CD Guadalcacin v Atletico Sanluqueno CF, Favorite: ,Atletico Sanluqueno CF, 6399727   size:2.19,Price: ,2.28,CD Guadalcacin, 8826856   size:4.34,Price: ,2.78,The Draw, 58805   size:13.63,Price: ,3.0,x
1.122407630, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Burgos v Pontevedra CF, Favorite: ,Burgos, 968180   size:2.55,Price: ,2.16,Pontevedra CF, 9414423   size:2.55,Price: ,3.7,The Draw, 58805   size:2.55,Price: ,3.35,x
1.122431510, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Condal CF v CD Praviano, Favorite: ,Condal CF, 9320403   size:6.12,Price: ,1.37,CD Praviano, 6884116   size:7.83,Price: ,7.6,The Draw, 58805   size:2.55,Price: ,4.2,ok
1.122431472, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CD Gerena v CD Utrera, Favorite: ,CD Gerena, 7887463   size:27.34,Price: ,1.91,CD Utrera, 10185250   size:2.55,Price: ,3.65,The Draw, 58805   size:2.55,Price: ,3.85,ok
