1.121740337, Sport: ,Soccer, Time: ,Sat Nov 21 20:00:00 CET 2015, Time: ,Sat Nov 21 20:00:00 CET 2015, Event: ,ESTAC Troyes v Lille, Favorite: ,Lille, 44790   size:350.58,Price: ,2.2,ESTAC Troyes, 4864974   size:319.85,Price: ,3.9,The Draw, 58805   size:509.09,Price: ,3.3,x
1.121780951, Sport: ,Soccer, Time: ,Sat Nov 21 14:00:00 CET 2015, Time: ,Sat Nov 21 14:00:00 CET 2015, Event: ,Mainz II v Aalen, Favorite: ,Mainz II, 5390772   size:5.0,Price: ,2.2,Aalen, 208029   size:158.78,Price: ,3.55,The Draw, 58805   size:3.18,Price: ,3.5,ok
1.121856687, Sport: ,Darts, Time: ,Sat Nov 21 14:15:00 CET 2015, Time: ,Sat Nov 21 14:15:00 CET 2015, Event: ,Benito van de Pas v Jamie Lewis, Favorite: ,Benito van de Pas, 6062761   size:4.46,Price: ,1.86,Jamie Lewis, 6432513   size:52.17,Price: ,2.06,x
1.121796172, Sport: ,Soccer, Time: ,Sat Nov 21 15:00:00 CET 2015, Time: ,Sat Nov 21 15:00:00 CET 2015, Event: ,Pro Vercelli v Como, Favorite: ,Pro Vercelli, 5369664   size:414.85,Price: ,2.3,Como, 60298   size:17.04,Price: ,3.75,The Draw, 58805   size:38.66,Price: ,3.15,ok
1.121877476, Sport: ,Soccer, Time: ,Sat Nov 21 12:00:00 CET 2015, Time: ,Sat Nov 21 12:00:00 CET 2015, Event: ,Hirnyk-Sport v Illychivets, Favorite: ,Hirnyk-Sport, 4994300   size:4.16,Price: ,2.04,Illychivets, 3143284   size:3.59,Price: ,3.1,The Draw, 58805   size:3.77,Price: ,3.3,x
1.121910165, Sport: ,Handball, Time: ,Sat Nov 21 18:30:00 CET 2015, Time: ,Sat Nov 21 18:30:00 CET 2015, Event: ,Larvik v Baia Mare, Favorite: ,Larvik, 528704   size:2.85,Price: ,1.03,Baia Mare, 7739142   size:2.85,Price: ,1.03,Draw, 330157   size:2.85,Price: ,1.03,ok
1.120986045, Sport: ,Boxing, Time: ,Sat Nov 21 23:00:00 CET 2015, Time: ,Sat Nov 21 23:00:00 CET 2015, Event: ,Perez v Crolla, Favorite: ,Anthony Crolla, 5305524   size:539.92,Price: ,1.7,Darleys Perez, 9139645   size:418.7,Price: ,2.64,Draw, 31162   size:5.66,Price: ,21.0,ok
1.121912221, Sport: ,Soccer, Time: ,Sat Nov 21 17:00:00 CET 2015, Time: ,Sat Nov 21 17:00:00 CET 2015, Event: ,Monarcas Morelia U20 v Veracruz U20, Favorite: ,Monarcas Morelia U20, 6241888   size:39.8,Price: ,1.1,Veracruz U20, 8270292   size:39.8,Price: ,1.1,The Draw, 58805   size:13.69,Price: ,2.88,x
1.121913432, Sport: ,Soccer, Time: ,Sat Nov 21 12:30:00 CET 2015, Time: ,Sat Nov 21 12:30:00 CET 2015, Event: ,Kuban Krasnodar (Y) v Terek Groznyi (Y), Favorite: ,Kuban Krasnodar (Y), 7227084   size:2.76,Price: ,1.45,Terek Groznyi (Y), 5400700   size:3.05,Price: ,6.2,The Draw, 58805   size:2.55,Price: ,4.3,x
1.121804193, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Gateshead v FC Halifax Town, Favorite: ,Gateshead, 18571   size:5.0,Price: ,2.0,FC Halifax Town, 4231683   size:36.8,Price: ,3.85,The Draw, 58805   size:41.94,Price: ,3.9,x
