1.119983075, Sport: ,Soccer, Time: ,Thu Aug 13 14:30:00 CEST 2015, Time: ,Thu Aug 13 14:30:00 CEST 2015, Event: ,FK Irtysh Omsk v Metallurg Kuzbass, Favorite: ,Metallurg Kuzbass, 2460915   size:5.83,Price: ,1.68,FK Irtysh Omsk, 9505864   size:2.8,Price: ,2.0,The Draw, 58805   size:70.1,Price: ,3.05,x
1.120005414, Sport: ,Tennis, Time: ,Thu Aug 13 18:00:00 CEST 2015, Time: ,Thu Aug 13 18:00:00 CEST 2015, Event: ,Fichman/Zhao v Makarova/Vesnina, Favorite: ,Makarova/Vesnina, 6369481   size:44.86,Price: ,1.03,x
1.119859361, Sport: ,Soccer, Time: ,Thu Aug 13 12:00:00 CEST 2015, Time: ,Thu Aug 13 12:00:00 CEST 2015, Event: ,Mohun Bagan v SAI Training Centre, Favorite: ,SAI Training Centre, 7412508   size:5.83,Price: ,1.13,The Draw, 58805   size:11.24,Price: ,3.3,x
1.120004687, Sport: ,Tennis, Time: ,Thu Aug 13 11:30:00 CEST 2015, Time: ,Thu Aug 13 11:30:00 CEST 2015, Event: ,Lemoine v Gamiz, Favorite: ,Quirine Lemoine, 4020166   size:593.15,Price: ,1.65,Andrea Gamiz, 7083171   size:2.34,Price: ,2.14,ok
1.119958899, Sport: ,Volleyball, Time: ,Thu Aug 13 15:30:00 CEST 2015, Time: ,Thu Aug 13 15:30:00 CEST 2015, Event: ,Dominican Rep. U23 (W) v Cuba U23 (W), Favorite: ,Dominican Rep. U23 (W), 10142534   size:4138.47,Price: ,1.01,Cuba U23 (W), 7757833   size:2000.0,Price: ,1.04,ok
1.119859641, Sport: ,Soccer, Time: ,Thu Aug 13 18:00:00 CEST 2015, Time: ,Thu Aug 13 18:00:00 CEST 2015, Event: ,Flora Tallinn II v Kuressaare, Favorite: ,Kuressaare, 5407305   size:11.76,Price: ,1.08,The Draw, 58805   size:3.58,Price: ,1.29,x
1.119971209, Sport: ,Baseball, Time: ,Thu Aug 13 18:37:00 CEST 2015, Time: ,Thu Aug 13 18:37:00 CEST 2015, Event: ,OAK @ TOR, Favorite: ,Toronto (M Buehrle), 7177273   size:102.68,Price: ,1.71,Oakland (S Gray), 7569852   size:508.0,Price: ,2.28,x
1.119858753, Sport: ,Soccer, Time: ,Thu Aug 13 17:30:00 CEST 2015, Time: ,Thu Aug 13 17:30:00 CEST 2015, Event: ,Concordia Chiajna v Pandurii, Favorite: ,Pandurii, 1556995   size:2.43,Price: ,2.22,The Draw, 58805   size:18.08,Price: ,3.35,Concordia Chiajna, 5367199   size:341.52,Price: ,3.75,x
1.119997785, Sport: ,Soccer, Time: ,Thu Aug 13 16:00:00 CEST 2015, Time: ,Thu Aug 13 16:00:00 CEST 2015, Event: ,Spartak Moscow (Y) v CSKA Moscow (Y), Favorite: ,Spartak Moscow (Y), 7227096   size:10.55,Price: ,1.63,CSKA Moscow (Y), 5386432   size:10.55,Price: ,2.16,The Draw, 58805   size:7.13,Price: ,3.85,
1.119997784, Sport: ,Tennis, Time: ,Thu Aug 13 13:15:00 CEST 2015, Time: ,Thu Aug 13 13:15:00 CEST 2015, Event: ,Strakhova v B Haas, Favorite: ,Barbara Haas, 6438801   size:4.33,Price: ,1.45,Valeriya Strakhova, 8490642   size:6.04,Price: ,2.78,x
1.119975093, Sport: ,Tennis, Time: ,Thu Aug 13 12:45:00 CEST 2015, Time: ,Thu Aug 13 12:45:00 CEST 2015, Event: ,Mektic v A Haider-Maurer, Favorite: ,Andreas Haider-Maurer, 8260128   size:61.81,Price: ,1.15,Nikola Mektic, 3658467   size:130.41,Price: ,5.3,x
1.119981602, Sport: ,Soccer, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Slovenia U19 v FYR Macedonia U19, Favorite: ,FYR Macedonia U19, 1472346   size:140.08,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.26,ok
1.119859529, Sport: ,Soccer, Time: ,Thu Aug 13 11:30:00 CEST 2015, Time: ,Thu Aug 13 11:30:00 CEST 2015, Event: ,Goodwill FC v Simla Youngs, Favorite: ,Simla Youngs, 10091627   size:11.76,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.05,x
1.119859969, Sport: ,Soccer, Time: ,Thu Aug 13 17:30:00 CEST 2015, Time: ,Thu Aug 13 17:30:00 CEST 2015, Event: ,P-Iirot v BK-46, Favorite: ,BK-46, 3956062   size:2.55,Price: ,1.82,P-Iirot, 494100   size:5.65,Price: ,3.3,The Draw, 58805   size:6.69,Price: ,3.65,
1.119859809, Sport: ,Soccer, Time: ,Thu Aug 13 13:30:00 CEST 2015, Time: ,Thu Aug 13 13:30:00 CEST 2015, Event: ,Global v Geylang International, Favorite: ,Global, 9233649   size:7.49,Price: ,1.77,The Draw, 58805   size:4.06,Price: ,3.8,Geylang International, 8279004   size:6.92,Price: ,4.1,x
1.119983368, Sport: ,Soccer, Time: ,Thu Aug 13 15:00:00 CEST 2015, Time: ,Thu Aug 13 15:00:00 CEST 2015, Event: ,PAOK (W) v ZFK Dragon 2014 (W), Favorite: ,PAOK (W), 6578104   size:68.41,Price: ,1.02,The Draw, 58805   size:2.73,Price: ,22.0,ZFK Dragon 2014 (W), 10130914   size:2.73,Price: ,90.0,ok
