1.119750658, Sport: ,Soccer, Time: ,Thu Aug 06 20:30:00 CEST 2015, Time: ,Thu Aug 06 20:30:00 CEST 2015, Event: ,Dortmund v Wolfsberger AC, Favorite: ,Dortmund, 44785   size:9974.47,Price: ,1.1,The Draw, 58805   size:16.53,Price: ,12.0,Wolfsberger AC, 7418999   size:38.54,Price: ,50.0,ok
1.119874195, Sport: ,Tennis, Time: ,Thu Aug 06 22:00:00 CEST 2015, Time: ,Thu Aug 06 22:00:00 CEST 2015, Event: ,Falconi/Niculescu v Chuang/Liang, Favorite: ,Chuang/Liang, 8844673   size:2.55,Price: ,1.77,Falconi/Niculescu, 10108706   size:2.38,Price: ,1.98,x
1.119874110, Sport: ,Tennis, Time: ,Thu Aug 06 21:30:00 CEST 2015, Time: ,Thu Aug 06 21:30:00 CEST 2015, Event: ,Barthel/Lisicki v Xu/Zheng, Favorite: ,Barthel/Lisicki, 7226279   size:6.22,Price: ,1.64,Xu/Zheng, 8871269   size:5.16,Price: ,2.1,x
1.119751155, Sport: ,Soccer, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Vitesse v Southampton, Favorite: ,Southampton, 58943   size:91.25,Price: ,2.26,Vitesse, 11186   size:72.08,Price: ,3.35,The Draw, 58805   size:209.6,Price: ,3.75,ok
1.119856891, Sport: ,Baseball, Time: ,Thu Aug 06 22:05:00 CEST 2015, Time: ,Thu Aug 06 22:05:00 CEST 2015, Event: ,ARI @ WSH, Favorite: ,Washington (J Ross), 9565218   size:524.0,Price: ,1.67,Arizona (J Hellickson), 9385116   size:532.61,Price: ,2.28,ok
1.119837751, Sport: ,Tennis, Time: ,Thu Aug 06 22:00:00 CEST 2015, Time: ,Thu Aug 06 22:00:00 CEST 2015, Event: ,Doi v A Radwanska, Favorite: ,Agnieszka Radwanska, 2263577   size:96.72,Price: ,1.19,Misaki Doi, 4729711   size:22.92,Price: ,6.0,ok
1.119749875, Sport: ,Soccer, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,St Etienne v Targu Mures, Favorite: ,St Etienne, 309689   size:151.76,Price: ,1.41,The Draw, 58805   size:124.05,Price: ,4.6,Targu Mures, 3413079   size:29.35,Price: ,10.5,x
1.119750222, Sport: ,Soccer, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Zeljeznicar v Standard, Favorite: ,Standard, 571279   size:3.82,Price: ,1.98,The Draw, 58805   size:16.68,Price: ,3.8,Zeljeznicar, 180585   size:68.75,Price: ,4.1,ok
1.119749359, Sport: ,Soccer, Time: ,Thu Aug 06 19:30:00 CEST 2015, Time: ,Thu Aug 06 19:30:00 CEST 2015, Event: ,FC Vaduz v Thun, Favorite: ,Thun, 176184   size:140.92,Price: ,2.6,FC Vaduz, 46945   size:238.48,Price: ,3.0,The Draw, 58805   size:133.21,Price: ,3.4,x
1.119856332, Sport: ,Tennis, Time: ,Thu Aug 06 19:50:00 CEST 2015, Time: ,Thu Aug 06 19:50:00 CEST 2015, Event: ,Bencic v Pavlyuchenkova, Favorite: ,Belinda Bencic, 6390244   size:502.41,Price: ,1.44,Anastasia Pavlyuchenkov, 9438602   size:52.0,Price: ,2.98,x
