1.121938029, Sport: ,Basketball, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Neptunas v Lietkabelis, Favorite: ,Neptunas, 5261523   size:10.81,Price: ,1.23,Lietkabelis, 6214834   size:66.0,Price: ,3.95,ok
1.121743727, Sport: ,American Football, Time: ,Sun Nov 22 22:25:00 CET 2015, Time: ,Sun Nov 22 22:25:00 CET 2015, Event: ,Green Bay @ Minnesota, Favorite: ,Green Bay Packers, 50192   size:2025.15,Price: ,1.96,Minnesota Vikings, 50191   size:346.0,Price: ,1.99,ok
1.121866362, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,FC Cartagena v Marbella, Favorite: ,FC Cartagena, 5740008   size:10.91,Price: ,2.1,Marbella, 2250362   size:21.01,Price: ,3.45,The Draw, 58805   size:4.32,Price: ,3.3,ok
1.121952214, Sport: ,Tennis, Time: ,Mon Nov 23 02:00:00 CET 2015, Time: ,Mon Nov 23 02:00:00 CET 2015, Event: ,Van Peperzeel v Katayama, Favorite: ,Gavin Van Peperzeel, 8172417   size:209.21,Price: ,1.7,Sho Katayama, 8351069   size:2.55,Price: ,2.24,x
1.121817271, Sport: ,Soccer, Time: ,Mon Nov 23 06:00:00 CET 2015, Time: ,Mon Nov 23 06:00:00 CET 2015, Event: ,Oita v Iwata, Favorite: ,Iwata, 263079   size:61.09,Price: ,1.73,Oita, 441089   size:12.75,Price: ,5.6,The Draw, 58805   size:24.38,Price: ,3.95,ok
1.121937859, Sport: ,Basketball, Time: ,Sun Nov 22 18:15:00 CET 2015, Time: ,Sun Nov 22 18:15:00 CET 2015, Event: ,Varese v Bologna, Favorite: ,Varese, 276233   size:2.55,Price: ,1.39,Bologna, 978665   size:42.0,Price: ,3.4,ok
1.121789766, Sport: ,Soccer, Time: ,Sun Nov 22 22:30:00 CET 2015, Time: ,Sun Nov 22 22:30:00 CET 2015, Event: ,Sport Recife v Atletico PR, Favorite: ,Sport Recife, 2405306   size:259.24,Price: ,1.75,Atletico PR, 442159   size:20.02,Price: ,5.4,The Draw, 58805   size:9.87,Price: ,4.0,x
1.121945598, Sport: ,Soccer, Time: ,Sun Nov 22 18:10:00 CET 2015, Time: ,Sun Nov 22 18:10:00 CET 2015, Event: ,Al-Ittihad v Al Ahli, Favorite: ,Al Ahli, 1252792   size:10.93,Price: ,2.02,Al-Ittihad, 3727829   size:20.72,Price: ,3.85,The Draw, 58805   size:13.26,Price: ,3.7,ok
1.121854387, Sport: ,Soccer, Time: ,Sun Nov 22 23:00:00 CET 2015, Time: ,Sun Nov 22 23:00:00 CET 2015, Event: ,Junior v Boyaca Chico, Favorite: ,Junior, 363629   size:119.54,Price: ,1.56,Boyaca Chico, 3636902   size:21.99,Price: ,7.0,The Draw, 58805   size:4.83,Price: ,4.3,ok
1.121854017, Sport: ,Soccer, Time: ,Sun Nov 22 23:00:00 CET 2015, Time: ,Sun Nov 22 23:00:00 CET 2015, Event: ,Atletico Huila v Deportivo Cali, Favorite: ,Deportivo Cali, 328690   size:85.69,Price: ,1.66,Atletico Huila, 4880434   size:53.67,Price: ,6.6,The Draw, 58805   size:290.98,Price: ,3.9,ok
