1.122360707, Sport: ,American Football, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Baltimore @ Cincinnati, Favorite: ,Cincinnati Bengals, 50210   size:2.72,Price: ,1.35,Baltimore Ravens, 50205   size:13.6,Price: ,2.3,ok
1.122450606, Sport: ,Tennis, Time: ,Mon Jan 04 14:15:00 CET 2016, Time: ,Mon Jan 04 14:15:00 CET 2016, Event: ,Oswald/Shamasdin v Rosol/Zelenay, Favorite: ,Rosol/Zelenay, 10682288   size:79.13,Price: ,1.78,Oswald/Shamasdin, 10221677   size:2.55,Price: ,1.95,ok
1.122464451, Sport: ,Tennis, Time: ,Sun Jan 03 20:00:00 CET 2016, Time: ,Sun Jan 03 20:00:00 CET 2016, Event: ,Estevez v Egea, Favorite: ,Maximiliano Estevez, 7593393   size:15.76,Price: ,1.03,Egea, 8924335   size:15.76,Price: ,1.03,ok
1.122360689, Sport: ,American Football, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,New Orleans @ Atlanta, Favorite: ,Atlanta Falcons, 50199   size:66.54,Price: ,1.36,New Orleans Saints, 50196   size:13.6,Price: ,1.7,x
1.122444363, Sport: ,Soccer, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Goias EC U20 v ABC Futebol Clube U20, Favorite: ,Goias EC U20, 5185908   size:23.06,Price: ,1.37,ABC Futebol Clube U20, 10681123   size:23.06,Price: ,5.6,The Draw, 58805   size:3.69,Price: ,3.15,x
1.122389828, Sport: ,Soccer, Time: ,Mon Jan 04 17:00:00 CET 2016, Time: ,Mon Jan 04 17:00:00 CET 2016, Event: ,Beitar Tel Aviv Ramla v Hapoel Ramat Gan, Favorite: ,Beitar Tel Aviv Ramla, 6021023   size:10.0,Price: ,2.08,Hapoel Ramat Gan, 542944   size:12.55,Price: ,2.64,The Draw, 58805   size:13.99,Price: ,2.9,x
1.122464577, Sport: ,Tennis, Time: ,Mon Jan 04 16:00:00 CET 2016, Time: ,Mon Jan 04 16:00:00 CET 2016, Event: ,Collarini v Ma Gonzalez, Favorite: ,Maximo Gonzalez, 2489416   size:13.84,Price: ,1.04,Andrea Collarini, 8284716   size:6.92,Price: ,1.08,x
1.122445850, Sport: ,Soccer, Time: ,Mon Jan 04 00:00:00 CET 2016, Time: ,Mon Jan 04 00:00:00 CET 2016, Event: ,Ottos Rangers FC v Greenbay Hoppers FC, Favorite: ,Greenbay Hoppers FC, 8018657   size:14.24,Price: ,1.22,Ottos Rangers FC, 9013816   size:5.58,Price: ,9.2,The Draw, 58805   size:4.97,Price: ,5.7,ok
1.122458692, Sport: ,Tennis, Time: ,Mon Jan 04 04:00:00 CET 2016, Time: ,Mon Jan 04 04:00:00 CET 2016, Event: ,Popko v Al Kuznetsov, Favorite: ,Dmitry Popko, 8284522   size:10.99,Price: ,1.58,Alex Kuznetsov, 2263691   size:3.86,Price: ,2.08,ok
1.122391708, Sport: ,Soccer, Time: ,Sun Jan 03 19:15:00 CET 2016, Time: ,Sun Jan 03 19:15:00 CET 2016, Event: ,Zaragoza v Huesca, Favorite: ,Zaragoza, 48798   size:181.03,Price: ,2.22,Huesca, 2250353   size:138.72,Price: ,4.1,The Draw, 58805   size:93.05,Price: ,3.05,x
1.122407414, Sport: ,Soccer, Time: ,Mon Jan 04 14:00:00 CET 2016, Time: ,Mon Jan 04 14:00:00 CET 2016, Event: ,Huddersfield U21 v Hull U21, Favorite: ,Huddersfield U21, 6678229   size:3.69,Price: ,1.16,Hull U21, 10123519   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,ok
1.122454370, Sport: ,Soccer, Time: ,Mon Jan 04 16:00:00 CET 2016, Time: ,Mon Jan 04 16:00:00 CET 2016, Event: ,Celtic U20 v Hamilton U20, Favorite: ,Hamilton U20, 6645665   size:4027.68,Price: ,1.02,Celtic U20, 6651714   size:13.84,Price: ,1.04,The Draw, 58805   size:2.72,Price: ,1.25,x
1.122407410, Sport: ,Soccer, Time: ,Mon Jan 04 14:00:00 CET 2016, Time: ,Mon Jan 04 14:00:00 CET 2016, Event: ,Birmingham U21 v Bolton U21, Favorite: ,Birmingham U21, 6813025   size:3.69,Price: ,1.16,Bolton U21, 6594013   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122455985, Sport: ,Soccer, Time: ,Mon Jan 04 17:00:00 CET 2016, Time: ,Mon Jan 04 17:00:00 CET 2016, Event: ,Guaratingueta U20 v Joinville EC U20, Favorite: ,Joinville EC U20, 7660873   size:2.55,Price: ,1.43,Guaratingueta U20, 7360214   size:5.99,Price: ,3.55,The Draw, 58805   size:5.99,Price: ,3.55,ok
1.122450332, Sport: ,Tennis, Time: ,Mon Jan 04 01:00:00 CET 2016, Time: ,Mon Jan 04 01:00:00 CET 2016, Event: ,Calvin Hemery v Mertl, Favorite: ,Calvin Hemery , 8284525   size:34.63,Price: ,1.77,Jan Mertl, 3034493   size:40.03,Price: ,2.06,x
1.122450970, Sport: ,Tennis, Time: ,Mon Jan 04 12:30:00 CET 2016, Time: ,Mon Jan 04 12:30:00 CET 2016, Event: ,Millman v Donskoy, Favorite: ,John Millman, 4415206   size:53.22,Price: ,1.64,Evgeny Donskoy, 3391304   size:51.0,Price: ,2.44,ok
1.122405351, Sport: ,Basketball, Time: ,Mon Jan 04 01:00:00 CET 2016, Time: ,Mon Jan 04 01:00:00 CET 2016, Event: ,Fordham @ George Washington, Favorite: ,George Washington, 751441   size:8.58,Price: ,1.16,Fordham, 725094   size:7.08,Price: ,5.8,ok
