1.121882499, Sport: ,Basketball, Time: ,Fri Nov 20 20:30:00 CET 2015, Time: ,Fri Nov 20 20:30:00 CET 2015, Event: ,Leeds v Cheshire, Favorite: ,Cheshire, 6719053   size:23.19,Price: ,1.34,Leeds, 8862089   size:2.55,Price: ,3.65,ok
1.121774704, Sport: ,Soccer, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Dordrecht v Telstar, Favorite: ,Dordrecht, 507804   size:4.01,Price: ,1.83,Telstar, 67163   size:18.58,Price: ,4.4,The Draw, 58805   size:121.01,Price: ,4.1,x
1.121882498, Sport: ,Basketball, Time: ,Fri Nov 20 20:30:00 CET 2015, Time: ,Fri Nov 20 20:30:00 CET 2015, Event: ,Bristol v London, Favorite: ,London, 6719045   size:6.08,Price: ,1.44,Bristol, 8862088   size:34.03,Price: ,3.1,ok
1.121881281, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,CS Osorhei v AFC Odorheiu Secuiesc, Favorite: ,CS Osorhei, 7773853   size:92.8,Price: ,1.15,AFC Odorheiu Secuiesc, 10493575   size:92.79,Price: ,1.15,The Draw, 58805   size:2.47,Price: ,2.9,ok
1.121883340, Sport: ,Tennis, Time: ,Fri Nov 20 19:00:00 CET 2015, Time: ,Fri Nov 20 19:00:00 CET 2015, Event: ,And Martin v Cervantes, Favorite: ,Inigo Cervantes, 6297238   size:7.23,Price: ,1.87,Andrej Martin, 5071877   size:55.63,Price: ,1.98,ok
1.121882493, Sport: ,Basketball, Time: ,Fri Nov 20 19:04:00 CET 2015, Time: ,Fri Nov 20 19:04:00 CET 2015, Event: ,Lulea v Jamtland, Favorite: ,Lulea, 10362456   size:8.42,Price: ,1.04,Jamtland, 7037208   size:8.42,Price: ,1.04,ok
1.121774022, Sport: ,Soccer, Time: ,Fri Nov 20 16:30:00 CET 2015, Time: ,Fri Nov 20 16:30:00 CET 2015, Event: ,Lokomotiv Plovdiv v Montana, Favorite: ,Lokomotiv Plovdiv, 878125   size:5.14,Price: ,1.65,Montana, 3475110   size:26.17,Price: ,7.0,The Draw, 58805   size:7.88,Price: ,3.75,ok
1.121773295, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Hong Kong Rangers v Eastern AA, Favorite: ,Hong Kong Rangers, 9445585   size:145.23,Price: ,1.15,Eastern AA, 9253857   size:145.24,Price: ,1.15,The Draw, 58805   size:5.21,Price: ,2.9,x
1.121879655, Sport: ,Soccer, Time: ,Fri Nov 20 18:30:00 CET 2015, Time: ,Fri Nov 20 18:30:00 CET 2015, Event: ,Schalke II v Fortuna Dusseldorf II, Favorite: ,Schalke II, 5340425   size:14.15,Price: ,2.24,Fortuna Dusseldorf II, 5545121   size:8.14,Price: ,3.35,The Draw, 58805   size:121.26,Price: ,3.55,x
1.121881611, Sport: ,Soccer, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,Lokomotiv Moscow (Y) v Anzhi (Y), Favorite: ,Lokomotiv Moscow (Y), 5246808   size:89.59,Price: ,1.19,Anzhi (Y), 10319700   size:3.74,Price: ,3.55,The Draw, 58805   size:4.68,Price: ,3.1,ok
