1.120999631, Sport: ,Tennis, Time: ,Thu Oct 01 14:00:00 CEST 2015, Time: ,Thu Oct 01 14:00:00 CEST 2015, Event: ,Fett v Hogenkamp, Favorite: ,Richel Hogenkamp, 6440521   size:6.26,Price: ,1.04,Jana Fett, 9087351   size:8.32,Price: ,1.1,x
1.120852809, Sport: ,Baseball, Time: ,Thu Oct 01 04:10:00 CEST 2015, Time: ,Thu Oct 01 04:10:00 CEST 2015, Event: ,MIL @ SD, Favorite: ,San Diego (A Cashner), 6436041   size:276.0,Price: ,1.67,Milwaukee (Z Davies), 10229247   size:276.0,Price: ,2.38,x
1.120987416, Sport: ,Tennis, Time: ,Thu Oct 01 07:00:00 CEST 2015, Time: ,Thu Oct 01 07:00:00 CEST 2015, Event: ,Klaasen/Ram v Junaid/Marray, Favorite: ,Klaasen/Ram, 9546313   size:3.36,Price: ,1.49,Junaid/Marray, 10337922   size:5.81,Price: ,2.44,ok
1.120852762, Sport: ,Baseball, Time: ,Thu Oct 01 01:10:00 CEST 2015, Time: ,Thu Oct 01 01:10:00 CEST 2015, Event: ,WSH @ ATL, Favorite: ,Washington (J Zimmermann), 3830891   size:253.0,Price: ,1.65,Atlanta (W Perez), 9502348   size:458.0,Price: ,2.42,x
1.120977581, Sport: ,Tennis, Time: ,Thu Oct 01 07:00:00 CEST 2015, Time: ,Thu Oct 01 07:00:00 CEST 2015, Event: ,Chan/Chan v Kichenok/Kichenok, Favorite: ,Chan/Chan, 2035578   size:107.07,Price: ,1.26,Kichenok/Kichenok, 4670057   size:56.52,Price: ,4.4,ok
1.120850863, Sport: ,Soccer, Time: ,Thu Oct 01 02:00:00 CEST 2015, Time: ,Thu Oct 01 02:00:00 CEST 2015, Event: ,Olimpia v Independiente, Favorite: ,Olimpia, 328699   size:13.0,Price: ,2.82,Independiente, 194512   size:54.15,Price: ,2.98,The Draw, 58805   size:394.0,Price: ,3.15,x
1.120964831, Sport: ,Snooker, Time: ,Thu Oct 01 10:30:00 CEST 2015, Time: ,Thu Oct 01 10:30:00 CEST 2015, Event: ,Carter v Simmonds, Favorite: ,Allister Carter, 2293310   size:158.51,Price: ,1.01,Luke Simmonds, 10063638   size:33.84,Price: ,10.0,ok
1.120984549, Sport: ,Soccer, Time: ,Thu Oct 01 01:00:00 CEST 2015, Time: ,Thu Oct 01 01:00:00 CEST 2015, Event: ,Volta Redonda v Duquecaxiense FC, Favorite: ,Volta Redonda, 1040271   size:5.81,Price: ,1.11,Duquecaxiense FC, 10363037   size:11.18,Price: ,5.2,The Draw, 58805   size:11.53,Price: ,4.0,ok
1.120995509, Sport: ,Tennis, Time: ,Thu Oct 01 12:00:00 CEST 2015, Time: ,Thu Oct 01 12:00:00 CEST 2015, Event: ,Cervantes v Cecchinato, Favorite: ,Marco Cecchinato, 6374165   size:39.68,Price: ,1.08,Inigo Cervantes, 6297238   size:5.81,Price: ,1.13,ok
1.120985264, Sport: ,Soccer, Time: ,Thu Oct 01 03:00:00 CEST 2015, Time: ,Thu Oct 01 03:00:00 CEST 2015, Event: ,Atletico Nacional v Chorrillo, Favorite: ,Chorrillo, 6536554   size:2.55,Price: ,1.94,Atletico Nacional, 478920   size:2.55,Price: ,3.2,The Draw, 58805   size:2.21,Price: ,2.82,x
1.120971530, Sport: ,Soccer, Time: ,Wed Sep 30 22:30:00 CEST 2015, Time: ,Wed Sep 30 22:30:00 CEST 2015, Event: ,Deportivo Lara v Carabobo FC, Favorite: ,Deportivo Lara, 4908157   size:6.01,Price: ,1.73,Carabobo FC, 893607   size:2.7,Price: ,4.9,The Draw, 58805   size:5.02,Price: ,4.0,ok
1.120972060, Sport: ,Tennis, Time: ,Thu Oct 01 01:30:00 CEST 2015, Time: ,Thu Oct 01 01:30:00 CEST 2015, Event: ,Baughman/McDonald v O'Brien/Roelofse, Favorite: ,O'Brien/Roelofse, 9545182   size:2.55,Price: ,1.24,Baughman/McDonald, 10344706   size:4.19,Price: ,3.8,x
1.120972067, Sport: ,Tennis, Time: ,Thu Oct 01 00:45:00 CEST 2015, Time: ,Thu Oct 01 00:45:00 CEST 2015, Event: ,Bester/Polansky v Krueger/Smith, Favorite: ,Bester/Polansky, 10029195   size:3.03,Price: ,1.65,Krueger/Smith, 10344705   size:2.04,Price: ,2.22,ok
1.120964849, Sport: ,Snooker, Time: ,Thu Oct 01 10:30:00 CEST 2015, Time: ,Thu Oct 01 10:30:00 CEST 2015, Event: ,Hull v O'Sullivan, Favorite: ,Robin Hull, 2278863   size:2.55,Price: ,1.76,Sean O'Sullivan, 6603339   size:5.81,Price: ,1.99,x
1.120983927, Sport: ,Tennis, Time: ,Thu Oct 01 13:15:00 CEST 2015, Time: ,Thu Oct 01 13:15:00 CEST 2015, Event: ,Ilhan v K De Schepper, Favorite: ,Kenny De Schepper, 5617034   size:8.36,Price: ,1.59,Marsel Ilhan, 4147957   size:2.34,Price: ,2.38,ok
1.120996036, Sport: ,Tennis, Time: ,Wed Sep 30 22:45:00 CEST 2015, Time: ,Wed Sep 30 22:45:00 CEST 2015, Event: ,Gonzalez/Lapentti v Endara/Galan Riveros, Favorite: ,Gonzalez/Lapentti, 10344122   size:5.81,Price: ,1.45,Endara/Galan Riveros, 10363438   size:6.76,Price: ,2.74,x
1.120986875, Sport: ,Baseball, Time: ,Thu Oct 01 01:05:00 CEST 2015, Time: ,Thu Oct 01 01:05:00 CEST 2015, Event: ,NYM @ PHI, Favorite: ,NY Mets (L Verrett), 10188750   size:473.0,Price: ,1.57,Philadelphia (A Asher), 10220509   size:19.14,Price: ,2.62,x
1.120852734, Sport: ,Baseball, Time: ,Thu Oct 01 01:10:00 CEST 2015, Time: ,Thu Oct 01 01:10:00 CEST 2015, Event: ,CHC @ CIN, Favorite: ,Chicago Cubs (J Lester), 9377609   size:106.39,Price: ,1.65,Cincinnati (A DeSclafani), 9385641   size:5.0,Price: ,2.46,ok
1.120987397, Sport: ,Tennis, Time: ,Thu Oct 01 09:00:00 CEST 2015, Time: ,Thu Oct 01 09:00:00 CEST 2015, Event: ,Oswald/Shamasdin v Begemann/Sitak, Favorite: ,Oswald/Shamasdin, 10221677   size:2.87,Price: ,1.74,Begemann/Sitak, 10299764   size:5.81,Price: ,1.97,x
1.120964851, Sport: ,Snooker, Time: ,Thu Oct 01 15:30:00 CEST 2015, Time: ,Thu Oct 01 15:30:00 CEST 2015, Event: ,Stevens v Patrick, Favorite: ,Matthew Stevens, 2278788   size:2.55,Price: ,1.37,Fraser Patrick, 2725268   size:5.81,Price: ,2.98,ok
1.120985099, Sport: ,Soccer, Time: ,Thu Oct 01 02:00:00 CEST 2015, Time: ,Thu Oct 01 02:00:00 CEST 2015, Event: ,Tonga (W) U20 v New Zealand U20 (W), Favorite: ,Tonga (W) U20, 10363078   size:30.64,Price: ,1.02,New Zealand U20 (W), 4835201   size:6.26,Price: ,1.04,The Draw, 58805   size:5.0,Price: ,3.05,x
1.120971144, Sport: ,Soccer, Time: ,Thu Oct 01 00:00:00 CEST 2015, Time: ,Thu Oct 01 00:00:00 CEST 2015, Event: ,Linense SP v Osasco, Favorite: ,Linense SP, 5231798   size:62.42,Price: ,2.5,Osasco, 6987859   size:95.15,Price: ,2.82,The Draw, 58805   size:22.61,Price: ,3.7,x
1.120995459, Sport: ,Tennis, Time: ,Thu Oct 01 05:00:00 CEST 2015, Time: ,Thu Oct 01 05:00:00 CEST 2015, Event: ,Hlavackova/Hradecka v Dabrowski/Rosolska, Favorite: ,Hlavackova/Hradecka, 4470757   size:2.55,Price: ,1.38,Dabrowski/Rosolska, 7766530   size:4.28,Price: ,2.84,ok
1.120845982, Sport: ,Soccer, Time: ,Thu Oct 01 01:00:00 CEST 2015, Time: ,Thu Oct 01 01:00:00 CEST 2015, Event: ,Philadelphia v Kansas City, Favorite: ,Philadelphia, 4589333   size:146.0,Price: ,2.08,Kansas City, 171912   size:157.8,Price: ,4.1,The Draw, 58805   size:270.4,Price: ,3.55,x
