1.121466307, Sport: ,Soccer, Time: ,Sun Oct 25 22:00:00 CET 2015, Time: ,Sun Oct 25 22:00:00 CET 2015, Event: ,Botafogo SP v Remo PA, Favorite: ,Botafogo SP, 4435648   size:2.79,Price: ,1.79,Remo PA, 7160965   size:56.89,Price: ,3.2,The Draw, 58805   size:5.88,Price: ,2.88,ok
1.121460205, Sport: ,Soccer, Time: ,Sun Oct 25 22:30:00 CET 2015, Time: ,Sun Oct 25 22:30:00 CET 2015, Event: ,Deportivo Tachira v Deportivo Petare, Favorite: ,Deportivo Tachira, 712865   size:3.12,Price: ,1.23,Deportivo Petare, 5264881   size:24.26,Price: ,8.2,The Draw, 58805   size:11.15,Price: ,4.3,ok
1.121306637, Sport: ,Soccer, Time: ,Sun Oct 25 23:00:00 CET 2015, Time: ,Sun Oct 25 23:00:00 CET 2015, Event: ,CD Olimpia v CD Real Sociedad, Favorite: ,CD Olimpia, 1395933   size:2.6,Price: ,1.92,CD Real Sociedad, 9321002   size:3.81,Price: ,3.9,The Draw, 58805   size:4.02,Price: ,3.35,ok
1.121296542, Sport: ,Soccer, Time: ,Sun Oct 25 22:30:00 CET 2015, Time: ,Sun Oct 25 22:30:00 CET 2015, Event: ,Atletico MG v Ponte Preta, Favorite: ,Atletico MG, 361329   size:35.21,Price: ,1.48,Ponte Preta, 204603   size:40.73,Price: ,8.0,The Draw, 58805   size:11.11,Price: ,4.8,ok
1.121358436, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Aucas v Deportivo Cuenca, Favorite: ,Aucas, 897347   size:7.01,Price: ,1.88,Deportivo Cuenca, 1067928   size:8.89,Price: ,5.1,The Draw, 58805   size:35.4,Price: ,3.6,x
1.121456509, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,CD Montuiri v CE Constancia de Inca, Favorite: ,CD Montuiri, 6412890   size:2.43,Price: ,1.06,CE Constancia de Inca, 9320401   size:2.43,Price: ,1.06,The Draw, 58805   size:2.43,Price: ,1.06,x
1.121308483, Sport: ,Soccer, Time: ,Sun Oct 25 19:30:00 CET 2015, Time: ,Sun Oct 25 19:30:00 CET 2015, Event: ,Hapoel Beer Sheva v Hapoel Tel Aviv, Favorite: ,Hapoel Beer Sheva, 844519   size:51.32,Price: ,1.57,Hapoel Tel Aviv, 121248   size:63.15,Price: ,7.2,The Draw, 58805   size:159.41,Price: ,4.3,ok
1.121423721, Sport: ,Handball, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Orlen Wisla Plock v Flensburg Handewitt, Favorite: ,Flensburg Handewitt, 4506561   size:15.83,Price: ,1.66,Orlen Wisla Plock, 5831177   size:60.61,Price: ,2.88,Draw, 330157   size:14.6,Price: ,8.8,ok
1.121369796, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Linense v Melilla, Favorite: ,Linense, 3303612   size:34.46,Price: ,1.9,Melilla, 2250364   size:36.57,Price: ,4.8,The Draw, 58805   size:19.84,Price: ,3.3,ok
1.121390130, Sport: ,Basketball, Time: ,Sun Oct 25 19:00:00 CET 2015, Time: ,Sun Oct 25 19:00:00 CET 2015, Event: ,Venezia v Cremona, Favorite: ,Venezia, 5878119   size:8.06,Price: ,1.23,Cremona, 4325205   size:36.09,Price: ,4.7,ok
1.121303354, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Bodo Glimt v Lillestrom, Favorite: ,Bodo Glimt, 373549   size:2.11,Price: ,2.08,Lillestrom, 10770   size:4.32,Price: ,3.75,The Draw, 58805   size:90.45,Price: ,3.85,x
1.121459215, Sport: ,Soccer, Time: ,Sun Oct 25 19:00:00 CET 2015, Time: ,Sun Oct 25 19:00:00 CET 2015, Event: ,Mogi Mirim EC U20 v RB Brasil U20, Favorite: ,Mogi Mirim EC U20, 7360190   size:275.16,Price: ,1.06,RB Brasil U20, 10103846   size:275.16,Price: ,1.06,The Draw, 58805   size:4.99,Price: ,2.9,ok
1.121308488, Sport: ,Soccer, Time: ,Sun Oct 25 17:30:00 CET 2015, Time: ,Sun Oct 25 17:30:00 CET 2015, Event: ,Alessandria v Renate, Favorite: ,Alessandria, 4077806   size:8.6,Price: ,1.61,Renate, 4077808   size:2.76,Price: ,6.6,The Draw, 58805   size:16.33,Price: ,3.55,ok
