1.121618353, Sport: ,Tennis, Time: ,Tue Nov 03 09:30:00 CET 2015, Time: ,Tue Nov 03 09:30:00 CET 2015, Event: ,Okuda v Pislak, Favorite: ,Manca Pislak, 9634438   size:2.55,Price: ,1.09,Akiko Okuda, 10116462   size:2.55,Price: ,4.0,ok
1.121619840, Sport: ,Soccer, Time: ,Tue Nov 03 16:00:00 CET 2015, Time: ,Tue Nov 03 16:00:00 CET 2015, Event: ,Al-Taawon (KSA) v Najran (KSA), Favorite: ,Al-Taawon (KSA), 7747262   size:2.55,Price: ,1.83,Najran (KSA), 7857483   size:2.55,Price: ,3.85,The Draw, 58805   size:20.24,Price: ,3.7,ok
1.121618356, Sport: ,Tennis, Time: ,Tue Nov 03 11:30:00 CET 2015, Time: ,Tue Nov 03 11:30:00 CET 2015, Event: ,Ekshibarova v Shlomo, Favorite: ,Vlada Ekshibarova, 2567024   size:7.26,Price: ,1.04,Keren Shlomo, 9378929   size:7.26,Price: ,1.04,ok
1.121610794, Sport: ,Tennis, Time: ,Tue Nov 03 16:00:00 CET 2015, Time: ,Tue Nov 03 16:00:00 CET 2015, Event: ,Escobedo v L Broady, Favorite: ,Liam Broady, 5626816   size:5.35,Price: ,1.61,Ernesto Escobedo, 8700174   size:2.64,Price: ,2.4,x
1.121615647, Sport: ,Tennis, Time: ,Tue Nov 03 15:45:00 CET 2015, Time: ,Tue Nov 03 15:45:00 CET 2015, Event: ,Ignatik/Karatsev v Arends/Paval, Favorite: ,Arends/Paval, 10483068   size:5.89,Price: ,1.43,Ignatik/Karatsev, 10483067   size:5.89,Price: ,1.98,ok
1.121615645, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Chiudinelli/Fyrstenberg v Bury/Siljestrom, Favorite: ,Bury/Siljestrom, 9940566   size:3.27,Price: ,1.53,Chiudinelli/Fyrstenberg, 10483066   size:2.7,Price: ,1.85,ok
1.121557397, Sport: ,Volleyball, Time: ,Tue Nov 03 15:00:00 CET 2015, Time: ,Tue Nov 03 15:00:00 CET 2015, Event: ,Gazprom-Ugra Surgut v Abiant Lycurgus Groning, Favorite: ,Gazprom-Ugra Surgut, 10410542   size:3.0,Price: ,1.02,Abiant Lycurgus Groning, 10410543   size:2.6,Price: ,1.92,ok
1.121635440, Sport: ,Tennis, Time: ,Tue Nov 03 09:30:00 CET 2015, Time: ,Tue Nov 03 09:30:00 CET 2015, Event: ,Khabibulin v Denolly, Favorite: ,Corentin Denolly, 9630402   size:3.0,Price: ,1.04,Timur Khabibulin, 8304959   size:2.49,Price: ,2.68,ok
1.121618847, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,NK Zagora v NK Omis, Favorite: ,NK Zagora, 3439340   size:4.14,Price: ,1.07,NK Omis, 8304258   size:4.14,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.121607030, Sport: ,Tennis, Time: ,Tue Nov 03 12:00:00 CET 2015, Time: ,Tue Nov 03 12:00:00 CET 2015, Event: ,Cabal/Farah v Lopez/Mirnyi, Favorite: ,Cabal/Farah, 6098095   size:2.09,Price: ,1.73,Lopez/Mirnyi, 8329155   size:2.55,Price: ,2.14,ok
1.121619619, Sport: ,Soccer, Time: ,Tue Nov 03 15:00:00 CET 2015, Time: ,Tue Nov 03 15:00:00 CET 2015, Event: ,That Ras v Al Jazeera (JOR), Favorite: ,Al Jazeera (Jor), 9262035   size:5.0,Price: ,1.37,That Ras, 5649897   size:5.0,Price: ,1.38,The Draw, 58805   size:12.49,Price: ,2.0,ok
1.121617555, Sport: ,Tennis, Time: ,Tue Nov 03 12:00:00 CET 2015, Time: ,Tue Nov 03 12:00:00 CET 2015, Event: ,Errani v J Jankovic, Favorite: ,Jelena Jankovic, 2252607   size:28.0,Price: ,1.65,Sara Errani, 2309567   size:19.51,Price: ,2.5,ok
1.121510112, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Real Madrid U19 v Paris St-G U19, Favorite: ,Paris St-G U19, 6569319   size:2.55,Price: ,2.38,Real Madrid U19, 7653237   size:2.55,Price: ,2.56,The Draw, 58805   size:4.01,Price: ,3.7,x
1.121636057, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Atik v El Jardi, Favorite: ,Rita Atik, 7216231   size:4.83,Price: ,1.06,Diae El Jardi, 10487746   size:26.67,Price: ,11.5,ok
1.121617550, Sport: ,Tennis, Time: ,Tue Nov 03 13:30:00 CET 2015, Time: ,Tue Nov 03 13:30:00 CET 2015, Event: ,Svitolina v Petkovic, Favorite: ,Elina Svitolina, 6324464   size:15.81,Price: ,1.89,Andrea Petkovic, 2404122   size:23.52,Price: ,2.04,ok
